,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,62817517,1660405044,2.002,2.002,0.304,1280x720-5,1124688,1191650,66962,4.5425,1660405044.124,0.0,0.0,5.0,0.0,5.0
35,62817767,1660405044,4.004,4.004,0.555,1280x720-10,2351466,2380435,28969,9.0729,1660405044.374,4.5304,0.25100000000000006,10.0,5.0,-20.100000000000005
268,62821480,1660405048,2.909,2.909,1.157,1280x720-100,23718169,23777998,59829,90.6168,1660405049.096,81.5439,0.602,100.0,90.0,-50.199999999999996
385,62822144,1660405049,4.247,4.247,1.157,1280x720-50,11859257,11890426,31169,45.3149,1660405049.238,45.301899999999996,0.0,100.0,0.0,100.0
618,62825480,1660405052,2.918,2.918,1.157,1280x720-100,23718169,23777999,59830,90.6169,1660405053.051,45.302,0.0,100.0,0.0,100.0
735,62826860,1660405053,3.539,3.539,1.157,1280x720-50,11859257,11890463,31206,45.3147,1660405054.023,45.3022,0.0,100.0,0.0,100.0
968,62829338,1660405056,3.055,3.055,1.157,1280x720-100,23717937,23777999,60062,90.6169,1660405057.053,45.3022,0.0,100.0,0.0,100.0
1085,62830753,1660405057,3.651,3.651,1.157,1280x720-50,11859141,11890432,31291,45.3149,1660405058.028,45.302,0.0,100.0,0.0,100.0
1318,62833243,1660405060,3.16,3.160,1.157,1280x720-100,23717937,23777985,60048,90.6169,1660405061.051,45.302,0.0,100.0,0.0,100.0
1435,62834699,1660405061,3.703,3.703,1.157,1280x720-50,11859141,11890429,31288,45.3147,1660405062.033,45.3022,0.0,100.0,0.0,100.0
1668,62837286,1660405064,3.12,3.120,1.157,1280x720-100,23717937,23777996,60059,90.6169,1660405065.048,45.3022,0.0,100.0,0.0,100.0
1798,62838878,1660405065,3.53,3.530,1.157,1280x720-50,13188299,13201705,13406,50.312,1660405066.023,40.3049,0.0,100.0,0.0,100.0
2031,62841378,1660405068,3.031,3.031,1.157,1280x720-100,23717937,23777998,60061,90.6169,1660405069.051,40.3049,0.0,100.0,0.0,100.0
2148,62842988,1660405070,3.423,3.423,1.157,1280x720-50,11859141,11890471,31330,45.3148,1660405071.009,45.3021,0.0,100.0,0.0,100.0
2381,62845577,1660405072,2.842,2.842,1.157,1280x720-100,23717937,23777999,60062,90.6169,1660405073.039,45.3021,0.0,100.0,0.0,100.0
2498,62846304,1660405073,4.115,4.115,1.157,1280x720-50,11859141,11890440,31299,45.3149,1660405073.424,45.302,0.0,100.0,0.0,100.0
2731,62849602,1660405076,2.815,2.815,1.157,1280x720-100,23717937,23777999,60062,90.6169,1660405077.032,45.302,0.0,100.0,0.0,100.0
2848,62850173,1660405077,4.251,4.251,1.157,1280x720-50,11859141,11890433,31292,45.3148,1660405077.282,45.3021,0.0,100.0,0.0,100.0
3081,62853431,1660405080,2.994,2.994,1.157,1280x720-100,23717937,23777997,60060,90.6168,1660405081.04,45.302,0.0,100.0,0.0,100.0
3198,62854949,1660405082,3.478,3.478,1.157,1280x720-50,11859141,11890435,31294,45.3149,1660405083.011,45.301899999999996,0.0,100.0,0.0,100.0
3431,62857463,1660405084,2.962,2.962,1.157,1280x720-100,23717937,23777997,60060,90.6169,1660405085.044,45.302,0.0,100.0,0.0,100.0
3548,62858993,1660405086,3.436,3.436,1.157,1280x720-50,11859141,11890467,31326,45.3147,1660405087.011,45.3022,0.0,100.0,0.0,100.0
3781,62861439,1660405088,2.991,2.991,1.157,1280x720-100,23717937,23777999,60062,90.6169,1660405089.043,45.3022,0.0,100.0,0.0,100.0
3898,62862933,1660405090,3.495,3.495,1.157,1280x720-50,11859141,11890444,31303,45.3149,1660405091.008,45.302,0.0,100.0,0.0,100.0
4131,62865382,1660405092,3.055,3.055,1.157,1280x720-100,23717937,23777999,60062,90.6169,1660405093.053,45.302,0.0,100.0,0.0,100.0
