,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,4161855,1660499637,2.002,2.002,1.765,1280x720-5,1124688,1191650,66962,4.5425,1660499637.634,0.0,0.0,5.0,0.0,5.0
35,4163447,1660499639,2.98,2.980,2.321,1280x720-10,2351466,2380435,28969,9.0729,1660499639.135,4.5304,0.5560000000000003,10.0,5.0,-50.60000000000003
152,4166305,1660499641,2.128,2.128,2.321,1280x720-50,11859257,11890482,31225,45.3148,1660499641.977,36.2419,0.0,50.0,40.0,10.0
176,4166793,1660499642,3.634,3.634,2.321,1280x720-10,2351466,2380400,28934,9.0728,1660499642.488,36.242,0.0,10.0,40.0,-30.0
409,4169682,1660499645,2.754,2.754,2.321,1280x720-100,23718169,23777999,59830,90.6169,1660499646.066,81.5441,0.0,100.0,90.0,10.0
526,4170739,1660499646,3.692,3.692,2.321,1280x720-50,11859257,11890463,31206,45.3147,1660499646.447,45.3022,0.0,100.0,0.0,100.0
759,4173567,1660499649,2.875,2.875,2.321,1280x720-100,23717937,23777999,60062,90.6169,1660499649.364,45.3022,0.0,100.0,0.0,100.0
876,4174446,1660499650,3.989,3.989,2.321,1280x720-50,11859141,11890432,31291,45.3149,1660499650.104,45.302,0.0,100.0,0.0,100.0
1109,4177213,1660499652,3.223,3.223,2.321,1280x720-100,23717937,23777985,60048,90.6169,1660499653.072,45.302,0.0,100.0,0.0,100.0
1226,4178450,1660499654,3.99,3.990,2.321,1280x720-50,11859141,11890429,31288,45.3147,1660499654.107,45.3022,0.0,100.0,0.0,100.0
1459,4181382,1660499657,3.066,3.066,2.321,1280x720-100,23717937,23777996,60059,90.6169,1660499657.036,45.3022,0.0,100.0,0.0,100.0
1589,4182633,1660499658,3.816,3.816,2.321,1280x720-50,13188299,13201705,13406,50.312,1660499658.296,40.3049,0.0,100.0,0.0,100.0
1822,4186525,1660499662,1.927,1.927,2.321,1280x720-100,23717937,23777998,60061,90.6169,1660499663.093,40.3049,0.0,100.0,0.0,100.0
1846,4187032,1660499662,3.422,3.422,2.321,1280x720-10,2351443,2380424,28981,9.0729,1660499663.6,81.544,0.0,10.0,90.0,-80.0
2079,4190953,1660499666,1.505,1.505,2.321,1280x720-100,23717937,23777999,60062,90.6169,1660499666.608,81.544,0.0,100.0,90.0,10.0
2103,4191432,1660499667,3.026,3.026,2.321,1280x720-10,2351443,2380419,28976,9.0728,1660499667.09,81.5441,0.0,10.0,90.0,-80.0
2220,4193248,1660499668,3.211,3.211,2.321,1280x720-50,11859141,11890456,31315,45.3149,1660499668.929,36.2421,0.0,50.0,40.0,10.0
2337,4195022,1660499670,3.435,3.435,2.321,1280x720-50,11859141,11889579,30438,45.3148,1660499670.682,0.00010000000000331966,0.0,50.0,0.0,50.0
2570,4197923,1660499673,2.535,2.535,2.321,1280x720-100,23717937,23777997,60060,90.6168,1660499673.591,45.302,0.0,100.0,50.0,50.0
2687,4199688,1660499675,2.775,2.775,2.321,1280x720-50,11859141,11890435,31294,45.3149,1660499675.369,45.301899999999996,0.0,50.0,50.0,0.0
2804,4201263,1660499676,3.207,3.207,2.321,1280x720-50,11859141,11889574,30433,45.3147,1660499676.917,0.00019999999999953388,0.0,50.0,0.0,50.0
2921,4202454,1660499678,4.015,4.015,2.321,1280x720-50,11859141,11889613,30472,45.3147,1660499678.114,0.0,0.0,50.0,0.0,50.0
3154,4205579,1660499681,2.893,2.893,2.321,1280x720-100,23717937,23777999,60062,90.6169,1660499682.049,45.3022,0.0,100.0,50.0,50.0
3271,4207206,1660499682,3.261,3.261,2.321,1280x720-50,11859141,11890444,31303,45.3149,1660499682.86,45.302,0.0,50.0,50.0,0.0
3388,4208540,1660499684,3.938,3.938,2.321,1280x720-50,11859141,11889613,30472,45.3147,1660499684.202,0.00019999999999953388,0.0,50.0,0.0,50.0
3621,4213794,1660499689,0.784,0.784,2.372,1280x720-100,23717937,23777999,60062,90.6169,1660499689.465,45.3022,0.05099999999999971,100.0,50.0,44.90000000000003
3633,4214070,1660499689,2.786,2.786,2.624,1280x720-5,1124622,1191653,67031,4.5425,1660499689.741,86.0744,0.2520000000000002,5.0,95.0,-115.20000000000002
3750,4215109,1660499690,3.787,3.787,2.675,1280x720-50,11859141,11890443,31302,45.3149,1660499690.773,40.772400000000005,0.05099999999999971,50.0,45.0,-0.09999999999997122
3983,4218195,1660499693,2.705,2.705,2.675,1280x720-100,23717937,23777999,60062,90.6169,1660499694.041,45.302,0.0,100.0,50.0,50.0
4100,4219193,1660499694,3.716,3.716,2.675,1280x720-50,11859141,11890467,31326,45.3147,1660499694.998,45.3022,0.0,100.0,0.0,100.0
4333,4222225,1660499697,2.687,2.687,2.675,1280x720-100,23717937,23777998,60061,90.6169,1660499698.038,45.3022,0.0,100.0,0.0,100.0
4450,4223256,1660499698,3.655,3.655,2.675,1280x720-50,11859141,11890491,31350,45.3148,1660499699.031,45.3021,0.0,100.0,0.0,100.0
4683,4225992,1660499701,2.918,2.918,2.675,1280x720-100,23717937,23777999,60062,90.6169,1660499702.05,45.3021,0.0,100.0,0.0,100.0
4800,4226929,1660499702,3.988,3.988,2.675,1280x720-50,11859141,11890479,31338,45.3149,1660499702.603,45.302,0.0,100.0,0.0,100.0
5033,4230523,1660499706,2.389,2.389,2.675,1280x720-100,23717937,23777999,60062,90.6169,1660499707.012,45.302,0.0,100.0,0.0,100.0
5150,4232690,1660499708,2.227,2.227,2.675,1280x720-50,11859141,11890493,31352,45.3149,1660499708.388,45.302,0.0,50.0,50.0,0.0
5174,4233071,1660499708,3.843,3.843,2.675,1280x720-10,2351466,2380438,28972,9.073,1660499708.769,36.2419,0.0,10.0,40.0,-30.0
5407,4236560,1660499712,2.361,2.361,2.675,1280x720-100,23717937,23778000,60063,90.6169,1660499713.009,81.54390000000001,0.0,100.0,90.0,10.0
