,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,3903507,1660578885,1.68,1.680,3.273,1280x720-5,1124688,1191650,66962,4.5425,1660578885.309,0.0,0.0,5.0,0.0,5.0
35,3908603,1660578890,1.696,1.696,6.348,1280x720-10,2351466,2380435,28969,9.0729,1660578890.125,4.5304,3.0749999999999997,10.0,5.0,-302.5
60,3915475,1660578896,0.641,0.641,10.027,1280x720-10,2453703,2522123,68420,9.6161,1660578897.618,0.5431999999999988,3.6789999999999994,10.0,0.0,-357.8999999999999
72,3920543,1660578902,1.312,1.312,13.752,1280x720-5,1124633,1191657,67024,4.5424,1660578902.127,5.0737,3.7250000000000014,5.0,5.0,-372.5000000000001
84,3923613,1660578905,1.235,1.235,14.662,1280x720-5,1124633,1190807,66174,4.5426,1660578905.131,0.00020000000000042206,0.9100000000000001,5.0,0.0,-86.00000000000001
96,3925837,1660578907,1.62,1.620,15.267,1280x720-5,1124633,1190809,66176,4.5426,1660578907.541,0.0,0.6049999999999986,5.0,0.0,-55.499999999999865
120,3933754,1660578915,0.235,0.235,19.703,1280x720-10,2351443,2380417,28974,9.0728,1660578915.784,4.530200000000001,4.436,10.0,5.0,-438.6
132,3941195,1660578922,1.053,1.053,25.955,1280x720-5,1124622,1191647,67025,4.5425,1660578923.64,4.5303,6.251999999999999,5.0,5.0,-625.1999999999999
144,3947650,1660578929,0.894,0.894,30.143,1280x720-5,1124622,1190804,66182,4.5425,1660578929.476,0.0,4.188000000000002,5.0,0.0,-413.80000000000024
156,3951673,1660578933,1.058,1.058,32.308,1280x720-5,1124622,1190802,66180,4.5425,1660578933.216,0.0,2.164999999999999,5.0,0.0,-211.49999999999991
168,3954775,1660578936,0.724,0.724,33.015,1280x720-5,1124622,1190801,66179,4.5425,1660578936.28,0.0,0.7070000000000007,5.0,0.0,-65.70000000000007
180,3957086,1660578938,1.769,1.769,34.331,1280x720-5,1124622,1190796,66174,4.5425,1660578938.601,0.0,1.3160000000000025,5.0,0.0,-126.60000000000025
204,3964073,1660578945,1.235,1.235,38.665,1280x720-10,2351443,2380421,28978,9.0729,1660578945.757,4.5304,4.333999999999996,10.0,5.0,-428.39999999999964
216,3966878,1660578948,1.537,1.537,39.726,1280x720-5,1124622,1191659,67037,4.5426,1660578948.479,4.5303,1.061,5.0,5.0,-106.1
240,3978745,1660578960,0.498,0.498,48.493,1280x720-10,2351443,2380421,28978,9.0729,1660578960.505,4.5303,8.767000000000003,10.0,5.0,-871.7000000000003
252,3984435,1660578965,1.055,1.055,52.624,1280x720-5,1124622,1191655,67033,4.5425,1660578966.1,4.5304,4.131,5.0,5.0,-413.1
264,3987957,1660578969,1.368,1.368,54.386,1280x720-5,1124622,1190801,66179,4.5425,1660578969.522,0.0,1.7620000000000005,5.0,0.0,-171.20000000000005
276,3991858,1660578973,1.212,1.212,56.101,1280x720-5,1124622,1190796,66174,4.5425,1660578973.588,0.0,1.7149999999999963,5.0,0.0,-166.49999999999963
288,3999817,1660578981,1.212,1.212,61.949,1280x720-5,1124622,1190804,66182,4.5425,1660578982.024,0.0,5.847999999999999,5.0,0.0,-579.8
300,4008899,1660578990,0.972,0.972,68.694,1280x720-5,1124622,1197826,73204,4.5693,1660578990.853,0.026799999999999713,6.7450000000000045,5.0,0.0,-669.5000000000005
312,4024227,1660579005,1.053,1.053,82.029,1280x720-5,1124622,1190795,66173,4.5425,1660579005.84,0.026799999999999713,13.334999999999994,5.0,0.0,-1328.4999999999993
324,4032112,1660579013,0.715,0.715,87.519,1280x720-5,1124622,1190808,66186,4.5426,1660579014.719,9.999999999976694e-05,5.490000000000009,5.0,0.0,-544.0000000000009
336,4037799,1660579019,1.052,1.052,91.499,1280x720-5,1124622,1190801,66179,4.5425,1660579021.256,9.999999999976694e-05,3.9799999999999898,5.0,0.0,-392.999999999999
348,4041676,1660579023,0.4,0.400,92.658,1280x720-5,1124622,1190799,66177,4.5425,1660579023.817,0.0,1.159000000000006,5.0,0.0,-110.9000000000006
360,4043996,1660579025,1.772,1.772,94.368,1280x720-5,1124622,1190801,66179,4.5425,1660579025.714,0.0,1.7099999999999937,5.0,0.0,-165.99999999999937
384,4045377,1660579026,2.39,2.390,94.368,1280x720-10,2351443,2380427,28984,9.0729,1660579026.959,4.5304,0.0,10.0,5.0,5.0
501,4050293,1660579031,0.907,0.907,95.728,1280x720-50,11859141,11890442,31301,45.3149,1660579031.835,36.242000000000004,1.3599999999999994,50.0,40.0,-125.99999999999994
513,4051491,1660579032,2.808,2.808,96.834,1280x720-5,1124622,1191659,67037,4.5426,1660579032.992,40.7723,1.1060000000000088,5.0,45.0,-150.60000000000088
630,4058285,1660579039,0.322,0.322,99.1,1280x720-50,11859141,11890458,31317,45.3148,1660579039.918,40.7722,2.265999999999991,50.0,45.0,-221.5999999999991
642,4058965,1660579040,2.273,2.273,99.705,1280x720-5,1124622,1191665,67043,4.5426,1660579040.47,40.7722,0.605000000000004,5.0,45.0,-100.5000000000004
666,4059893,1660579041,3.794,3.794,100.108,1280x720-10,2351443,2380429,28986,9.0729,1660579041.413,4.5303,0.4030000000000058,10.0,5.0,-35.30000000000058
