TIME_STAMP,cumRebuffer,Bitrate,VideoBuffer,qoe,avg_qoe,duration,start_time,end_time,Lat,Lon,5G_Time
8/8/22 23:01,83.406,38.27160494,2.253876543,-7185,-88.7037037,245,8/8/22 23:01,8/8/22 23:05,34.136345,-118.229057,0
8/9/22 2:27,1.158,72.27272727,3.334142857,6700,87.01298701,151,8/9/22 2:27,8/9/22 2:30,34.136345,-118.229057,0
8/9/22 18:22,25.899,44.27419355,2.456983871,-2974.2,-47.97096774,148,8/9/22 18:22,8/9/22 18:24,36.1134,-115.17318,0
8/9/22 22:41,81.314,40.3125,2.3195,-6679.6,-104.36875,209,8/9/22 22:41,8/9/22 22:45,36.1134,-115.17318,0
8/10/22 1:22,14.671,34.12790698,2.26477907,-1736.6,-20.19302326,187,8/10/22 1:22,8/10/22 1:25,39.739529,-111.82872,0
8/10/22 3:33,91.374,18.11320755,1.736169811,-9286.6,-175.2188679,198,8/10/22 3:33,8/10/22 3:36,39.739529,-111.82872,0
8/10/22 3:58,131.83,18.13559322,1.685491525,-13265.5,-224.8389831,262,8/10/22 3:58,8/10/22 4:02,40.1954,-111.648773,0
8/10/22 4:23,38.532,47.1875,2.57275,-1542.4,-19.28,198,8/10/22 4:23,8/10/22 4:26,40.566044,-111.899315,0
8/10/22 19:23,4.739,61.77419355,3.008096774,3916.9,42.1172043,192,8/10/22 19:23,8/10/22 19:26,40.725861,-111.853767,0
8/10/22 21:22,39.243,46.68918919,2.572391892,-2798.6,-37.81891892,207,8/10/22 21:22,8/10/22 21:25,40.752071,-111.613243,0
8/10/22 21:50,52.709,39.66101695,2.336728814,-3055.2,-51.78305085,171,8/10/22 21:50,8/10/22 21:53,41.025894,-111.348297,0
8/10/22 23:09,7.361,33.515625,2.2195625,-640.2,-10.003125,135,8/10/22 23:09,8/10/22 23:11,41.552219,-109.493172,0
8/10/22 23:58,1.609,33.17204301,2.322290323,204.6,2.2,185,8/10/22 23:58,8/11/22 0:01,41.645515,-109.021866,0
8/11/22 0:20,32.495,26.82926829,1.978426829,-3787.4,-46.18780488,198,8/11/22 0:20,8/11/22 0:23,41.643921,-108.55397,0
8/11/22 0:56,23.962,30.23529412,2.233105882,-3110.6,-36.59529412,192,8/11/22 0:56,8/11/22 0:59,41.747211,-107.586952,0
8/11/22 2:48,107.019,28.28947368,1.771921053,-11025.8,-290.1526316,182,8/11/22 2:48,8/11/22 2:51,41.363129,-105.776146,0
8/11/22 3:47,104.563,39.63855422,2.31413253,-9550.9,-115.0710843,273,8/11/22 3:47,8/11/22 3:51,41.056435,-105.472115,0
8/11/22 5:05,25.844,63.09734513,2.954168142,3286,29.07964602,251,8/11/22 5:05,8/11/22 5:09,40.267227,-104.9804,0
8/11/22 5:41,15.453,63.55,3.06117,4095.1,40.951,213,8/11/22 5:41,8/11/22 5:45,39.725876,-105.053307,0
8/11/22 20:58,40.561,48.1981982,2.604477477,-1309.5,-11.7972973,262,8/11/22 20:58,8/11/22 21:02,40.581802,-103.196938,0
8/11/22 21:22,2.619,65.36842105,3.032263158,5948.7,62.61789474,190,8/11/22 21:22,8/11/22 21:25,40.581802,-103.196938,0
8/11/22 21:56,66.763,36,2.238333333,-6395.6,-85.27466667,218,8/11/22 21:56,8/11/22 22:00,40.581802,-103.196938,0
8/12/22 0:13,33.121,54.01162791,2.762883721,-76.3,-0.887209302,206,8/12/22 0:13,8/12/22 0:16,41.10994,-101.365013,0
8/12/22 0:41,3.776,50.38043478,2.780304348,3523.2,38.29565217,187,8/12/22 0:41,8/12/22 0:44,41.077888,-100.604599,0
8/12/22 1:08,2.516,64.62365591,3.130989247,4949,53.21505376,186,8/12/22 1:08,8/12/22 1:11,40.824947,-99.936913,0
