,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,8546,52650,2022-08-11 20:58:32.200000,39.832798,-104.939034,8.394,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,326.0,,,,,,,,,,,16.56,-84.03,6570.0,10.0,19.96,0.73,-84.03
1,8547,52655,2022-08-11 20:58:32.700000,39.832882,-104.938934,17.045,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,326.0,,,,,,,,,,,,-77.01,8399.0,10.0,19.95,16.8,-77.01
2,8548,52666,2022-08-11 20:58:32.931603,39.832901,-104.938911,,,Handover Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8549,52675,2022-08-11 20:58:33.200000,39.832901,-104.938911,15.628,0.223,,884.55,326.0,11.07,0.0,-88.51,10.0,5.12,2.7,0.21,-88.51,,,,,,,,5.475,,,,,,,,1000.0,326.0,,,,,,,,,,,16.83,-78.37,13958.0,10.0,21.14,2.55,-78.37
4,8550,52680,2022-08-11 20:58:33.700000,39.832901,-104.938911,18.396,0.162,,884.55,326.0,11.67,0.0,-89.89,10.0,5.4,0.0,0.19,-89.89,,,,,,,,1.348,,,,,,,,1000.0,326.0,,,,,,,,,,,16.75,-79.19,10096.0,10.0,22.9,3.43,-79.19
5,8551,52685,2022-08-11 20:58:34.200000,39.833023,-104.938759,45.193,0.273,,,,11.67,0.0,,,4.71,0.0,0.171,,,,,,,,,1.918,,,,,,,,1000.0,326.0,,,,,,,,,,,18.0,-80.6,17032.0,10.0,19.77,0.64,-80.6
6,8552,52690,2022-08-11 20:58:34.700000,39.833179,-104.93856,58.789,0.311,,884.55,326.0,9.11,0.0,-90.25,10.0,5.11,11.54,0.279,-90.25,,,,,,,,2.535,,,,,,,,1000.0,326.0,,,,,,,,,,,20.17,-80.3,19466.0,10.0,21.07,6.67,-80.3
7,8553,52696,2022-08-11 20:58:35.200000,39.833279,-104.938438,78.01,0.429,,,,11.23,7.14,,,7.0,0.0,0.449,,,,,,,,,0.075,,,,,,,,1000.0,326.0,,,,,,,,,,,,-79.13,26836.0,10.0,23.57,0.0,-79.13
8,8554,52701,2022-08-11 20:58:35.700000,39.833363,-104.938339,65.257,0.387,,,,13.75,0.0,,,5.29,6.06,0.098,,,,,,,,,4.144,,,,,,,,1000.0,326.0,,,,,,,,,,,16.0,-87.23,24159.0,10.0,22.14,7.87,-87.23
9,8555,52706,2022-08-11 20:58:36.200000,39.833447,-104.93824,103.593,0.485,,,,4.89,10.0,,,6.85,12.99,0.285,,,,,,,,,12.509,,,,,,,,1000.0,326.0,,,,,,,,,,,17.7,-82.86,30326.0,10.0,22.25,11.49,-82.86
