,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,6995,40932,2022-08-11 03:47:44.000,41.052158,-105.469048,10.237,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,9.835,0.205,,,,,,,,,23.33,-95.74,9881.0,10.0,25.75,13.04,-95.74
1,6996,40937,2022-08-11 03:47:44.500,41.052025,-105.468933,9.848,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,,,,,,,,,,,24.2,-95.41,8576.0,10.0,23.88,15.45,-95.41
2,6997,40942,2022-08-11 03:47:45.000,41.051891,-105.468819,9.413,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,9.743,0.196,,,,,,,,,23.0,-95.41,9600.0,10.0,23.77,9.78,-95.41
3,6998,40947,2022-08-11 03:47:45.500,41.051758,-105.468704,10.03,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,,,,,,,,,,,22.0,-96.49,9080.0,10.0,24.29,9.57,-96.49
4,6999,40952,2022-08-11 03:47:46.000,41.051628,-105.468597,9.53,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,9.443,0.199,,,,,,,,,20.3,-97.41,9073.0,10.0,22.22,10.71,-97.41
5,7000,40958,2022-08-11 03:47:46.500,41.051506,-105.468475,9.483,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,,,,,,,,,,,23.08,-95.32,7074.0,10.0,23.2,8.7,-95.32
6,7001,40963,2022-08-11 03:47:47.000,41.05138,-105.468361,9.076,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,9.186,0.166,,,,,,,,,19.27,-97.24,11039.0,10.0,21.55,18.84,-97.24
7,7002,40968,2022-08-11 03:47:47.500,41.051247,-105.468239,9.094,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,,,,,,,,,,,19.64,-98.83,8122.0,10.0,22.2,8.99,-98.83
8,7003,40973,2022-08-11 03:47:48.000,41.051109,-105.468117,9.117,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,9.926,0.169,,,,,,,,,19.08,-99.29,8648.0,10.0,23.02,6.52,-99.29
9,7004,40978,2022-08-11 03:47:48.500,41.050987,-105.468002,9.527,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,2560.0,370.0,,,,,,,,,,,18.83,-97.75,9176.0,10.0,23.07,17.39,-97.75
