,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,9502,58055,2022-08-12 00:41:31.100000,41.08046,-100.608543,8.918,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,17.0,-106.05,12789.0,10.0,14.15,8.66,-106.05
1,9503,58060,2022-08-12 00:41:31.600000,41.080353,-100.608383,10.451,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,,-101.91,12053.0,10.0,,,-101.91
2,9504,58065,2022-08-12 00:41:32.100000,41.08025,-100.608223,12.821,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,14.31,-106.02,9589.0,10.0,18.86,12.03,-106.02
3,9505,58070,2022-08-12 00:41:32.600000,41.080147,-100.60807,21.888,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,16.33,-105.13,12109.0,10.0,19.41,2.96,-105.13
4,9506,58075,2022-08-12 00:41:33.100000,41.080036,-100.60791,18.335,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,14.4,-105.34,10114.0,10.0,23.42,7.17,-105.34
5,9507,58080,2022-08-12 00:41:33.600000,41.079926,-100.60775,30.563,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,15.0,-104.51,13098.0,10.0,17.84,6.01,-104.51
6,9508,58085,2022-08-12 00:41:34.100000,41.079819,-100.607582,43.366,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,18.0,-107.88,18014.0,10.0,21.43,8.26,-107.88
7,9509,58090,2022-08-12 00:41:34.600000,41.079708,-100.607422,34.318,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,123.0,,,,,,,,,,,5.5,-112.44,13523.0,10.0,11.47,38.56,-112.44
8,9510,58094,2022-08-12 00:41:34.867004,41.079655,-100.60733,,,Handover Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9511,58101,2022-08-12 00:41:35.100000,41.079605,-100.607254,6.841,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,253.0,,,,,,,,,,,13.0,-97.19,4146.0,10.0,18.0,5.33,-97.19
