idx,size,avail,enc_fin,offload,inf,recv
0,51200,1660194027615,1660194027621,1660194027621,26,1660194032354
143,51200,1660194032381,1660194032388,1660194032388,26,1660194032753
155,51200,1660194032781,1660194032788,1660194032789,26,1660194033118
166,51200,1660194033148,1660194033154,1660194033155,26,1660194033524
178,51200,1660194033548,1660194033554,1660194033555,26,1660194033923
190,51200,1660194033948,1660194033954,1660194033955,26,1660194034240
199,51200,1660194034248,1660194034254,1660194034255,26,1660194034598
210,51200,1660194034614,1660194034621,1660194034622,26,1660194034918
220,51200,1660194034948,1660194034954,1660194034955,26,1660194035213
228,51200,1660194035214,1660194035221,1660194035221,26,1660194035519
238,51200,1660194035548,1660194035554,1660194035555,26,1660194035799
246,51200,1660194035815,1660194035821,1660194035822,26,1660194036079
254,51200,1660194036081,1660194036088,1660194036088,26,1660194036398
264,51200,1660194036415,1660194036421,1660194036422,26,1660194036678
272,51200,1660194036681,1660194036688,1660194036688,26,1660194036959
281,51200,1660194036981,1660194036988,1660194036988,26,1660194037279
290,51200,1660194037281,1660194037288,1660194037288,26,1660194037532
298,51200,1660194037548,1660194037554,1660194037555,26,1660194038118
316,51200,1660194038148,1660194038154,1660194038155,26,1660194038452
326,51200,1660194038481,1660194038488,1660194038488,26,1660194038718
334,51200,1660194038748,1660194038754,1660194038755,26,1660194038999
342,51200,1660194039015,1660194039021,1660194039022,26,1660194039320
352,51200,1660194039348,1660194039354,1660194039355,26,1660194039640
361,51200,1660194039648,1660194039654,1660194039655,26,1660194039918
370,51200,1660194039948,1660194039954,1660194039955,26,1660194040238
379,51200,1660194040248,1660194040254,1660194040255,26,1660194040518
388,51200,1660194040548,1660194040554,1660194040555,26,1660194040839
397,51200,1660194040848,1660194040854,1660194040855,26,1660194041159
407,51200,1660194041181,1660194041188,1660194041188,26,1660194041478
416,51200,1660194041481,1660194041488,1660194041489,26,1660194041678
422,51200,1660194041681,1660194041689,1660194041690,26,1660194041919
430,51200,1660194041948,1660194041954,1660194041955,26,1660194042159
437,51200,1660194042181,1660194042187,1660194042189,26,1660194042399
444,51200,1660194042414,1660194042421,1660194042422,26,1660194042646
451,51200,1660194042648,1660194042654,1660194042655,26,1660194042839
457,51200,1660194042848,1660194042854,1660194042855,26,1660194043039
463,51200,1660194043048,1660194043054,1660194043055,26,1660194043278
470,51200,1660194043281,1660194043287,1660194043288,26,1660194043452
476,51200,1660194043481,1660194043488,1660194043488,26,1660194043652
482,51200,1660194043685,1660194043691,1660194043692,26,1660194043919
490,51200,1660194043948,1660194043954,1660194043955,26,1660194044199
498,51200,1660194044215,1660194044221,1660194044222,26,1660194044372
503,51200,1660194044381,1660194044387,1660194044388,26,1660194044599
510,51200,1660194044614,1660194044621,1660194044622,26,1660194044798
516,51200,1660194044814,1660194044821,1660194044822,26,1660194044972
521,51200,1660194044981,1660194044987,1660194044988,26,1660194045238
529,51200,1660194045248,1660194045254,1660194045255,26,1660194045452
536,51200,1660194045481,1660194045488,1660194045488,26,1660194045719
544,51200,1660194045748,1660194045754,1660194045755,26,1660194045999
552,51200,1660194046014,1660194046021,1660194046022,26,1660194046172
557,51200,1660194046181,1660194046187,1660194046188,26,1660194046399
564,51200,1660194046414,1660194046421,1660194046422,26,1660194046638
571,51200,1660194046648,1660194046654,1660194046655,26,1660194046812
576,51200,1660194046814,1660194046821,1660194046822,26,1660194046979
581,51200,1660194046981,1660194046987,1660194046988,26,1660194047240
589,51200,1660194047248,1660194047254,1660194047255,26,1660194047412
594,51200,1660194047414,1660194047421,1660194047422,26,1660194047582
