TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-12 20:36:01.000000,-94.141342,41.517609,,,,,,
2022-08-12 20:36:01.594569,-94.141342,41.517609,,,,,,
2022-08-12 20:36:01.700000,-94.141342,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:01.703186,-94.141342,41.517609,,RRC Setup Start,,,,
2022-08-12 20:36:01.723328,-94.141335,41.517609,,PRACH: Msg1(RA),,,,
2022-08-12 20:36:01.725083,-94.141335,41.517609,,PRACH: Msg2(RAR),,,,
2022-08-12 20:36:01.725097,-94.141335,41.517609,,PRACH: Msg3(UE ID),,,,
2022-08-12 20:36:01.727129,-94.141335,41.517609,,PRACH: Msg4[Pass],,,,
2022-08-12 20:36:01.727148,-94.141335,41.517609,,Received RAR[True],,,,
2022-08-12 20:36:01.728168,-94.141335,41.517609,,RRC Setup Success,,,,
2022-08-12 20:36:01.800000,-94.141304,41.517609,0.016,,,5145.0,179.0,
2022-08-12 20:36:01.900000,-94.141273,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:02.000000,-94.141235,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:02.100000,-94.141205,41.517609,,,,,,
2022-08-12 20:36:02.200000,-94.141174,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:02.300000,-94.141136,41.517609,0.002,,,,,
2022-08-12 20:36:02.400000,-94.141106,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:02.500000,-94.141068,41.517609,,,,,,
2022-08-12 20:36:02.600000,-94.141037,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:02.700000,-94.140999,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:02.800000,-94.140968,41.517609,0.02,,,5145.0,179.0,
2022-08-12 20:36:02.900000,-94.14093,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.000000,-94.1409,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.100000,-94.140862,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.200000,-94.140831,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.300000,-94.1408,41.517609,1.721,,,5145.0,179.0,
2022-08-12 20:36:03.400000,-94.140762,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.500000,-94.140732,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.600000,-94.140694,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.700000,-94.140663,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:03.800000,-94.140633,41.517609,1.706,,,5145.0,179.0,
2022-08-12 20:36:03.900000,-94.140594,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.000000,-94.140564,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.100000,-94.140526,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.200000,-94.140495,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.300000,-94.140465,41.517609,1.711,,,5145.0,179.0,
2022-08-12 20:36:04.400000,-94.140427,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.500000,-94.140396,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.600000,-94.140358,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.700000,-94.140327,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:04.800000,-94.140297,41.517609,1.706,,,5145.0,179.0,
2022-08-12 20:36:04.900000,-94.140259,41.517609,,,,5145.0,179.0,
2022-08-12 20:36:05.000000,-94.140228,41.517605,,,,5145.0,179.0,
2022-08-12 20:36:05.100000,-94.140198,41.517605,,,,5145.0,179.0,
2022-08-12 20:36:05.200000,-94.140167,41.517605,,,,5145.0,179.0,
2022-08-12 20:36:05.300000,-94.140129,41.517605,1.707,,,5145.0,179.0,
2022-08-12 20:36:05.400000,-94.140099,41.517605,,,,5145.0,179.0,
2022-08-12 20:36:05.500000,-94.140068,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:05.600000,-94.14003,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:05.700000,-94.139999,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:05.800000,-94.139969,41.517601,1.707,,,5145.0,179.0,
2022-08-12 20:36:05.900000,-94.139931,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.000000,-94.1399,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.100000,-94.13987,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.200000,-94.139832,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.300000,-94.139801,41.517601,1.707,,,5145.0,179.0,
2022-08-12 20:36:06.400000,-94.139771,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.500000,-94.13974,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.600000,-94.139702,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.700000,-94.139671,41.517601,,,,5145.0,179.0,
2022-08-12 20:36:06.800000,-94.139641,41.517601,0.854,,,5145.0,179.0,
