idx,size,avail,enc_fin,offload,inf,recv
0,51200,1660513618049,1660513618055,1660513618055,26,1660513618328
9,51200,1660513618348,1660513618355,1660513618356,26,1660513618487
14,51200,1660513618515,1660513618522,1660513618522,26,1660513618684
20,51200,1660513618715,1660513618722,1660513618723,26,1660513618925
27,51200,1660513618948,1660513618955,1660513618956,26,1660513619174
34,51200,1660513619182,1660513619188,1660513619189,26,1660513619297
38,51200,1660513619315,1660513619322,1660513619322,26,1660513619474
43,51200,1660513619482,1660513619488,1660513619489,26,1660513619611
47,51200,1660513619615,1660513619621,1660513619622,26,1660513619736
51,51200,1660513619748,1660513619755,1660513619756,26,1660513619902
56,51200,1660513619915,1660513619922,1660513619922,26,1660513620038
60,51200,1660513620048,1660513620055,1660513620056,26,1660513620167
64,51200,1660513620182,1660513620188,1660513620189,26,1660513620342
69,51200,1660513620348,1660513620355,1660513620356,26,1660513620458
73,51200,1660513620482,1660513620488,1660513620489,26,1660513620593
77,51200,1660513620615,1660513620621,1660513620622,26,1660513620782
83,51200,1660513620815,1660513620822,1660513620822,26,1660513620941
87,51200,1660513620949,1660513620955,1660513620956,26,1660513621067
91,51200,1660513621082,1660513621088,1660513621089,26,1660513621197
95,51200,1660513621215,1660513621222,1660513621222,26,1660513621386
101,51200,1660513621415,1660513621422,1660513621422,26,1660513621538
105,51200,1660513621548,1660513621555,1660513621556,26,1660513621658
109,51200,1660513621682,1660513621688,1660513621689,26,1660513621832
114,51200,1660513621848,1660513621855,1660513621855,26,1660513621962
118,51200,1660513621982,1660513621988,1660513621989,26,1660513622091
122,51200,1660513622115,1660513622121,1660513622122,26,1660513622283
128,51200,1660513622315,1660513622322,1660513622322,26,1660513622437
132,51200,1660513622448,1660513622455,1660513622456,26,1660513622566
136,51200,1660513622582,1660513622588,1660513622589,26,1660513622697
140,51200,1660513622715,1660513622721,1660513622722,26,1660513622881
145,51200,1660513622882,1660513622888,1660513622889,26,1660513622997
149,51200,1660513623015,1660513623021,1660513623022,26,1660513623136
153,51200,1660513623148,1660513623155,1660513623155,26,1660513623297
158,51200,1660513623315,1660513623321,1660513623322,26,1660513623429
162,51200,1660513623448,1660513623455,1660513623456,26,1660513623572
166,51200,1660513623582,1660513623588,1660513623589,26,1660513623748
172,51200,1660513623782,1660513623788,1660513623789,26,1660513623897
176,51200,1660513623915,1660513623921,1660513623922,26,1660513624028
180,51200,1660513624048,1660513624055,1660513624055,26,1660513624167
184,51200,1660513624182,1660513624188,1660513624189,26,1660513624338
189,51200,1660513624348,1660513624355,1660513624356,26,1660513624456
193,51200,1660513624482,1660513624488,1660513624489,26,1660513624591
197,51200,1660513624615,1660513624621,1660513624622,26,1660513624772
202,51200,1660513624782,1660513624788,1660513624789,26,1660513624892
206,51200,1660513624915,1660513624921,1660513624922,26,1660513625027
210,51200,1660513625048,1660513625055,1660513625056,26,1660513625202
215,51200,1660513625215,1660513625221,1660513625222,26,1660513625328
219,51200,1660513625348,1660513625355,1660513625355,26,1660513625466
223,51200,1660513625482,1660513625488,1660513625489,26,1660513625648
229,51200,1660513625682,1660513625688,1660513625689,26,1660513625797
233,51200,1660513625815,1660513625821,1660513625822,26,1660513625938
237,51200,1660513625948,1660513625955,1660513625955,26,1660513626056
241,51200,1660513626082,1660513626088,1660513626089,26,1660513626232
246,51200,1660513626249,1660513626256,1660513626257,26,1660513626391
251,51200,1660513626415,1660513626422,1660513626422,26,1660513626526
255,51200,1660513626548,1660513626555,1660513626556,26,1660513626712
260,51200,1660513626715,1660513626721,1660513626722,26,1660513626839
264,51200,1660513626848,1660513626855,1660513626855,26,1660513626956
268,51200,1660513626982,1660513626988,1660513626989,26,1660513627141
273,51200,1660513627148,1660513627155,1660513627155,26,1660513627256
277,51200,1660513627282,1660513627288,1660513627289,26,1660513627397
281,51200,1660513627415,1660513627422,1660513627422,26,1660513627587
287,51200,1660513627615,1660513627621,1660513627622,26,1660513627731
291,51200,1660513627748,1660513627755,1660513627756,26,1660513627866
295,51200,1660513627882,1660513627888,1660513627889,26,1660513628042
300,51200,1660513628048,1660513628055,1660513628055,26,1660513628167
304,51200,1660513628182,1660513628188,1660513628189,26,1660513628296
308,51200,1660513628315,1660513628321,1660513628322,26,1660513628489
314,51200,1660513628515,1660513628521,1660513628522,26,1660513628627
318,51200,1660513628648,1660513628655,1660513628655,26,1660513628768
322,51200,1660513628782,1660513628788,1660513628789,26,1660513628931
327,51200,1660513628948,1660513628955,1660513628955,26,1660513629058
331,51200,1660513629082,1660513629088,1660513629089,26,1660513629191
335,51200,1660513629215,1660513629221,1660513629222,26,1660513629368
340,51200,1660513629382,1660513629388,1660513629389,26,1660513629492
344,51200,1660513629515,1660513629521,1660513629522,26,1660513629637
348,51200,1660513629648,1660513629655,1660513629655,26,1660513629807
353,51200,1660513629815,1660513629821,1660513629822,26,1660513629937
357,51200,1660513629948,1660513629955,1660513629955,26,1660513630056
361,51200,1660513630082,1660513630088,1660513630089,26,1660513630288
368,51200,1660513630315,1660513630321,1660513630322,26,1660513630427
372,51200,1660513630448,1660513630455,1660513630455,26,1660513630572
376,51200,1660513630582,1660513630588,1660513630589,26,1660513630748
381,51200,1660513630748,1660513630755,1660513630755,26,1660513630862
385,51200,1660513630882,1660513630888,1660513630889,26,1660513630997
389,51200,1660513631015,1660513631021,1660513631022,26,1660513631182
395,51200,1660513631215,1660513631221,1660513631222,26,1660513631328
399,51200,1660513631348,1660513631355,1660513631356,26,1660513631457
403,51200,1660513631482,1660513631488,1660513631489,26,1660513631598
407,51200,1660513631615,1660513631621,1660513631622,26,1660513631787
413,51200,1660513631815,1660513631821,1660513631822,26,1660513631938
417,51200,1660513631948,1660513631955,1660513631955,26,1660513632058
421,51200,1660513632082,1660513632088,1660513632089,26,1660513632248
426,51200,1660513632248,1660513632255,1660513632255,26,1660513632367
430,51200,1660513632382,1660513632388,1660513632389,26,1660513632492
434,51200,1660513632515,1660513632521,1660513632522,26,1660513632672
439,51200,1660513632682,1660513632688,1660513632689,26,1660513632792
443,51200,1660513632815,1660513632821,1660513632822,26,1660513632927
447,51200,1660513632948,1660513632955,1660513632955,26,1660513633118
453,51200,1660513633148,1660513633155,1660513633155,26,1660513633257
457,51200,1660513633282,1660513633288,1660513633289,26,1660513633398
461,51200,1660513633415,1660513633421,1660513633422,26,1660513633587
467,51200,1660513633615,1660513633621,1660513633622,26,1660513633738
471,51200,1660513633748,1660513633755,1660513633755,26,1660513633857
475,51200,1660513633882,1660513633888,1660513633889,26,1660513634056
481,51200,1660513634082,1660513634088,1660513634089,26,1660513634197
485,51200,1660513634215,1660513634221,1660513634222,26,1660513634332
489,51200,1660513634348,1660513634355,1660513634355,26,1660513634502
494,51200,1660513634515,1660513634521,1660513634522,26,1660513634628
498,51200,1660513634648,1660513634655,1660513634655,26,1660513634757
502,51200,1660513634782,1660513634788,1660513634789,26,1660513634948
508,51200,1660513634982,1660513634988,1660513634989,26,1660513635092
512,51200,1660513635115,1660513635121,1660513635122,26,1660513635236
516,51200,1660513635248,1660513635255,1660513635255,26,1660513635367
520,51200,1660513635382,1660513635389,1660513635389,26,1660513635538
525,51200,1660513635548,1660513635555,1660513635555,26,1660513635656
529,51200,1660513635682,1660513635688,1660513635689,26,1660513635797
533,51200,1660513635815,1660513635821,1660513635822,26,1660513635988
539,51200,1660513636015,1660513636021,1660513636022,26,1660513636132
543,51200,1660513636148,1660513636155,1660513636155,26,1660513636268
547,51200,1660513636282,1660513636288,1660513636289,26,1660513636442
552,51200,1660513636448,1660513636455,1660513636455,26,1660513636571
556,51200,1660513636581,1660513636588,1660513636589,26,1660513636701
560,51200,1660513636715,1660513636721,1660513636722,26,1660513636879
565,51200,1660513636882,1660513636888,1660513636889,26,1660513636992
569,51200,1660513637015,1660513637021,1660513637022,26,1660513637128
573,51200,1660513637148,1660513637155,1660513637155,26,1660513637298
578,51200,1660513637315,1660513637321,1660513637322,26,1660513637426
582,51200,1660513637448,1660513637455,1660513637455,26,1660513637562
586,51200,1660513637582,1660513637588,1660513637589,26,1660513637732
591,51200,1660513637748,1660513637755,1660513637755,26,1660513637856
595,51200,1660513637882,1660513637888,1660513637889,26,1660513637991
