TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-11 19:13:53.000000,-105.005203,39.747471,,,,,,
2022-08-11 19:13:53.300000,-105.005203,39.747471,,,2638.95,,,574.0
2022-08-11 19:13:53.313253,-105.005203,39.747471,,,,,,
2022-08-11 19:13:53.400000,-105.005203,39.747471,,,,66487.0,227.0,
2022-08-11 19:13:53.500000,-105.005203,39.747471,0.0,,2638.95,,,574.0
2022-08-11 19:13:53.600000,-105.005203,39.747471,,,2638.95,,,574.0
2022-08-11 19:13:53.700000,-105.005203,39.747471,,,,66487.0,227.0,
2022-08-11 19:13:53.800000,-105.005203,39.747471,,,2638.95,,,574.0
2022-08-11 19:13:53.900000,-105.005203,39.747471,,,2638.95,,,574.0
2022-08-11 19:13:54.000000,-105.005203,39.747471,0.0,,,66487.0,227.0,
2022-08-11 19:13:54.100000,-105.005203,39.747471,,,2638.95,,,574.0
2022-08-11 19:13:54.200000,-105.005211,39.747475,,,,,,
2022-08-11 19:13:54.300000,-105.005211,39.747478,,,2638.95,,,574.0
2022-08-11 19:13:54.400000,-105.005219,39.747478,,,,66487.0,227.0,
2022-08-11 19:13:54.500000,-105.005219,39.747482,0.0,,2638.95,,,574.0
2022-08-11 19:13:54.600000,-105.005226,39.747486,,,2638.95,,,574.0
2022-08-11 19:13:54.700000,-105.005234,39.74749,,,2638.95,66487.0,227.0,574.0
2022-08-11 19:13:54.800000,-105.005234,39.747494,,,,,,
2022-08-11 19:13:54.900000,-105.005241,39.747494,,,2638.95,,,574.0
2022-08-11 19:13:55.000000,-105.005241,39.747498,0.0,,,66487.0,227.0,
2022-08-11 19:13:55.100000,-105.005249,39.747501,,,2638.95,,,574.0
2022-08-11 19:13:55.200000,-105.005257,39.747505,,,,,,
2022-08-11 19:13:55.300000,-105.005264,39.747509,,,2638.95,66487.0,227.0,574.0
2022-08-11 19:13:55.400000,-105.005264,39.747509,,,2638.95,,,574.0
2022-08-11 19:13:55.500000,-105.005272,39.747513,0.001,,,66487.0,227.0,
2022-08-11 19:13:55.600000,-105.00528,39.747517,,,2638.95,66487.0,227.0,574.0
2022-08-11 19:13:55.700000,-105.005287,39.74752,,,2638.95,66487.0,227.0,574.0
2022-08-11 19:13:55.800000,-105.005295,39.747524,,,,66487.0,227.0,
2022-08-11 19:13:55.900000,-105.005295,39.747524,,,2638.95,66487.0,227.0,574.0
