TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-14 21:46:18.000000,41.495319,-81.672409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:18.022483,41.495319,-81.672409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:18.100000,41.495319,-81.672409,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.0,,0.0,
2022-08-14 21:46:18.200000,41.495319,-81.672409,,,2545.35,,,615.0,,,,,,0.0,,,,,,,,,,,,,,,-63.13,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 21:46:18.300000,41.495319,-81.672409,,,2545.35,66536.0,24.0,615.0,,,,,,0.0,,,,,,,,20.0,,,,,,-70.88,-63.23,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 21:46:18.400000,42.18219,-72.211998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:18.400000,41.495319,-81.672409,0.0,,2545.35,,,615.0,,,,,,0.0,,,,,,,,,,,,,,,-63.27,0.0,,,,,,0.003,,,,,,,,,4.0,,0.0,0.0
2022-08-14 21:46:18.500000,41.495319,-81.672409,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 21:46:18.600000,42.18219,-72.211998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:18.600000,41.495319,-81.672409,,,2545.35,66536.0,24.0,615.0,,,,,,0.0,,,,,,,,20.0,,,,,,-72.0,-63.22,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 21:46:18.700000,41.495319,-81.672409,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:18.800000,42.18219,-72.211998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:18.800000,41.495319,-81.672409,,,2545.35,,,615.0,,,,,,0.0,,,,,,,,,,,,,,,-63.13,,,,,,,0.006,,,,,,,,,4.0,,0.0,
2022-08-14 21:46:18.900000,41.495319,-81.672409,0.0,,2545.35,66536.0,24.0,615.0,,,,,,0.0,,,,,,,,20.0,,,,,,-71.44,-63.16,0.0,,,,,,0.0,,,,,,,,,,,,0.0
2022-08-14 21:46:18.900000,42.18219,-72.211998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:19.000000,41.495319,-81.672409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2022-08-14 21:46:19.100000,42.18219,-72.211998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:19.100000,41.495319,-81.672409,,,2545.35,,,615.0,,,,,,0.0,,,,,,,,,,,,,,,-63.02,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:19.200000,41.495319,-81.672409,,,2545.35,,,615.0,,,,,,0.0,,,,,,,,,,,,,,,-62.98,,,,,,,0.008,,,,,,,,,0.0,,0.0,
2022-08-14 21:46:19.200000,42.18219,-72.211998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 21:46:19.300000,41.495319,-81.672409,,,,66536.0,24.0,,,,,,,0.0,,,,,,,,20.0,,,,,,-70.94,,,,,,,,0.0,,,,,,,,,,0.0,,
