idx,size,avail,enc_fin,offload,inf,recv
0,51200,1660179069079,1660179069085,1660179069086,26,1660179069409
10,51200,1660179069412,1660179069419,1660179069419,26,1660179069649
18,51200,1660179069680,1660179069686,1660179069687,26,1660179069909
25,51200,1660179069912,1660179069918,1660179069919,26,1660179070120
32,51200,1660179070145,1660179070153,1660179070154,26,1660179070415
41,51200,1660179070446,1660179070452,1660179070453,26,1660179070658
48,51200,1660179070679,1660179070686,1660179070686,26,1660179070918
56,51200,1660179070945,1660179070952,1660179070952,26,1660179071220
65,51200,1660179071246,1660179071253,1660179071254,26,1660179071477
72,51200,1660179071478,1660179071485,1660179071486,26,1660179071701
79,51200,1660179071712,1660179071718,1660179071718,26,1660179071957
87,51200,1660179071979,1660179071985,1660179071986,26,1660179072198
94,51200,1660179072212,1660179072218,1660179072219,26,1660179072438
101,51200,1660179072445,1660179072452,1660179072452,26,1660179072729
110,51200,1660179072745,1660179072752,1660179072752,26,1660179072966
117,51200,1660179072979,1660179072985,1660179072985,26,1660179073207
124,51200,1660179073212,1660179073218,1660179073219,26,1660179073557
135,51200,1660179073578,1660179073585,1660179073586,26,1660179073810
142,51200,1660179073812,1660179073818,1660179073819,26,1660179074018
149,51200,1660179074045,1660179074052,1660179074052,26,1660179074278
156,51200,1660179074278,1660179074285,1660179074285,26,1660179074469
162,51200,1660179074478,1660179074485,1660179074485,26,1660179074677
168,51200,1660179074678,1660179074685,1660179074685,26,1660179074918
176,51200,1660179074945,1660179074952,1660179074952,26,1660179075157
183,51200,1660179075178,1660179075185,1660179075185,26,1660179075379
190,51200,1660179075412,1660179075418,1660179075419,26,1660179075637
197,51200,1660179075645,1660179075651,1660179075652,26,1660179075883
205,51200,1660179075912,1660179075918,1660179075918,26,1660179076118
212,51200,1660179076145,1660179076152,1660179076152,26,1660179076357
219,51200,1660179076378,1660179076385,1660179076385,26,1660179076618
227,51200,1660179076645,1660179076651,1660179076652,26,1660179076848
234,51200,1660179076878,1660179076885,1660179076886,26,1660179077088
241,51200,1660179077112,1660179077118,1660179077119,26,1660179077318
248,51200,1660179077345,1660179077352,1660179077352,26,1660179077589
256,51200,1660179077612,1660179077618,1660179077619,26,1660179077808
262,51200,1660179077812,1660179077818,1660179077819,26,1660179078007
268,51200,1660179078012,1660179078018,1660179078019,26,1660179078259
276,51200,1660179078278,1660179078285,1660179078286,26,1660179078486
283,51200,1660179078512,1660179078518,1660179078519,26,1660179078698
289,51200,1660179078712,1660179078718,1660179078719,26,1660179078966
297,51200,1660179078978,1660179078985,1660179078986,26,1660179079178
303,51200,1660179079178,1660179079185,1660179079185,26,1660179079367
309,51200,1660179079378,1660179079385,1660179079385,26,1660179079637
317,51200,1660179079645,1660179079652,1660179079652,26,1660179079846
324,51200,1660179079878,1660179079885,1660179079886,26,1660179080086
331,51200,1660179080112,1660179080118,1660179080119,26,1660179080298
337,51200,1660179080312,1660179080318,1660179080319,26,1660179080566
345,51200,1660179080578,1660179080585,1660179080585,26,1660179080788
352,51200,1660179080812,1660179080818,1660179080819,26,1660179081008
358,51200,1660179081012,1660179081018,1660179081019,26,1660179081248
366,51200,1660179081278,1660179081285,1660179081285,26,1660179081500
373,51200,1660179081512,1660179081518,1660179081519,26,1660179081718
380,51200,1660179081745,1660179081751,1660179081752,26,1660179081983
388,51200,1660179082012,1660179082018,1660179082019,26,1660179082259
396,51200,1660179082278,1660179082285,1660179082285,26,1660179082468
402,51200,1660179082478,1660179082485,1660179082485,26,1660179082678
408,51200,1660179082678,1660179082685,1660179082685,26,1660179082902
415,51200,1660179082912,1660179082918,1660179082919,26,1660179083100
421,51200,1660179083112,1660179083118,1660179083119,26,1660179083328
428,51200,1660179083345,1660179083351,1660179083352,26,1660179083588
436,51200,1660179083612,1660179083618,1660179083619,26,1660179083798
442,51200,1660179083812,1660179083818,1660179083819,26,1660179083988
448,51200,1660179084012,1660179084018,1660179084019,26,1660179084258
456,51200,1660179084278,1660179084285,1660179084285,26,1660179084486
463,51200,1660179084512,1660179084518,1660179084519,26,1660179084711
469,51200,1660179084712,1660179084718,1660179084719,26,1660179084968
477,51200,1660179084978,1660179084985,1660179084986,26,1660179085179
484,51200,1660179085212,1660179085218,1660179085219,26,1660179085399
490,51200,1660179085412,1660179085418,1660179085419,26,1660179085607
496,51200,1660179085612,1660179085618,1660179085619,26,1660179085858
504,51200,1660179085878,1660179085885,1660179085885,26,1660179086060
510,51200,1660179086078,1660179086085,1660179086085,26,1660179086279
517,51200,1660179086312,1660179086318,1660179086319,26,1660179086518
524,51200,1660179086545,1660179086551,1660179086552,26,1660179086789
532,51200,1660179086812,1660179086818,1660179086819,26,1660179087008
538,51200,1660179087012,1660179087018,1660179087019,26,1660179087208
544,51200,1660179087212,1660179087218,1660179087219,26,1660179087458
552,51200,1660179087478,1660179087485,1660179087485,26,1660179087668
558,51200,1660179087678,1660179087685,1660179087685,26,1660179087889
565,51200,1660179087912,1660179087918,1660179087919,26,1660179088149
573,51200,1660179088178,1660179088185,1660179088185,26,1660179088388
580,51200,1660179088412,1660179088418,1660179088419,26,1660179088608
586,51200,1660179088612,1660179088618,1660179088619,26,1660179088859
