TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-15 22:46:06.000000,42.35815,-71.145439,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-84.34,,,0.001,,,,,,,,,,,,,,,,,
2022-08-15 22:46:06.024629,42.35815,-71.145439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-15 22:46:06.100000,42.35815,-71.145439,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-84.6,,,,,,,,,,,,,,,,19.0,,,,
2022-08-15 22:46:06.200000,42.35815,-71.145439,0.0,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-86.0,,0.0,,,,,,,,,,,,,,,,33.33,,0.0
2022-08-15 22:46:06.300000,42.35815,-71.145439,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-86.63,,,,,,,,,,,,,,,,,,,,
2022-08-15 22:46:06.400000,42.35815,-71.145439,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-87.94,,,,,,,,,,,,,,,,,,,,
2022-08-15 22:46:06.500000,42.358147,-71.145401,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-87.72,,,,,,,,,,,,,,,,,,,,
2022-08-15 22:46:06.600000,42.358143,-71.14537,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-87.58,,,,,,,,,,,,,,,,,,,,
2022-08-15 22:46:06.700000,42.358139,-71.145332,0.0,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,0.0,,0.0,,-86.72,,0.0,,,,,,,,,,,,,,,,,,0.0
2022-08-15 22:46:06.800000,42.358135,-71.145302,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-87.83,,,,,,,,,,,,,,,,,,,,
2022-08-15 22:46:06.900000,42.358131,-71.145264,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-86.8,,,,,,,,,,,,,,,,,,,,
2022-08-15 22:46:07.000000,42.358124,-71.145226,,,,1025.0,99.0,,0.008,,,,,,,,,,,,,5.0,,,,,,-84.49,,,0.007,,,,,,,,,,,,,,,,,
2022-08-15 22:46:07.100000,42.35812,-71.145195,,,,1025.0,99.0,,,,,,,,,,,,,,,5.0,,,,,,-85.29,,,,,,,,,,,,,,,,,,,,
