idx,size,avail,enc_fin,offload,inf,recv
0,460800,1660332652346,1660332652346,1660332652346,25,1660332652916
18,460800,1660332652946,1660332652946,1660332652947,25,1660332653246
28,460800,1660332653279,1660332653279,1660332653281,25,1660332653546
36,460800,1660332653546,1660332653546,1660332653548,25,1660332653892
47,460800,1660332653912,1660332653912,1660332653914,25,1660332654226
57,460800,1660332654246,1660332654246,1660332654248,25,1660332654586
68,460800,1660332654612,1660332654612,1660332654614,25,1660332655026
81,460800,1660332655046,1660332655046,1660332655048,25,1660332655374
91,460800,1660332655379,1660332655379,1660332655381,25,1660332655756
103,460800,1660332655779,1660332655779,1660332655781,25,1660332656186
116,460800,1660332656212,1660332656212,1660332656215,25,1660332656546
127,460800,1660332656579,1660332656579,1660332656582,25,1660332656924
138,460800,1660332656946,1660332656946,1660332656948,25,1660332657357
151,460800,1660332657379,1660332657379,1660332657381,25,1660332657756
163,460800,1660332657779,1660332657779,1660332657781,25,1660332658104
173,460800,1660332658112,1660332658112,1660332658114,25,1660332658485
185,460800,1660332658512,1660332658512,1660332658514,25,1660332658947
199,460800,1660332658979,1660332658979,1660332658981,25,1660332659296
209,460800,1660332659312,1660332659312,1660332659314,25,1660332659687
221,460800,1660332659712,1660332659712,1660332659714,25,1660332660036
231,460800,1660332660046,1660332660046,1660332660048,25,1660332660406
242,460800,1660332660412,1660332660412,1660332660414,25,1660332660824
255,460800,1660332660846,1660332660846,1660332660848,25,1660332661366
271,460800,1660332661379,1660332661379,1660332661381,25,1660332662306
299,460800,1660332662312,1660332662312,1660332662365,25,1660332663206
326,460800,1660332663212,1660332663212,1660332663216,25,1660332663976
349,460800,1660332663979,1660332663979,1660332663983,25,1660332664554
367,460800,1660332664579,1660332664579,1660332664583,25,1660332665252
388,460800,1660332665279,1660332665279,1660332665282,25,1660332666154
415,460800,1660332666179,1660332666179,1660332666183,25,1660332667576
457,460800,1660332667579,1660332667579,1660332667584,25,1660332669036
501,460800,1660332669046,1660332669046,1660332669050,25,1660332669884
527,460800,1660332669912,1660332669912,1660332669917,25,1660332670274
538,460800,1660332670279,1660332670279,1660332670281,25,1660332670656
550,460800,1660332670679,1660332670679,1660332670681,25,1660332671048
562,460800,1660332671079,1660332671079,1660332671081,25,1660332671387
572,460800,1660332671412,1660332671412,1660332671414,25,1660332671777
583,460800,1660332671779,1660332671779,1660332671782,25,1660332672154
