TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-10 03:28:44.000000,-111.838928,39.678459,,,,,,
2022-08-10 03:28:44.140470,-111.838928,39.678459,,,,,,
2022-08-10 03:28:44.200000,-111.838928,39.678459,,,,,,
2022-08-10 03:28:44.300000,-111.838928,39.678463,,,,66486.0,22.0,
2022-08-10 03:28:44.400000,-111.838928,39.678463,,,,66486.0,22.0,
2022-08-10 03:28:44.500000,-111.838936,39.678467,0.018,,,66486.0,22.0,
2022-08-10 03:28:44.700000,-111.838936,39.678467,,,,66486.0,22.0,
2022-08-10 03:28:44.800000,-111.838936,39.678471,,,,66486.0,22.0,
2022-08-10 03:28:44.900000,-111.838936,39.678471,,,,66486.0,22.0,
2022-08-10 03:28:45.000000,-111.838943,39.678474,0.04,,,,,
2022-08-10 03:28:45.100000,-111.838943,39.678474,,,,66486.0,22.0,
2022-08-10 03:28:45.200000,-111.838943,39.678478,,,,,,
2022-08-10 03:28:45.400000,-111.838943,39.678482,,,,66486.0,22.0,
2022-08-10 03:28:45.500000,-111.838951,39.678486,0.001,,,,,
2022-08-10 03:28:45.600000,-111.838951,39.678486,,,,66486.0,22.0,
2022-08-10 03:28:45.800000,-111.838951,39.678493,,,,,,
2022-08-10 03:28:46.000000,-111.838959,39.678497,0.0,,,66486.0,22.0,
2022-08-10 03:28:46.200000,-111.838959,39.678501,,,,66486.0,22.0,
2022-08-10 03:28:46.500000,-111.838966,39.678505,0.0,,,66486.0,22.0,
2022-08-10 03:28:46.700000,-111.838974,39.678505,,,,66486.0,22.0,
2022-08-10 03:28:46.900000,-111.838974,39.678505,,,,66486.0,22.0,
2022-08-10 03:28:47.000000,-111.838974,39.678509,0.0,,,,,
2022-08-10 03:28:47.200000,-111.838982,39.678509,,,,66486.0,22.0,
2022-08-10 03:28:47.400000,-111.838989,39.678513,,,,66486.0,22.0,
2022-08-10 03:28:47.500000,-111.838989,39.678516,0.0,,,66486.0,22.0,
2022-08-10 03:28:47.700000,-111.838997,39.67852,,,,66486.0,22.0,
2022-08-10 03:28:48.000000,-111.839005,39.678528,0.0,,,66486.0,22.0,
2022-08-10 03:28:48.200000,-111.839012,39.678532,,,,,,
2022-08-10 03:28:48.300000,-111.839012,39.678532,,,,66486.0,22.0,
2022-08-10 03:28:48.400000,-111.83902,39.678532,,,,66486.0,22.0,
2022-08-10 03:28:48.500000,-111.83902,39.678535,0.0,,,,,
2022-08-10 03:28:48.700000,-111.839027,39.678535,,,,66486.0,22.0,
2022-08-10 03:28:48.800000,-111.839027,39.678535,,,,,,
2022-08-10 03:28:48.900000,-111.839035,39.678535,,,,66486.0,22.0,
