TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-12 22:19:11.000000,41.69495,-92.512428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2022-08-12 22:19:11.820555,41.69495,-92.512428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:11.900000,41.69495,-92.512428,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,1.0,,0.0,,-99.06,,,,,,,,,,,,,,,,,,0.0,,
2022-08-12 22:19:12.000000,41.69495,-92.512428,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,
2022-08-12 22:19:12.100000,41.69495,-92.512428,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-91.88,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:12.200000,41.69495,-92.512428,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2022-08-12 22:19:12.300000,41.69495,-92.512428,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-98.69,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:12.700000,41.694939,-92.51226,0.0,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-96.13,,0.016,,,,,,,,,,,,,,,,0.0,,1002.0
2022-08-12 22:19:12.800000,41.694935,-92.512222,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,2.0,,0.0,,-108.89,,,,,,,,,,,,,,,,15.0,,0.0,,
2022-08-12 22:19:12.900000,41.694931,-92.512177,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-109.58,,,,,,,,,,,,,,,,,,0.0,,
2022-08-12 22:19:13.000000,41.694927,-92.512138,,,,5145.0,29.0,,0.017,,,,,,,,,,,,,5.0,,,,,,-103.08,,,0.019,,,,,,,,,,,,,2.1,,0.0,,
2022-08-12 22:19:13.036436,41.694927,-92.512115,,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:13.100000,41.694927,-92.512093,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,0.0,,69.23,,-98.16,,,,,,,,,,,,,,,,7.25,,0.0,,
2022-08-12 22:19:13.200000,41.694923,-92.512054,0.031,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-98.19,,0.019,,,,,,,,,,,,,,,,0.0,,1158.0
2022-08-12 22:19:13.226173,41.694923,-92.512039,,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:13.300000,41.69492,-92.512009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:13.400000,41.694916,-92.511963,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,3.37,,4.76,,-101.86,,,,,,,,,,,,,,,,,,0.0,,
2022-08-12 22:19:13.462356,41.694916,-92.51194,,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:13.700000,41.694908,-92.511841,0.0,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,0.0,,0.0,,-100.41,,0.0,,,,,,,,,,,,,,,,0.0,,0.0
2022-08-12 22:19:13.721778,41.694908,-92.511826,,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:13.900000,41.694901,-92.511749,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,0.0,,0.0,,-93.3,,,,,,,,,,,,,,,,6.18,,,,
2022-08-12 22:19:13.976159,41.694901,-92.511719,,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:14.000000,41.694897,-92.511711,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,
2022-08-12 22:19:14.200000,41.694893,-92.511627,0.0,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-95.38,,0.0,,,,,,,,,,,,,,,,0.0,,0.0
2022-08-12 22:19:14.300000,41.694889,-92.511581,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-99.94,,,,,,,,,,,,,,,,18.0,,,,
2022-08-12 22:19:14.600000,41.694881,-92.511452,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,0.0,,0.0,,-102.09,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:14.700000,41.694878,-92.511414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,60.0
2022-08-12 22:19:14.800000,41.694874,-92.511368,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-97.75,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:14.900000,41.69487,-92.51133,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-97.98,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.000000,41.694866,-92.511292,,,,5145.0,29.0,,0.01,,,,,,,,,,,,,5.0,,,,,,-102.69,,,0.224,,,,,,,,,,,,,,,33.33,,
2022-08-12 22:19:15.100000,41.694866,-92.511246,,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,0.75,,0.0,,-102.88,,,,,,,,,,,,,,,,5.51,,4.44,,
2022-08-12 22:19:15.199878,41.694862,-92.511208,,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.200000,41.694862,-92.511208,0.003,,,5145.0,29.0,,,,,,,,,,,,,,,5.0,,,,,,-102.72,,0.34,,,,,,,,,,,,,,8.14,,45.0,,21266.0
2022-08-12 22:19:15.255347,41.694859,-92.511177,,Handover Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.256421,41.694859,-92.511177,,Handover Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.256630,41.694859,-92.511177,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.257479,41.694859,-92.511177,,Received RAR[True],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.257493,41.694859,-92.511177,,PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.257507,41.694859,-92.511177,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:15.300000,41.694859,-92.511162,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-94.0,,,,,,,,,,,,,,,,25.75,,6.32,,
2022-08-12 22:19:15.400000,41.694855,-92.511124,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,2.68,,0.0,,-94.37,,,,,,,,,,,,,,,,24.13,,7.61,,
2022-08-12 22:19:15.500000,41.694855,-92.511078,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-93.16,,,,,,,,,,,,,,,,17.03,,0.0,,
2022-08-12 22:19:15.600000,41.694851,-92.51104,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-93.14,,,,,,,,,,,,,,,,14.68,,3.57,,
2022-08-12 22:19:15.700000,41.694847,-92.510994,0.017,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,1.25,,0.0,,-92.79,,0.31,,,,,,,,,,,,,,19.75,,8.97,,19366.0
2022-08-12 22:19:15.900000,41.694843,-92.510918,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-92.2,,,,,,,,,,,,,,,,,,33.33,,
2022-08-12 22:19:16.000000,41.694839,-92.510872,,,,5145.0,13.0,,0.038,,,,,,,,,,,,,5.0,,6.71,,0.0,,-92.85,,,0.743,,,,,,,,,,,,,25.24,,31.91,,
2022-08-12 22:19:16.100000,41.694836,-92.510834,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-93.36,,,,,,,,,,,,,,,,19.02,,3.62,,
2022-08-12 22:19:16.200000,41.694836,-92.510788,0.017,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-93.69,,0.649,,,,,,,,,,,,,,27.28,,17.5,,40590.0
2022-08-12 22:19:16.300000,41.694832,-92.51075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:16.400000,41.694828,-92.510704,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,4.19,,2.13,,-94.25,,,,,,,,,,,,,,,,,,28.57,,
2022-08-12 22:19:16.500000,41.694824,-92.510666,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-93.62,,,,,,,,,,,,,,,,23.17,,8.33,,
2022-08-12 22:19:16.600000,41.694824,-92.51062,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,5.5,,4.0,,-92.84,,,,,,,,,,,,,,,,26.29,,5.0,,
2022-08-12 22:19:16.700000,41.69482,-92.510582,0.038,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-93.01,,0.649,,,,,,,,,,,,,,26.35,,0.0,,40590.0
2022-08-12 22:19:16.800000,41.694817,-92.510544,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-93.7,,,,,,,,,,,,,,,,27.75,,20.0,,
2022-08-12 22:19:16.900000,41.694813,-92.510498,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,6.5,,0.0,,-93.62,,,,,,,,,,,,,,,,21.44,,2.38,,
2022-08-12 22:19:17.000000,41.694809,-92.51046,,,,5145.0,13.0,,0.049,,,,,,,,,,,,,5.0,,,,,,-93.64,,,0.919,,,,,,,,,,,,,27.87,,1.33,,
2022-08-12 22:19:17.100000,41.694809,-92.510414,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,6.13,,0.0,,-93.44,,,,,,,,,,,,,,,,25.45,,0.0,,
2022-08-12 22:19:17.200000,41.694805,-92.510376,0.029,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,5.5,,0.0,,-93.36,,0.651,,,,,,,,,,,,,,7.43,,20.0,,40694.0
2022-08-12 22:19:17.300000,41.694801,-92.51033,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-92.22,,,,,,,,,,,,,,,,14.31,,18.6,,
2022-08-12 22:19:17.400000,41.694798,-92.510292,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-92.0,,,,,,,,,,,,,,,,16.07,,10.26,,
2022-08-12 22:19:17.500000,41.694794,-92.510246,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,6.5,,0.0,,-92.57,,,,,,,,,,,,,,,,18.82,,13.54,,
2022-08-12 22:19:17.600000,41.694794,-92.510208,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-92.56,,,,,,,,,,,,,,,,17.67,,,,
2022-08-12 22:19:17.700000,41.69479,-92.510162,0.025,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-92.39,,0.648,,,,,,,,,,,,,,,,50.0,,40590.0
2022-08-12 22:19:17.800000,41.694786,-92.510124,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,6.31,,0.0,,-91.85,,,,,,,,,,,,,,,,18.24,,4.44,,
2022-08-12 22:19:17.900000,41.694782,-92.510086,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-90.89,,,,,,,,,,,,,,,,17.61,,11.67,,
2022-08-12 22:19:18.000000,41.694778,-92.51004,,,,5145.0,13.0,,0.049,,,,,,,,,,,,,5.0,,10.52,,0.0,,-90.44,,,0.495,,,,,,,,,,,,,14.1,,7.5,,
2022-08-12 22:19:18.100000,41.694778,-92.510002,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-90.68,,,,,,,,,,,,,,,,11.47,,4.0,,
2022-08-12 22:19:18.200000,41.694775,-92.509956,0.026,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,12.11,,0.0,,-90.91,,0.649,,,,,,,,,,,,,,,,,,40538.0
2022-08-12 22:19:18.300000,41.694771,-92.509918,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-91.07,,,,,,,,,,,,,,,,,,0.0,,
2022-08-12 22:19:18.400000,41.694767,-92.50988,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,8.5,,0.0,,-91.94,,,,,,,,,,,,,,,,13.0,,6.25,,
2022-08-12 22:19:18.500000,41.694767,-92.509834,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-91.94,,,,,,,,,,,,,,,,13.06,,9.17,,
2022-08-12 22:19:18.600000,41.694763,-92.509796,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-91.57,,,,,,,,,,,,,,,,13.9,,13.75,,
2022-08-12 22:19:18.700000,41.694763,-92.50975,0.023,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,13.92,,10.34,,-91.16,,0.65,,,,,,,,,,,,,,13.74,,5.0,,40538.0
2022-08-12 22:19:18.800000,41.694763,-92.509712,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-90.45,,,,,,,,,,,,,,,,14.63,,15.0,,
2022-08-12 22:19:18.900000,41.694759,-92.509674,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-90.44,,,,,,,,,,,,,,,,,,25.0,,
2022-08-12 22:19:19.000000,41.694759,-92.509628,,,,5145.0,13.0,,0.058,,,,,,,,,,,,,5.0,,11.71,,0.0,,-90.36,,,0.653,,,,,,,,,,,,,13.1,,4.88,,
2022-08-12 22:19:19.100000,41.694756,-92.50959,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-90.41,,,,,,,,,,,,,,,,11.89,,11.25,,
2022-08-12 22:19:19.200000,41.694756,-92.509544,0.025,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,15.39,,7.69,,-89.83,,0.649,,,,,,,,,,,,,,13.57,,3.95,,40590.0
2022-08-12 22:19:19.300000,41.694752,-92.509506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 22:19:19.400000,41.694748,-92.509468,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,15.9,,0.0,,-89.01,,,,,,,,,,,,,,,,,,0.0,,
2022-08-12 22:19:19.500000,41.694744,-92.50943,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-89.13,,,,,,,,,,,,,,,,12.45,,3.33,,
2022-08-12 22:19:19.600000,41.694744,-92.509384,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,13.71,,11.76,,-89.98,,,,,,,,,,,,,,,,12.73,,6.84,,
2022-08-12 22:19:19.700000,41.69474,-92.509346,0.027,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-90.28,,0.648,,,,,,,,,,,,,,14.62,,17.5,,40590.0
2022-08-12 22:19:19.800000,41.694736,-92.509308,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,15.48,,10.71,,-90.11,,,,,,,,,,,,,,,,7.83,,10.26,,
2022-08-12 22:19:19.900000,41.694733,-92.50927,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,10.67,,0.0,,-90.06,,,,,,,,,,,,,,,,,,20.0,,
2022-08-12 22:19:20.000000,41.694729,-92.509232,,,,5145.0,13.0,,0.053,,,,,,,,,,,,,5.0,,,,,,-89.42,,,0.687,,,,,,,,,,,,,10.26,,8.33,,
2022-08-12 22:19:20.100000,41.694729,-92.509186,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-88.99,,,,,,,,,,,,,,,,12.06,,11.0,,
2022-08-12 22:19:20.200000,41.694725,-92.509148,0.021,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,12.52,,8.33,,-88.8,,0.651,,,,,,,,,,,,,,12.91,,6.67,,40590.0
2022-08-12 22:19:20.300000,41.694721,-92.509109,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-88.99,,,,,,,,,,,,,,,,11.95,,5.0,,
2022-08-12 22:19:20.400000,41.694717,-92.509071,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-89.0,,,,,,,,,,,,,,,,14.25,,0.0,,
2022-08-12 22:19:20.500000,41.694714,-92.509026,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,13.18,,5.0,,-88.66,,,,,,,,,,,,,,,,9.51,,2.08,,
2022-08-12 22:19:20.600000,41.694714,-92.508987,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-88.02,,,,,,,,,,,,,,,,11.67,,11.39,,
2022-08-12 22:19:20.700000,41.69471,-92.508942,0.029,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,13.86,,3.85,,-87.71,,0.648,,,,,,,,,,,,,,15.75,,16.67,,40590.0
2022-08-12 22:19:20.800000,41.694706,-92.508904,,,,5145.0,13.0,,,,,,,,,,,,,,,5.0,,,,,,-88.76,,,,,,,,,,,,,,,,12.43,,0.0,,
