idx,size,avail,enc_fin,offload,inf,recv
0,460800,1660591478216,1660591478216,1660591478216,25,1660591479227
31,460800,1660591479251,1660591479251,1660591479254,25,1660591480001
54,460800,1660591480015,1660591480015,1660591480018,25,1660591480677
74,460800,1660591480682,1660591480682,1660591480684,25,1660591481281
92,460800,1660591481282,1660591481282,1660591481285,25,1660591481858
110,460800,1660591481882,1660591481882,1660591481884,25,1660591482398
126,460800,1660591482415,1660591482415,1660591482420,25,1660591482798
138,460800,1660591482815,1660591482815,1660591482818,25,1660591483491
159,460800,1660591483515,1660591483515,1660591483517,25,1660591483840
169,460800,1660591483849,1660591483849,1660591483852,25,1660591484221
181,460800,1660591484249,1660591484249,1660591484251,25,1660591484532
190,460800,1660591484549,1660591484549,1660591484551,25,1660591484891
201,460800,1660591484916,1660591484916,1660591484918,25,1660591485203
210,460800,1660591485215,1660591485215,1660591485218,25,1660591485451
218,460800,1660591485482,1660591485482,1660591485484,25,1660591485731
226,460800,1660591485749,1660591485749,1660591485751,25,1660591486061
236,460800,1660591486082,1660591486082,1660591486085,25,1660591486321
244,460800,1660591486349,1660591486349,1660591486351,25,1660591486591
252,460800,1660591486615,1660591486615,1660591486618,25,1660591486881
260,460800,1660591486882,1660591486882,1660591486885,25,1660591487111
267,460800,1660591487115,1660591487115,1660591487117,25,1660591487346
274,460800,1660591487349,1660591487349,1660591487350,25,1660591487601
282,460800,1660591487615,1660591487615,1660591487618,25,1660591487841
289,460800,1660591487849,1660591487849,1660591487850,25,1660591488081
296,460800,1660591488082,1660591488082,1660591488084,25,1660591488356
305,460800,1660591488382,1660591488382,1660591488384,25,1660591488606
312,460800,1660591488615,1660591488615,1660591488617,25,1660591488851
320,460800,1660591488882,1660591488882,1660591488884,25,1660591489173
329,460800,1660591489182,1660591489182,1660591489185,25,1660591489431
337,460800,1660591489449,1660591489449,1660591489451,25,1660591489681
344,460800,1660591489682,1660591489682,1660591489683,25,1660591489951
353,460800,1660591489982,1660591489982,1660591489984,25,1660591490238
361,460800,1660591490249,1660591490249,1660591490252,25,1660591490508
369,460800,1660591490515,1660591490515,1660591490518,25,1660591491006
384,460800,1660591491015,1660591491015,1660591491018,25,1660591491231
391,460800,1660591491249,1660591491249,1660591491251,25,1660591491601
402,460800,1660591491615,1660591491615,1660591491617,25,1660591491961
413,460800,1660591491982,1660591491982,1660591491985,25,1660591492201
420,460800,1660591492215,1660591492215,1660591492217,25,1660591492441
427,460800,1660591492449,1660591492449,1660591492450,25,1660591492721
436,460800,1660591492749,1660591492749,1660591492752,25,1660591492961
443,460800,1660591492982,1660591492982,1660591492983,25,1660591493201
450,460800,1660591493215,1660591493215,1660591493217,25,1660591493471
458,460800,1660591493482,1660591493482,1660591493484,25,1660591493701
465,460800,1660591493715,1660591493715,1660591493717,25,1660591493926
472,460800,1660591493949,1660591493949,1660591493950,25,1660591494216
481,460800,1660591494249,1660591494249,1660591494251,25,1660591494471
488,460800,1660591494482,1660591494482,1660591494483,25,1660591496064
536,460800,1660591496082,1660591496082,1660591496085,25,1660591496353
545,460800,1660591496382,1660591496382,1660591496385,25,1660591496623
553,460800,1660591496649,1660591496649,1660591496651,25,1660591497131
568,460800,1660591497149,1660591497149,1660591497152,25,1660591497483
