TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-08 19:00:57.000000,-118.2369,34.057869,,,,,,
2022-08-08 19:00:57.261231,-118.2369,34.057869,,,,,,
2022-08-08 19:00:57.300000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:57.400000,-118.2369,34.057869,,,27533.24,,,200.0
2022-08-08 19:00:57.500000,-118.2369,34.057869,,,27533.24,,,200.0
2022-08-08 19:00:57.600000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:57.700000,-118.2369,34.057869,0.0,,,,,
2022-08-08 19:00:57.800000,-118.2369,34.057869,,,,,,
2022-08-08 19:00:57.900000,-118.2369,34.057869,,,27533.24,,,200.0
2022-08-08 19:00:58.000000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:58.200000,-118.2369,34.057869,0.0,,27533.24,,,200.0
2022-08-08 19:00:58.300000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:58.400000,-118.2369,34.057869,,,,,,
2022-08-08 19:00:58.500000,-118.2369,34.057869,,,27533.24,,,200.0
2022-08-08 19:00:58.600000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:58.700000,-118.2369,34.057869,0.0,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:58.800000,-118.2369,34.057869,,,,1125.0,200.0,
2022-08-08 19:00:58.900000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:59.000000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:59.100000,-118.2369,34.057869,,,,1125.0,200.0,
2022-08-08 19:00:59.200000,-118.2369,34.057869,4.442,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:59.300000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:59.400000,-118.2369,34.057869,,,,1125.0,200.0,
2022-08-08 19:00:59.500000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:59.600000,-118.2369,34.057869,,,,1125.0,200.0,
2022-08-08 19:00:59.700000,-118.2369,34.057869,18.504,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:59.800000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:00:59.900000,-118.2369,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:00.000000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:00.100000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:00.200000,-118.2369,34.057869,15.294,,,1125.0,200.0,
2022-08-08 19:01:00.300000,-118.2369,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:00.400000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:00.500000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:00.600000,-118.2369,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:00.700000,-118.236908,34.057869,15.291,,,1125.0,200.0,
2022-08-08 19:01:00.800000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:00.900000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:01.000000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:01.100000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:01.200000,-118.236908,34.057869,7.645,,,1125.0,200.0,
2022-08-08 19:01:01.300000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:01.400000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:01.500000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:01.600000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:01.700000,-118.236908,34.057869,15.26,,,1125.0,200.0,
2022-08-08 19:01:01.800000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:01.900000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:02.000000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:02.100000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:02.200000,-118.236908,34.057869,15.328,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:02.300000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:02.400000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:02.500000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:02.600000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:02.700000,-118.236908,34.057869,7.647,,,,,
2022-08-08 19:01:02.800000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:02.900000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:03.000000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:03.100000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:03.200000,-118.236908,34.057869,15.259,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:03.300000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:03.400000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:03.500000,-118.236908,34.057869,,,27533.24,1125.0,200.0,200.0
2022-08-08 19:01:03.600000,-118.236908,34.057869,,,,1125.0,200.0,
2022-08-08 19:01:03.700000,-118.236908,34.057869,7.661,,,1125.0,200.0,
