idx,size,avail,enc_fin,offload,inf,recv
0,460800,1660594618565,1660594618565,1660594618567,25,1660594619256
22,460800,1660594619286,1660594619286,1660594619287,25,1660594619782
37,460800,1660594619786,1660594619786,1660594619787,25,1660594620200
50,460800,1660594620219,1660594620219,1660594620221,25,1660594620681
64,460800,1660594620686,1660594620686,1660594620687,25,1660594621141
78,460800,1660594621152,1660594621152,1660594621154,25,1660594621610
92,460800,1660594621619,1660594621619,1660594621621,25,1660594622141
108,460800,1660594622152,1660594622152,1660594622154,25,1660594622621
123,460800,1660594622652,1660594622652,1660594622654,25,1660594623120
137,460800,1660594623120,1660594623120,1660594623121,25,1660594623561
151,460800,1660594623586,1660594623586,1660594623589,25,1660594623951
162,460800,1660594623952,1660594623952,1660594623955,25,1660594624300
173,460800,1660594624319,1660594624319,1660594624321,25,1660594624671
184,460800,1660594624686,1660594624686,1660594624687,25,1660594625021
195,460800,1660594625052,1660594625052,1660594625054,25,1660594625390
206,460800,1660594625419,1660594625419,1660594625421,25,1660594625771
217,460800,1660594625786,1660594625786,1660594625787,25,1660594626081
226,460800,1660594626085,1660594626085,1660594626087,25,1660594626402
236,460800,1660594626419,1660594626419,1660594626420,25,1660594626811
248,460800,1660594626819,1660594626819,1660594626820,25,1660594627171
259,460800,1660594627186,1660594627186,1660594627187,25,1660594627568
271,460800,1660594627586,1660594627586,1660594627587,25,1660594627961
283,460800,1660594627986,1660594627986,1660594627987,25,1660594628350
294,460800,1660594628352,1660594628352,1660594628354,25,1660594628681
304,460800,1660594628685,1660594628685,1660594628688,25,1660594629031
315,460800,1660594629052,1660594629052,1660594629054,25,1660594629500
329,460800,1660594629519,1660594629519,1660594629521,25,1660594629861
340,460800,1660594629886,1660594629886,1660594629887,25,1660594630240
351,460800,1660594630252,1660594630252,1660594630254,25,1660594630541
360,460800,1660594630552,1660594630552,1660594630554,25,1660594630862
370,460800,1660594630885,1660594630885,1660594630887,25,1660594631331
384,460800,1660594631352,1660594631352,1660594631354,25,1660594631711
395,460800,1660594631719,1660594631719,1660594631720,25,1660594632141
408,460800,1660594632152,1660594632152,1660594632154,25,1660594632621
423,460800,1660594632652,1660594632652,1660594632654,25,1660594633081
436,460800,1660594633085,1660594633085,1660594633087,25,1660594633532
450,460800,1660594633552,1660594633552,1660594633554,25,1660594634031
465,460800,1660594634052,1660594634052,1660594634054,25,1660594634491
479,460800,1660594634519,1660594634519,1660594634521,25,1660594634912
491,460800,1660594634919,1660594634919,1660594634920,25,1660594635351
504,460800,1660594635352,1660594635352,1660594635354,25,1660594635691
515,460800,1660594635719,1660594635719,1660594635720,25,1660594636021
525,460800,1660594636052,1660594636052,1660594636054,25,1660594636391
536,460800,1660594636419,1660594636419,1660594636421,25,1660594636769
547,460800,1660594636786,1660594636786,1660594636787,25,1660594637131
558,460800,1660594637152,1660594637152,1660594637154,25,1660594637539
570,460800,1660594637553,1660594637553,1660594637553,25,1660594638079
586,460800,1660594638085,1660594638085,1660594638087,25,1660594638488
