TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-14 17:19:07.000000,40.746979,-82.44664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232,,,,,,,,,,,,,,,,,
2022-08-14 17:19:07.490969,40.746979,-82.44664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 17:19:07.500000,40.746979,-82.44664,,,873.85,66786.0,65.0,78.0,,,,,,0.0,,,,,,,,20.0,,,,,,-88.71,-87.34,,,,,,,0.0,,,,,,,,,,0.0,,
2022-08-14 17:19:07.600000,40.746979,-82.44664,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,,,,,-86.47,,,,,,,,,,,,,,,,,,,,
2022-08-14 17:19:07.700000,40.746979,-82.44664,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,,,,,-87.07,,,,,,,,,,,,,,,,,,,,
2022-08-14 17:19:07.800000,40.746979,-82.44664,0.0,,873.85,66786.0,65.0,78.0,,,,,,0.0,,,,,,,,20.0,,,,,,-87.21,-90.09,0.0,,,,,,,,,,,,,,,,0.0,,0.0
2022-08-14 17:19:07.900000,40.746979,-82.44664,,,,66786.0,65.0,,,,,,,0.0,,,,,,,,20.0,,,,,,-87.11,,,,,,,,0.0,,,,,,,,21.14,,40.0,,
2022-08-14 17:19:08.000000,40.746979,-82.44664,,,873.85,66786.0,65.0,78.0,0.106,,,,,0.0,,,,,,,,20.0,,,,,,-87.11,-89.74,,0.025,,,,,0.0,,,,,,,,,,,,
2022-08-14 17:19:08.100000,40.746979,-82.44664,,,,66786.0,65.0,,,,,,,0.0,,,,,,,,20.0,,6.57,,0.0,,-90.91,,,,,,,,0.005,,,,,,,,,0.0,0.0,0.0,
2022-08-14 17:19:08.200000,40.746979,-82.44664,,,873.85,66786.0,65.0,78.0,,,,,,0.0,,,,,,,,20.0,,,,,,-89.13,-90.07,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 17:19:08.300000,40.746979,-82.44664,0.005,,,66786.0,65.0,,,,,,,0.0,,,,,,,,20.0,,,,,,-86.84,,0.311,,,,,,,,,,,,,,22.0,,,,19480.0
2022-08-14 17:19:08.400000,40.746979,-82.44664,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,,,,,-87.45,,,,,,,,,,,,,,,,,,0.0,,
2022-08-14 17:19:08.500000,40.746998,-82.446617,,,873.85,66786.0,65.0,78.0,,,,,,0.0,,,,,,,,20.0,,,,,,-87.57,-91.62,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 17:19:08.600000,40.747021,-82.446594,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,,,,,-87.09,,,,,,,,,,,,,,,,,,0.0,,
2022-08-14 17:19:08.700000,40.74704,-82.446571,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,4.75,,0.0,,-87.61,,,,,,,,,,,,,,,,,,,,
2022-08-14 17:19:08.800000,40.747059,-82.446548,0.01,,873.85,66786.0,65.0,78.0,,,,,,0.0,,,,,,,,20.0,,,,,,-87.54,-91.86,0.003,,,,,,0.0,,,,,,,,,,,,164.0
2022-08-14 17:19:08.900000,40.747078,-82.446518,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,,,,,-87.28,,,,,,,,,,,,,,,,,,0.0,,
2022-08-14 17:19:09.000000,40.747101,-82.446495,,,,66786.0,65.0,,0.001,,,,,,,,,,,,,20.0,,,,,,-87.47,,,0.0,,,,,,,,,,,,,,,,,
2022-08-14 17:19:09.100000,40.74712,-82.446472,,,873.85,66786.0,65.0,78.0,,,,,,0.0,,,,,,,,20.0,,,,,,-87.27,-90.79,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 17:19:09.200000,40.747139,-82.446449,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,,,,,-87.38,,,,,,,,,,,,,,,,,,,,
2022-08-14 17:19:09.300000,40.747162,-82.446426,0.0,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,1.0,,0.0,,-86.72,,0.0,,,,,,,,,,,,,,,,0.0,,0.0
2022-08-14 17:19:09.400000,40.747181,-82.446404,,,873.85,66786.0,65.0,78.0,,,,,,0.0,,,,,,,,20.0,,,,,,-86.1,-94.47,,,,,,,,,,,,,,,,,,,
2022-08-14 17:19:09.500000,40.747204,-82.446381,,,,66786.0,65.0,,,,,,,0.0,,,,,,,,20.0,,,,,,-86.5,,,,,,,,0.0,,,,,,,,,,,,
2022-08-14 17:19:09.600000,40.747223,-82.446358,,,,66786.0,65.0,,,,,,,,,,,,,,,20.0,,,,,,-86.93,,,,,,,,,,,,,,,,25.25,,0.0,,
