idx,size,avail,enc_fin,offload,inf,recv
0,38912,1660094496663,1660094496698,1660094496698,63,1660094496971
4,38912,1660094497063,1660094497098,1660094497099,63,1660094497347
7,38912,1660094497363,1660094497399,1660094497400,63,1660094497606
10,38912,1660094497664,1660094497700,1660094497701,63,1660094497906
13,38912,1660094497963,1660094497999,1660094497999,63,1660094498207
16,38912,1660094498264,1660094498299,1660094498300,63,1660094498501
19,38912,1660094498564,1660094498600,1660094498602,63,1660094498802
22,38912,1660094498864,1660094498900,1660094498901,63,1660094499112
25,38912,1660094499164,1660094499199,1660094499199,63,1660094499406
28,38912,1660094499464,1660094499500,1660094499501,63,1660094499707
31,38912,1660094499764,1660094499800,1660094499802,63,1660094500007
34,38912,1660094500064,1660094500100,1660094500101,63,1660094500301
37,38912,1660094500364,1660094500400,1660094500401,63,1660094500601
40,38912,1660094500662,1660094500698,1660094500699,63,1660094500906
43,38912,1660094500963,1660094500998,1660094500999,63,1660094501207
46,38912,1660094501264,1660094501300,1660094501301,63,1660094501521
49,38912,1660094501564,1660094501600,1660094501601,63,1660094501802
52,38912,1660094501864,1660094501900,1660094501901,63,1660094502112
55,38912,1660094502162,1660094502198,1660094502199,63,1660094502407
58,38912,1660094502463,1660094502499,1660094502500,63,1660094502721
61,38912,1660094502763,1660094502799,1660094502800,63,1660094503013
64,38912,1660094503064,1660094503099,1660094503100,63,1660094503320
67,38912,1660094503364,1660094503400,1660094503401,63,1660094503632
70,38912,1660094503664,1660094503699,1660094503700,63,1660094503912
73,38912,1660094503963,1660094503999,1660094504000,63,1660094504211
76,38912,1660094504264,1660094504299,1660094504300,63,1660094504511
79,38912,1660094504564,1660094504600,1660094504601,63,1660094504818
82,38912,1660094504864,1660094504900,1660094504901,63,1660094505126
85,38912,1660094505164,1660094505200,1660094505201,63,1660094505461
88,38912,1660094505463,1660094505499,1660094505500,63,1660094505741
91,38912,1660094505763,1660094505800,1660094505800,63,1660094506026
94,38912,1660094506065,1660094506101,1660094506102,63,1660094506346
97,38912,1660094506363,1660094506399,1660094506400,63,1660094506647
100,38912,1660094506664,1660094506700,1660094506701,63,1660094506961
103,38912,1660094506963,1660094506999,1660094507000,63,1660094507216
106,38912,1660094507264,1660094507300,1660094507301,63,1660094507522
109,38912,1660094507563,1660094507599,1660094507600,63,1660094507823
112,38912,1660094507864,1660094507899,1660094507900,63,1660094508121
115,38912,1660094508164,1660094508200,1660094508201,63,1660094508428
118,38912,1660094508464,1660094508499,1660094508500,63,1660094508717
121,38912,1660094508764,1660094508800,1660094508801,63,1660094509012
124,38912,1660094509064,1660094509099,1660094509100,63,1660094509316
127,38912,1660094509362,1660094509398,1660094509399,63,1660094509612
130,38912,1660094509665,1660094509700,1660094509701,63,1660094509912
133,38912,1660094509964,1660094510000,1660094510001,63,1660094510213
136,38912,1660094510264,1660094510299,1660094510300,63,1660094510517
139,38912,1660094510563,1660094510599,1660094510601,63,1660094510816
142,38912,1660094510864,1660094510899,1660094510900,63,1660094511116
145,38912,1660094511164,1660094511200,1660094511201,63,1660094511437
148,38912,1660094511464,1660094511499,1660094511500,63,1660094511737
151,38912,1660094511764,1660094511800,1660094511801,63,1660094512021
154,38912,1660094512064,1660094512100,1660094512101,63,1660094512327
157,38912,1660094512364,1660094512400,1660094512401,63,1660094512636
160,38912,1660094512664,1660094512699,1660094512700,63,1660094512970
164,38912,1660094513064,1660094513099,1660094513100,63,1660094513607
170,38912,1660094513664,1660094513699,1660094513700,63,1660094513942
173,38912,1660094513963,1660094513999,1660094514000,63,1660094514257
176,38912,1660094514263,1660094514298,1660094514299,63,1660094514541
179,38912,1660094514562,1660094514597,1660094514598,63,1660094514831
182,38912,1660094514862,1660094514897,1660094514899,63,1660094515136
185,38912,1660094515162,1660094515197,1660094515198,63,1660094515432
188,38912,1660094515462,1660094515497,1660094515498,63,1660094515740
191,38912,1660094515762,1660094515797,1660094515799,63,1660094516040
194,38912,1660094516062,1660094516097,1660094516098,63,1660094516331
