TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-08 22:59:05.000000,-118.243332,34.110859,,,,,,
2022-08-08 22:59:05.750660,-118.243332,34.110859,,,,,,
2022-08-08 22:59:05.800000,-118.243332,34.110859,,,,,,
2022-08-08 22:59:05.900000,-118.243332,34.110859,0.01,,,,,
2022-08-08 22:59:06.000000,-118.243332,34.110859,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:06.200000,-118.243332,34.110859,,,,66786.0,55.0,
2022-08-08 22:59:06.300000,-118.243332,34.110859,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:06.400000,-118.243332,34.110859,0.0,,,,,
2022-08-08 22:59:06.500000,-118.24334,34.110867,,,,66786.0,55.0,
2022-08-08 22:59:06.600000,-118.243347,34.110878,,,,,,
2022-08-08 22:59:06.800000,-118.243362,34.110897,,,2506.95,,,55.0
2022-08-08 22:59:06.900000,-118.243362,34.110905,0.0,,,,,
2022-08-08 22:59:07.000000,-118.24337,34.110912,,,,,,
2022-08-08 22:59:07.100000,-118.243378,34.110924,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:07.200000,-118.243385,34.110931,,,,,,
2022-08-08 22:59:07.400000,-118.243401,34.11095,0.0,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:07.500000,-118.243408,34.110962,,,,66786.0,55.0,
2022-08-08 22:59:07.800000,-118.243431,34.110989,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:07.900000,-118.243439,34.111,0.0,,,,,
2022-08-08 22:59:08.000000,-118.243439,34.111012,,,,,,
2022-08-08 22:59:08.100000,-118.243446,34.111019,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:08.300000,-118.243462,34.111038,,,,,,
2022-08-08 22:59:08.400000,-118.243469,34.11105,0.0,,,,,
2022-08-08 22:59:08.500000,-118.243477,34.111061,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:08.600000,-118.243484,34.111069,,,2506.95,,,55.0
2022-08-08 22:59:08.800000,-118.243492,34.111088,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:08.900000,-118.2435,34.111099,0.672,,,,,
2022-08-08 22:59:09.000000,-118.243507,34.111111,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:09.100000,-118.243515,34.111118,,,2506.95,66786.0,55.0,55.0
2022-08-08 22:59:09.200000,-118.243515,34.11113,,,,66786.0,55.0,
2022-08-08 22:59:09.300000,-118.243523,34.111137,,,2506.95,66786.0,55.0,55.0
