TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-10 21:18:58.000000,40.74255,-111.683472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:18:58.700000,40.74255,-111.683472,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,,,,,-96.81,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:18:58.716281,40.74255,-111.683472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:18:58.900000,40.74255,-111.683472,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,,,,,-96.56,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:18:59.000000,40.74255,-111.683472,0.0,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,0.0,0.045,,,,,,,,,,,,,,,,,0.0
2022-08-10 21:18:59.200000,40.74255,-111.683472,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,0.0,,0.0,,-95.44,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:18:59.300000,40.74255,-111.683472,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,,,,,-93.85,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:18:59.400000,40.74255,-111.683472,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,,,,,-91.73,,,,,,,,,,,,,,,,,,12.5,,
2022-08-10 21:18:59.500000,40.74255,-111.683472,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,,1189.0
2022-08-10 21:18:59.600000,40.74255,-111.683472,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,,,,,-91.21,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:18:59.800000,40.742565,-111.683319,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,10.2,,22.22,,-92.6,,,,,,,,,,,,,,,,,,,,
2022-08-10 21:19:00.000000,40.74258,-111.683167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.261,,,,,,,,,,,,,,,,,0.0
2022-08-10 21:19:00.200000,40.742599,-111.683006,,,,675.0,63.0,,,,,,,,,,,,,,,15.0,,,,,,-95.25,,,,,,,,,,,,,,,,26.29,,,,
