idx,size,avail,enc_fin,offload,inf,recv
0,38912,1660575698433,1660575698468,1660575698469,63,1660575698753
4,38912,1660575698833,1660575698868,1660575698869,63,1660575699119
7,38912,1660575699134,1660575699169,1660575699169,63,1660575699370
10,38912,1660575699433,1660575699468,1660575699469,63,1660575699664
13,38912,1660575699733,1660575699768,1660575699769,63,1660575699977
16,38912,1660575700034,1660575700069,1660575700069,63,1660575700280
19,38912,1660575700333,1660575700368,1660575700369,63,1660575700590
22,38912,1660575700634,1660575700669,1660575700669,63,1660575700890
25,38912,1660575700933,1660575700968,1660575700969,63,1660575701170
28,38912,1660575701234,1660575701269,1660575701269,63,1660575701479
31,38912,1660575701534,1660575701568,1660575701569,63,1660575701819
34,38912,1660575701833,1660575701868,1660575701869,63,1660575702100
37,38912,1660575702134,1660575702169,1660575702169,63,1660575702403
40,38912,1660575702433,1660575702468,1660575702469,63,1660575702700
43,38912,1660575702733,1660575702768,1660575702769,63,1660575703010
46,38912,1660575703033,1660575703068,1660575703069,63,1660575703289
49,38912,1660575703333,1660575703368,1660575703369,63,1660575703814
54,38912,1660575703833,1660575703868,1660575703869,63,1660575704115
57,38912,1660575704133,1660575704168,1660575704169,63,1660575704405
60,38912,1660575704433,1660575704468,1660575704469,63,1660575704695
63,38912,1660575704733,1660575704768,1660575704769,63,1660575705000
66,38912,1660575705034,1660575705069,1660575705069,63,1660575705346
70,38912,1660575705433,1660575705468,1660575705469,63,1660575705745
74,38912,1660575705833,1660575705868,1660575705869,63,1660575706096
77,38912,1660575706133,1660575706168,1660575706169,63,1660575706365
80,38912,1660575706433,1660575706468,1660575706469,63,1660575706688
83,38912,1660575706733,1660575706768,1660575706769,63,1660575706974
86,38912,1660575707033,1660575707068,1660575707069,63,1660575707285
89,38912,1660575707334,1660575707368,1660575707369,63,1660575707564
92,38912,1660575707633,1660575707668,1660575707669,63,1660575707875
95,38912,1660575707933,1660575707968,1660575707969,63,1660575708176
98,38912,1660575708233,1660575708268,1660575708269,63,1660575708466
101,38912,1660575708533,1660575708568,1660575708569,63,1660575708755
104,38912,1660575708834,1660575708868,1660575708869,63,1660575709056
107,38912,1660575709133,1660575709168,1660575709169,63,1660575709365
110,38912,1660575709433,1660575709468,1660575709469,63,1660575709654
113,38912,1660575709733,1660575709768,1660575709769,63,1660575709954
116,38912,1660575710033,1660575710068,1660575710069,63,1660575710264
119,38912,1660575710333,1660575710368,1660575710369,63,1660575710555
122,38912,1660575710633,1660575710668,1660575710669,63,1660575710865
125,38912,1660575710933,1660575710968,1660575710969,63,1660575711166
128,38912,1660575711233,1660575711268,1660575711269,63,1660575711475
131,38912,1660575711533,1660575711568,1660575711569,63,1660575711816
134,38912,1660575711833,1660575711868,1660575711869,63,1660575712096
137,38912,1660575712133,1660575712168,1660575712169,63,1660575712356
140,38912,1660575712433,1660575712468,1660575712469,63,1660575712674
143,38912,1660575712733,1660575712768,1660575712769,63,1660575712954
146,38912,1660575713033,1660575713068,1660575713069,63,1660575713264
149,38912,1660575713333,1660575713368,1660575713369,63,1660575713577
152,38912,1660575713633,1660575713668,1660575713669,63,1660575713865
155,38912,1660575713933,1660575713968,1660575713969,63,1660575714154
158,38912,1660575714234,1660575714269,1660575714269,63,1660575714465
161,38912,1660575714533,1660575714568,1660575714569,63,1660575714754
164,38912,1660575714833,1660575714868,1660575714869,63,1660575715074
167,38912,1660575715133,1660575715168,1660575715169,63,1660575715354
170,38912,1660575715433,1660575715468,1660575715469,63,1660575715664
173,38912,1660575715733,1660575715768,1660575715769,63,1660575715955
176,38912,1660575716034,1660575716068,1660575716069,63,1660575716254
179,38912,1660575716333,1660575716368,1660575716369,63,1660575716564
182,38912,1660575716633,1660575716668,1660575716669,63,1660575716856
185,38912,1660575716933,1660575716968,1660575716969,63,1660575717144
188,38912,1660575717234,1660575717269,1660575717269,63,1660575717476
191,38912,1660575717533,1660575717568,1660575717569,63,1660575717755
194,38912,1660575717833,1660575717868,1660575717869,63,1660575718075
