TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-10 22:26:59.000000,-110.561508,41.297352,,,,,,
2022-08-10 22:26:59.791393,-110.561508,41.297352,,,,,,
2022-08-10 22:26:59.800000,-110.561508,41.297352,0.0,,,,,
2022-08-10 22:26:59.900000,-110.561508,41.297352,,,,5230.0,47.0,
2022-08-10 22:27:00.000000,-110.561508,41.297352,,,,5230.0,47.0,
2022-08-10 22:27:00.200000,-110.561508,41.297352,,,,,,
2022-08-10 22:27:00.300000,-110.561508,41.297352,0.0,,,,,
2022-08-10 22:27:00.500000,-110.561508,41.297352,,,,5230.0,47.0,
2022-08-10 22:27:00.700000,-110.561417,41.297348,,,,5230.0,47.0,
2022-08-10 22:27:00.723133,-110.561409,41.297348,,eventA2,,,,
2022-08-10 22:27:00.800000,-110.561371,41.297348,0.0,,,5230.0,47.0,
2022-08-10 22:27:00.900000,-110.561325,41.297348,,,,5230.0,47.0,
2022-08-10 22:27:01.000000,-110.561279,41.297348,,,,5230.0,47.0,
2022-08-10 22:27:01.100000,-110.561234,41.297344,,,,5230.0,47.0,
2022-08-10 22:27:01.200000,-110.561188,41.297344,,,,5230.0,47.0,
2022-08-10 22:27:01.300000,-110.561142,41.297344,0.0,,,5230.0,47.0,
2022-08-10 22:27:01.500000,-110.56105,41.29734,,,,,,
2022-08-10 22:27:01.600000,-110.561005,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:01.800000,-110.560905,41.297337,0.0,,,,,
2022-08-10 22:27:01.900000,-110.56086,41.297337,,,,,,
2022-08-10 22:27:02.000000,-110.560814,41.297333,,,,,,
2022-08-10 22:27:02.100000,-110.560768,41.297333,,,,5230.0,47.0,
2022-08-10 22:27:02.200000,-110.560722,41.297333,,,,,,
2022-08-10 22:27:02.300000,-110.560669,41.297333,0.0,,,5230.0,47.0,
2022-08-10 22:27:02.500000,-110.560577,41.297329,,,,,,
2022-08-10 22:27:02.600000,-110.560577,41.297329,,,,5230.0,47.0,
2022-08-10 22:27:02.800000,-110.560577,41.297329,0.0,,,,,
2022-08-10 22:27:02.900000,-110.560577,41.297329,,,,,,
2022-08-10 22:27:03.000000,-110.560577,41.297329,,,,,,
2022-08-10 22:27:03.100000,-110.560577,41.297329,,,,5230.0,47.0,
2022-08-10 22:27:03.200000,-110.560577,41.297329,,,,,,
2022-08-10 22:27:03.300000,-110.560577,41.297329,0.0,,,,,
2022-08-10 22:27:03.400000,-110.560577,41.297329,,,,5230.0,47.0,
2022-08-10 22:27:03.500000,-110.560577,41.297329,,,,,,
2022-08-10 22:27:03.700000,-110.560394,41.297325,,,,5230.0,47.0,
2022-08-10 22:27:03.800000,-110.560295,41.297321,0.016,,,5230.0,47.0,
2022-08-10 22:27:03.900000,-110.560204,41.297321,,,,5230.0,47.0,
2022-08-10 22:27:04.000000,-110.560112,41.297318,,,,5230.0,47.0,
2022-08-10 22:27:04.100000,-110.56002,41.297318,,,,5230.0,47.0,
2022-08-10 22:27:04.200000,-110.559929,41.297318,,,,5230.0,47.0,
2022-08-10 22:27:04.300000,-110.55983,41.297314,0.002,,,5230.0,47.0,
2022-08-10 22:27:04.500000,-110.559647,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:04.700000,-110.559647,41.29731,,,,,,
2022-08-10 22:27:04.800000,-110.559647,41.29731,0.0,,,,,
2022-08-10 22:27:05.000000,-110.559647,41.29731,,,,,,
2022-08-10 22:27:05.100000,-110.559647,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:05.200000,-110.559647,41.29731,,,,,,
2022-08-10 22:27:05.300000,-110.559647,41.29731,0.0,,,,,
2022-08-10 22:27:05.500000,-110.559647,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:05.800000,-110.559364,41.29731,0.0,,,5230.0,47.0,
2022-08-10 22:27:05.854663,-110.559311,41.29731,,eventA2,,,,
2022-08-10 22:27:05.900000,-110.559273,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.000000,-110.559174,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.100000,-110.559082,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.200000,-110.55899,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.300000,-110.558899,41.29731,0.0,,,5230.0,47.0,
2022-08-10 22:27:06.400000,-110.5588,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.500000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.600000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.700000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:06.800000,-110.558708,41.29731,0.39,,,5230.0,47.0,
2022-08-10 22:27:06.900000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:07.000000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:07.100000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:07.200000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:07.300000,-110.558708,41.29731,1.34,,,5230.0,47.0,
2022-08-10 22:27:07.400000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:07.500000,-110.558708,41.29731,,,,5230.0,47.0,
2022-08-10 22:27:07.600000,-110.558617,41.297314,,,,5230.0,47.0,
2022-08-10 22:27:07.700000,-110.558525,41.297318,,,,5230.0,47.0,
2022-08-10 22:27:07.800000,-110.558426,41.297318,1.71,,,5230.0,47.0,
2022-08-10 22:27:07.900000,-110.558334,41.297321,,,,5230.0,47.0,
2022-08-10 22:27:08.000000,-110.558243,41.297325,,,,5230.0,47.0,
2022-08-10 22:27:08.100000,-110.558151,41.297329,,,,5230.0,47.0,
2022-08-10 22:27:08.200000,-110.55806,41.297333,,,,5230.0,47.0,
2022-08-10 22:27:08.300000,-110.557961,41.297333,1.704,,,5230.0,47.0,
2022-08-10 22:27:08.400000,-110.557869,41.297337,,,,5230.0,47.0,
2022-08-10 22:27:08.500000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:08.600000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:08.700000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:08.800000,-110.557777,41.29734,1.71,,,5230.0,47.0,
2022-08-10 22:27:08.900000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:09.000000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:09.100000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:09.200000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:09.300000,-110.557777,41.29734,1.726,,,5230.0,47.0,
2022-08-10 22:27:09.400000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:09.500000,-110.557777,41.29734,,,,5230.0,47.0,
2022-08-10 22:27:09.600000,-110.557686,41.297348,,,,5230.0,47.0,
2022-08-10 22:27:09.700000,-110.557594,41.297356,,,,5230.0,47.0,
2022-08-10 22:27:09.800000,-110.557503,41.297359,0.855,,,5230.0,47.0,
2022-08-10 22:27:09.900000,-110.557411,41.297367,,,,5230.0,47.0,
2022-08-10 22:27:10.000000,-110.55732,41.297375,,,,5230.0,47.0,
2022-08-10 22:27:10.100000,-110.557228,41.297382,,,,5230.0,47.0,
2022-08-10 22:27:10.200000,-110.557137,41.29739,,,,5230.0,47.0,
2022-08-10 22:27:10.300000,-110.557045,41.297394,2.554,,,5230.0,47.0,
2022-08-10 22:27:10.400000,-110.556953,41.297401,,,,5230.0,47.0,
2022-08-10 22:27:10.500000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:10.600000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:10.700000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:10.800000,-110.556862,41.297409,1.714,,,5230.0,47.0,
2022-08-10 22:27:10.900000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:10.988025,-110.556862,41.297409,,eventA2,,,,
2022-08-10 22:27:11.000000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:11.100000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:11.200000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:11.300000,-110.556862,41.297409,1.707,,,5230.0,47.0,
2022-08-10 22:27:11.400000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:11.500000,-110.556862,41.297409,,,,5230.0,47.0,
2022-08-10 22:27:11.600000,-110.55677,41.297421,,,,5230.0,47.0,
2022-08-10 22:27:11.700000,-110.556679,41.297428,,,,5230.0,47.0,
2022-08-10 22:27:11.800000,-110.55658,41.29744,1.707,,,5230.0,47.0,
2022-08-10 22:27:11.900000,-110.556488,41.297447,,,,5230.0,47.0,
2022-08-10 22:27:12.000000,-110.556396,41.297459,,,,5230.0,47.0,
2022-08-10 22:27:12.100000,-110.556305,41.29747,,,,5230.0,47.0,
2022-08-10 22:27:12.200000,-110.556213,41.297478,,,,5230.0,47.0,
2022-08-10 22:27:12.300000,-110.556114,41.297489,1.704,,,5230.0,47.0,
2022-08-10 22:27:12.400000,-110.556023,41.297497,,,,5230.0,47.0,
2022-08-10 22:27:12.500000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:12.600000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:12.700000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:12.800000,-110.555931,41.297508,1.711,,,5230.0,47.0,
2022-08-10 22:27:12.900000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:13.000000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:13.100000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:13.200000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:13.300000,-110.555931,41.297508,0.854,,,5230.0,47.0,
2022-08-10 22:27:13.400000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:13.500000,-110.555931,41.297508,,,,5230.0,47.0,
2022-08-10 22:27:13.600000,-110.55584,41.29752,,,,5230.0,47.0,
2022-08-10 22:27:13.700000,-110.555748,41.297531,,,,5230.0,47.0,
2022-08-10 22:27:13.800000,-110.555656,41.297546,1.705,,,5230.0,47.0,
2022-08-10 22:27:13.900000,-110.555565,41.297558,,,,5230.0,47.0,
2022-08-10 22:27:14.000000,-110.555466,41.297569,,,,5230.0,47.0,
2022-08-10 22:27:14.100000,-110.555374,41.297581,,,,5230.0,47.0,
2022-08-10 22:27:14.200000,-110.555283,41.297592,,,,5230.0,47.0,
2022-08-10 22:27:14.300000,-110.555191,41.297607,1.711,,,5230.0,47.0,
2022-08-10 22:27:14.400000,-110.555099,41.297619,,,,5230.0,47.0,
2022-08-10 22:27:14.500000,-110.555008,41.29763,,,,5230.0,47.0,
2022-08-10 22:27:14.600000,-110.555008,41.29763,,,,5230.0,47.0,
2022-08-10 22:27:14.700000,-110.555008,41.29763,,,,5230.0,47.0,
2022-08-10 22:27:14.800000,-110.555008,41.29763,1.704,,,5230.0,47.0,
2022-08-10 22:27:14.900000,-110.555008,41.29763,,,,5230.0,47.0,
