TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-13 21:50:05.000000,40.17992,-86.557907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:05.040499,40.17992,-86.557907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:05.100000,40.17992,-86.557907,0.0,,,66836.0,75.0,,,,,,,0.0,,,,,,,,10.0,,,,,,-103.56,,0.0,,,,,,,,,,,,,,,,,,0.0
2022-08-13 21:50:05.200000,40.17992,-86.557907,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5.0,,0.0,
2022-08-13 21:50:05.300000,40.17992,-86.557907,,,3730.08,,,75.0,,,,,,0.0,,,,,,,,,,,,,,,-100.02,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:05.400000,40.17992,-86.557907,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:05.500000,40.17992,-86.557907,,,,66836.0,75.0,,,,,,,0.0,,,,,,,,10.0,,,,,,-102.22,,,,,,,,0.864,,,,,,,,,5.0,,0.0,
2022-08-13 21:50:05.600000,40.17992,-86.557907,0.0,,3730.08,66836.0,75.0,75.0,,,,,,0.11,,,,,,,,10.0,,0.0,9.0,0.0,0.0,-98.67,-102.45,0.0,,,,,,0.0,,,,,,,,,,,100.0,0.0
2022-08-13 21:50:05.700000,40.17992,-86.557907,,,,66836.0,75.0,,,,,,,0.0,,,,,,,,10.0,,,,,,-97.16,,,,,,,,0.0,,,,,,,,,,,,
2022-08-13 21:50:05.800000,40.179893,-86.557884,,,3730.08,66836.0,75.0,75.0,,,,,,0.741,,,,,,,,10.0,,,12.8,,16.67,-98.23,-98.18,,,,,,,0.238,,,,,,,,,2.39,,11.63,
2022-08-13 21:50:05.900000,40.179867,-86.557861,,,3730.08,,,75.0,,,,,,0.0,,,,,,,,,,,,,,,-99.87,,,,,,,0.268,,,,,,,,,3.0,,6.25,
2022-08-13 21:50:06.000000,40.179844,-86.557831,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:06.100000,40.179817,-86.557808,0.032,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,,,,1146.0
2022-08-13 21:50:06.200000,40.17979,-86.557785,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.864,,,,,,,,,5.0,,0.0,
2022-08-13 21:50:06.300000,40.179764,-86.557762,,,3730.08,,,75.0,,,,,,0.0,,,,,,,,,,,,,,,-102.05,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:06.400000,40.179737,-86.557739,,,,66836.0,75.0,,,,,,,0.0,,,,,,,,10.0,,,,,,-97.19,,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:06.500000,40.179714,-86.557709,,,,,,,,,,,,0.143,,,,,,,,,,,20.0,,0.0,,,,,,,,,0.072,,,,,,,,,5.0,,0.0,
2022-08-13 21:50:06.600000,40.179688,-86.557686,0.0,,3730.08,,,75.0,,,,,,0.0,,,,,,,,,,,,,,,-108.07,0.0,,,,,,,,,,,,,,,,,,0.0
2022-08-13 21:50:06.700000,40.179661,-86.557663,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:06.800000,40.179634,-86.55764,,,,66836.0,75.0,,,,,,,0.104,,,,,,,,10.0,,,12.0,,0.0,-98.19,,,,,,,,0.072,,,,,,,,,5.0,,0.0,
2022-08-13 21:50:06.900000,40.179607,-86.55761,,,3730.08,,,75.0,,,,,,0.0,,,,,,,,,,,,,,,-97.93,,,,,,,,,,,,,,,,,,,
2022-08-13 21:50:07.000000,40.179581,-86.557587,,,3730.08,,,75.0,0.0,,,,,0.15,,,,,,,,,,,14.0,,0.0,,-99.76,,0.433,,,,,0.298,,,,,,,,,7.94,,0.0,
2022-08-13 21:50:07.100000,40.179554,-86.557564,0.001,,,66836.0,75.0,,,,,,,1.677,,,,,,,,10.0,,,16.4,,0.0,-104.39,,0.208,,,,,,0.942,,,,,,,,,2.93,14.29,0.0,13028.0
2022-08-13 21:50:07.200000,40.179527,-86.557541,,,3730.08,66836.0,75.0,75.0,,,,,,3.07,,,,,,,,10.0,,,16.0,,0.0,-102.29,-97.51,,,,,,,1.107,,,,,,,,12.17,3.68,,2.63,
2022-08-13 21:50:07.300000,40.179497,-86.55751,,,,66836.0,75.0,,,,,,,1.409,,,,,,,,10.0,,,17.0,,0.0,-98.17,,,,,,,,0.322,,,,,,,,,11.5,,10.53,
2022-08-13 21:50:07.400000,40.17947,-86.557487,,,3730.08,66836.0,75.0,75.0,,,,,,0.609,,,,,,,,10.0,,0.0,14.0,0.0,0.0,-97.54,-97.16,,,,,,,0.316,,,,,,,,,9.82,,2.56,
2022-08-13 21:50:07.500000,40.179443,-86.557465,,,3730.08,66836.0,75.0,75.0,,,,,,2.5,,,,,,,,10.0,,,18.27,,18.75,-95.17,-97.2,,,,,,,1.393,,,,,,,,13.38,3.75,25.0,4.76,
2022-08-13 21:50:07.600000,40.179417,-86.557434,0.04,,,66836.0,75.0,,,,,,,3.105,,,,,,,,10.0,,,17.42,,0.0,-96.49,,1.091,,,,,,0.339,,,,,,,,,9.73,22.22,15.38,68158.0
2022-08-13 21:50:07.700000,40.17939,-86.557411,,,3730.08,66836.0,75.0,75.0,,,,,,1.428,,,,,,,,10.0,,0.5,20.8,0.0,28.57,-100.91,-94.4,,,,,,,0.293,,,,,,,,,8.79,,13.16,
2022-08-13 21:50:07.800000,40.179363,-86.557388,,,3730.08,66836.0,75.0,75.0,,,,,,1.593,,,,,,,,10.0,,,18.22,,0.0,-101.51,-95.81,,,,,,,1.237,,,,,,,,11.83,3.44,0.0,9.3,
2022-08-13 21:50:07.900000,40.179337,-86.557358,,,,66836.0,75.0,,,,,,,2.922,,,,,,,,10.0,,,19.08,,13.33,-99.97,,,,,,,,0.563,,,,,,,,,5.81,,11.9,
2022-08-13 21:50:08.000000,40.17931,-86.557335,,,3730.08,66836.0,75.0,75.0,0.004,,,,,0.802,,,,,,,,10.0,,0.0,19.67,0.0,0.0,-96.56,-96.76,,0.641,,,,,0.248,,,,,,,,,6.0,,17.65,
2022-08-13 21:50:08.100000,40.179283,-86.557304,0.023,,,66836.0,75.0,,,,,,,0.2,,,,,,,,10.0,,,17.0,,0.0,-93.1,,0.651,,,,,,0.294,,,,,,,,,5.87,,5.0,40694.0
2022-08-13 21:50:08.200000,40.179253,-86.557281,,,3730.08,66836.0,75.0,75.0,,,,,,2.34,,,,,,,,10.0,,,18.62,,0.0,-96.86,-95.8,,,,,,,0.708,,,,,,,,12.21,2.04,0.0,3.45,
2022-08-13 21:50:08.300000,40.179226,-86.557259,,,3730.08,66836.0,75.0,75.0,,,,,,3.159,,,,,,,,10.0,,0.0,15.92,0.0,6.25,-95.22,-96.78,,,,,,,0.681,,,,,,,,,1.91,0.0,7.89,
2022-08-13 21:50:08.400000,40.179199,-86.557228,,,,66836.0,75.0,,,,,,,1.342,,,,,,,,10.0,,,18.0,,14.29,-97.36,,,,,,,,0.282,,,,,,,,,5.03,,7.5,
