idx,size,avail,enc_fin,offload,inf,recv
0,2048000,1660496429092,1660496429092,1660496429774,44,1660496430227
12,2048000,1660496430292,1660496430292,1660496430892,44,1660496431651
26,2048000,1660496431692,1660496431692,1660496432640,44,1660496433339
43,2048000,1660496433392,1660496433392,1660496434485,44,1660496435022
60,2048000,1660496435092,1660496435092,1660496435785,44,1660496436281
72,2048000,1660496436292,1660496436292,1660496436917,44,1660496437402
84,2048000,1660496437492,1660496437492,1660496438028,44,1660496438393
94,2048000,1660496438492,1660496438492,1660496438925,44,1660496439394
104,2048000,1660496439493,1660496439493,1660496440122,44,1660496440626
116,2048000,1660496440692,1660496440692,1660496441080,44,1660496441522
125,2048000,1660496441592,1660496441592,1660496442104,44,1660496442526
135,2048000,1660496442592,1660496442592,1660496443122,44,1660496443546
145,2048000,1660496443592,1660496443592,1660496444109,44,1660496444626
156,2048000,1660496444692,1660496444692,1660496445234,44,1660496445621
166,2048000,1660496445692,1660496445692,1660496446263,44,1660496446706
177,2048000,1660496446792,1660496446792,1660496447431,44,1660496447887
188,2048000,1660496447892,1660496447892,1660496448472,44,1660496448881
