TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-08 22:57:56.000000,-118.239311,34.105789,,,,,,
2022-08-08 22:57:56.500000,-118.239311,34.105789,,,,,,
2022-08-08 22:57:56.534179,-118.239311,34.105789,,,,,,
2022-08-08 22:57:56.600000,-118.239311,34.105789,0.0,,873.85,850.0,239.0,342.0
2022-08-08 22:57:56.700000,-118.239311,34.105789,,,,,,
2022-08-08 22:57:56.800000,-118.239319,34.105801,,,873.85,,,342.0
2022-08-08 22:57:56.900000,-118.239326,34.105808,,,873.85,850.0,239.0,342.0
2022-08-08 22:57:57.000000,-118.239342,34.10582,,,,,,
2022-08-08 22:57:57.100000,-118.239349,34.105827,0.0,,873.85,,,342.0
2022-08-08 22:57:57.200000,-118.239357,34.105839,,,873.85,,,342.0
2022-08-08 22:57:57.300000,-118.239365,34.10585,,,,850.0,239.0,
2022-08-08 22:57:57.400000,-118.239372,34.105858,,,873.85,,,342.0
2022-08-08 22:57:57.500000,-118.239388,34.105869,,,,,,
2022-08-08 22:57:57.600000,-118.239395,34.105877,0.012,,873.85,850.0,239.0,342.0
2022-08-08 22:57:57.700000,-118.239403,34.105888,,,,,,
2022-08-08 22:57:57.800000,-118.23941,34.1059,,,873.85,,,342.0
2022-08-08 22:57:57.900000,-118.239426,34.105911,,,873.85,,,342.0
2022-08-08 22:57:58.000000,-118.239433,34.105923,,,,850.0,239.0,
2022-08-08 22:57:58.100000,-118.239441,34.105934,0.0,,873.85,,,342.0
2022-08-08 22:57:58.200000,-118.239456,34.105942,,,873.85,850.0,239.0,342.0
2022-08-08 22:57:58.300000,-118.239464,34.105953,,,873.85,,,342.0
2022-08-08 22:57:58.400000,-118.239471,34.105965,,,,,,
