TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-13 01:39:08.887744,41.807781,-88.440231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:08.900000,41.807781,-88.440231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:09.000000,41.807781,-88.440231,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:09.100000,41.807781,-88.440231,0.0,,873.85,700.0,422.0,166.0,,,,,,0.0,,,,,,,,20.0,,,,,,-97.75,-104.23,0.0,,,,,,0.0,,,,,,,,,5.0,,0.0,0.0
2022-08-13 01:39:09.200000,41.807781,-88.440231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:09.300000,41.807762,-88.440193,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:09.400000,41.807743,-88.440163,,,873.85,,,166.0,,,,,,0.0,,,,,,,,,,,,,,,-108.33,,,,,,,0.432,,,,,,,,,5.0,,0.0,
2022-08-13 01:39:09.500000,41.807724,-88.440125,,,873.85,700.0,422.0,166.0,,,,,,0.0,,,,,,,,20.0,,,,,,-94.94,-106.9,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:09.600000,41.807705,-88.440094,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0
2022-08-13 01:39:09.700000,41.807686,-88.440056,,,873.85,,,166.0,,,,,,0.0,,,,,,,,,,,,,,,-106.84,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:09.800000,41.807667,-88.440018,,,,700.0,422.0,,,,,,,0.0,,,,,,,,20.0,,,,,,-98.06,,,,,,,,0.432,,,,,,,,,5.0,,0.0,
2022-08-13 01:39:09.900000,41.807648,-88.439987,,,873.85,,,166.0,,,,,,0.0,,,,,,,,,,,,,,,-109.48,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.000000,41.807629,-88.439949,,,,,,,0.03,,,,,0.0,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.100000,41.80761,-88.439919,0.0,,873.85,700.0,422.0,166.0,,,,,,0.0,,,,,,,,20.0,,,,,,-103.38,-112.89,0.0,,,,,,,,,,,,,,,,,,0.0
2022-08-13 01:39:10.200000,41.80759,-88.43988,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.400000,41.807552,-88.439812,,,873.85,700.0,422.0,166.0,,,,,,0.0,,,,,,,,20.0,,,,,,-100.88,-109.43,,,,,,,0.432,,,,,,,,,5.0,,0.0,
2022-08-13 01:39:10.500000,41.807533,-88.439774,,,873.85,700.0,422.0,166.0,,,,,,0.0,,,,,,,,20.0,,,,,,-103.13,-113.42,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.600000,41.807514,-88.439743,0.0,,,700.0,422.0,,,,,,,0.013,,,,,,,,20.0,,,13.0,,0.0,-98.19,,0.0,,,,,,0.054,,,,,,,,,5.0,,0.0,0.0
2022-08-13 01:39:10.617801,41.80751,-88.439735,,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.700000,41.807495,-88.439705,,,873.85,700.0,422.0,166.0,,,,,,0.001,,,,,,,,20.0,10.0,5.33,0.0,0.0,0.0,-97.69,-110.18,,,,,,,0.169,,,,,,,,,3.43,,0.0,
2022-08-13 01:39:10.705667,41.807495,-88.439705,,Handover Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.761353,41.807484,-88.439682,,Handover Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.763187,41.807484,-88.439682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.763802,41.807484,-88.439682,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.771845,41.80748,-88.439682,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.775810,41.80748,-88.439682,,PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.775824,41.80748,-88.439682,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.783509,41.80748,-88.439674,,Received RAR[True],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.783522,41.80748,-88.439674,,PRACH: Msg4[Pass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.787534,41.80748,-88.439674,,PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.787534,41.80748,-88.439674,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.787534,41.80748,-88.439674,,PRACH: Msg4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.787534,41.80748,-88.439674,,PRACH: Msg4[Pass]			,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13 01:39:10.789072,41.80748,-88.439674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
