idx,size,avail,enc_fin,offload,inf,recv
0,2048000,1659999548872,1659999548872,1659999549327,44,1659999549646
8,2048000,1659999549672,1659999549672,1659999549676,44,1659999550121
13,2048000,1659999550171,1659999550171,1659999550174,44,1659999550559
17,2048000,1659999550571,1659999550571,1659999550573,44,1659999550960
21,2048000,1659999550971,1659999550971,1659999550975,44,1659999551381
26,2048000,1659999551472,1659999551472,1659999551474,44,1659999551861
30,2048000,1659999551871,1659999551871,1659999551873,44,1659999552216
34,2048000,1659999552271,1659999552271,1659999552274,44,1659999552606
38,2048000,1659999552672,1659999552672,1659999552675,44,1659999553041
42,2048000,1659999553071,1659999553071,1659999553075,44,1659999553455
46,2048000,1659999553471,1659999553471,1659999553474,44,1659999553886
51,2048000,1659999553971,1659999553971,1659999553973,44,1659999554386
56,2048000,1659999554471,1659999554471,1659999554474,44,1659999554866
60,2048000,1659999554871,1659999554871,1659999554874,44,1659999555224
64,2048000,1659999555272,1659999555272,1659999555274,44,1659999555636
68,2048000,1659999555671,1659999555671,1659999555673,44,1659999556011
72,2048000,1659999556071,1659999556071,1659999556075,44,1659999556411
76,2048000,1659999556471,1659999556471,1659999556474,44,1659999556826
80,2048000,1659999556871,1659999556871,1659999556874,44,1659999557200
84,2048000,1659999557271,1659999557271,1659999557274,44,1659999557607
88,2048000,1659999557672,1659999557672,1659999557675,44,1659999558021
92,2048000,1659999558071,1659999558071,1659999558075,44,1659999558421
96,2048000,1659999558471,1659999558471,1659999558473,44,1659999558821
100,2048000,1659999558871,1659999558871,1659999558873,44,1659999559222
104,2048000,1659999559271,1659999559271,1659999559274,44,1659999559611
108,2048000,1659999559671,1659999559671,1659999559673,44,1659999560037
112,2048000,1659999560071,1659999560071,1659999560075,44,1659999560481
117,2048000,1659999560571,1659999560571,1659999560573,44,1659999560921
121,2048000,1659999560971,1659999560971,1659999560975,44,1659999561361
125,2048000,1659999561371,1659999561371,1659999561374,44,1659999561716
129,2048000,1659999561771,1659999561771,1659999561774,44,1659999562180
134,2048000,1659999562273,1659999562273,1659999562275,44,1659999562626
138,2048000,1659999562672,1659999562672,1659999562676,44,1659999563021
142,2048000,1659999563071,1659999563071,1659999563074,44,1659999563385
146,2048000,1659999563472,1659999563472,1659999563474,44,1659999563800
150,2048000,1659999563871,1659999563871,1659999563874,44,1659999564216
154,2048000,1659999564271,1659999564271,1659999564275,44,1659999564665
158,2048000,1659999564671,1659999564671,1659999564674,44,1659999565040
162,2048000,1659999565071,1659999565071,1659999565075,44,1659999565469
166,2048000,1659999565471,1659999565471,1659999565473,44,1659999565873
171,2048000,1659999565971,1659999565971,1659999565975,44,1659999566371
175,2048000,1659999566371,1659999566371,1659999566373,44,1659999566765
179,2048000,1659999566771,1659999566771,1659999566773,44,1659999567186
184,2048000,1659999567271,1659999567271,1659999567274,44,1659999567606
188,2048000,1659999567671,1659999567671,1659999567673,44,1659999568010
192,2048000,1659999568071,1659999568071,1659999568073,44,1659999568456
