idx,size,avail,enc_fin,offload,inf,recv
0,2048000,1660528391822,1660528391822,1660528392269,44,1660528394198
24,2048000,1660528394222,1660528394222,1660528394859,44,1660528396387
46,2048000,1660528396422,1660528396422,1660528397349,44,1660528398437
67,2048000,1660528398522,1660528398522,1660528399039,44,1660528400077
83,2048000,1660528400122,1660528400122,1660528400649,44,1660528401897
101,2048000,1660528401922,1660528401922,1660528402476,44,1660528403778
120,2048000,1660528403822,1660528403822,1660528404525,44,1660528405747
140,2048000,1660528405822,1660528405822,1660528406461,44,1660528407619
158,2048000,1660528407622,1660528407622,1660528408199,44,1660528409186
174,2048000,1660528409222,1660528409222,1660528409877,44,1660528410987
