TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI
2022-08-12 21:56:06.827163,-93.094978,41.680931,,,,,,
2022-08-12 21:56:07.000000,-93.094978,41.680931,0.0,,,,,
2022-08-12 21:56:07.100000,-93.094978,41.680931,,,,,,
2022-08-12 21:56:07.400000,-93.094978,41.680931,,,,,,
2022-08-12 21:56:07.500000,-93.094933,41.680935,0.0,,,,,
2022-08-12 21:56:08.000000,-93.094727,41.680962,0.0,,,66636.0,314.0,
2022-08-12 21:56:08.400000,-93.094559,41.680981,,,,,,
2022-08-12 21:56:08.500000,-93.094513,41.680988,0.0,,,,,
2022-08-12 21:56:09.000000,-93.094307,41.681019,0.0,,,,,
2022-08-12 21:56:09.100000,-93.094269,41.681023,,,,66636.0,314.0,
2022-08-12 21:56:09.400000,-93.094139,41.681042,,,,,,
2022-08-12 21:56:09.475818,-93.094139,41.681042,,RRC Setup Start,,,,
2022-08-12 21:56:09.500000,-93.094139,41.681042,0.001,,,66636.0,314.0,
2022-08-12 21:56:09.519778,-93.094139,41.681042,,PRACH: Msg1(RA),,,,
2022-08-12 21:56:09.529994,-93.094139,41.681042,,PRACH: Msg2(RAR),,,,
2022-08-12 21:56:09.530007,-93.094139,41.681042,,PRACH: Msg3(UE ID),,,,
2022-08-12 21:56:09.534209,-93.094139,41.681042,,PRACH: Msg4[Pass],,,,
2022-08-12 21:56:09.534236,-93.094139,41.681042,,Received RAR[True],,,,
2022-08-12 21:56:09.535635,-93.094139,41.681042,,RRC Setup Success,,,,
2022-08-12 21:56:09.600000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:09.700000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:09.800000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:09.900000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:10.000000,-93.094139,41.681042,6.123,,,66636.0,314.0,
2022-08-12 21:56:10.100000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:10.200000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:10.300000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:10.400000,-93.094139,41.681042,,,,66636.0,314.0,
2022-08-12 21:56:10.500000,-93.094055,41.681053,9.196,,,66636.0,314.0,
2022-08-12 21:56:10.600000,-93.093971,41.681068,,,,66636.0,314.0,
2022-08-12 21:56:10.700000,-93.093887,41.68108,,,,66636.0,314.0,
2022-08-12 21:56:10.800000,-93.093803,41.681095,,,,66636.0,314.0,
2022-08-12 21:56:10.900000,-93.093719,41.681107,,,,66636.0,314.0,
2022-08-12 21:56:11.000000,-93.093628,41.681118,7.64,,,66636.0,314.0,
2022-08-12 21:56:11.100000,-93.093544,41.681133,,,,66636.0,314.0,
2022-08-12 21:56:11.200000,-93.09346,41.681145,,,,66636.0,314.0,
2022-08-12 21:56:11.300000,-93.093376,41.68116,,,,66636.0,314.0,
2022-08-12 21:56:11.400000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:11.500000,-93.093292,41.681171,7.67,,,66636.0,314.0,
2022-08-12 21:56:11.600000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:11.700000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:11.800000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:11.900000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:12.000000,-93.093292,41.681171,7.655,,,66636.0,314.0,
2022-08-12 21:56:12.100000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:12.200000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:12.300000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:12.400000,-93.093292,41.681171,,,,66636.0,314.0,
2022-08-12 21:56:12.500000,-93.093208,41.681183,0.0,,,66636.0,314.0,
2022-08-12 21:56:12.600000,-93.093124,41.681198,,,,66636.0,314.0,
2022-08-12 21:56:12.700000,-93.093033,41.68121,,,,66636.0,314.0,
2022-08-12 21:56:12.800000,-93.092949,41.681225,,,,66636.0,314.0,
2022-08-12 21:56:12.900000,-93.092865,41.681236,,,,66636.0,314.0,
2022-08-12 21:56:13.000000,-93.092781,41.681248,8.053,,,66636.0,314.0,
2022-08-12 21:56:13.100000,-93.092697,41.681263,,,,66636.0,314.0,
2022-08-12 21:56:13.200000,-93.092606,41.681274,,,,66636.0,314.0,
2022-08-12 21:56:13.300000,-93.092522,41.68129,,,,66636.0,314.0,
2022-08-12 21:56:13.400000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:13.500000,-93.092438,41.681301,14.924,,,66636.0,314.0,
2022-08-12 21:56:13.600000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:13.700000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:13.800000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:13.900000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:14.000000,-93.092438,41.681301,7.64,,,66636.0,314.0,
2022-08-12 21:56:14.100000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:14.200000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:14.300000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:14.400000,-93.092438,41.681301,,,,66636.0,314.0,
2022-08-12 21:56:14.500000,-93.092354,41.681313,7.67,,,66636.0,314.0,
2022-08-12 21:56:14.600000,-93.09227,41.681324,,,,66636.0,314.0,
2022-08-12 21:56:14.700000,-93.092186,41.681335,,,,66636.0,314.0,
2022-08-12 21:56:14.800000,-93.092102,41.681347,,,,66636.0,314.0,
2022-08-12 21:56:14.900000,-93.09201,41.681358,,,,66636.0,314.0,
2022-08-12 21:56:15.000000,-93.091927,41.681374,7.655,,,66636.0,314.0,
2022-08-12 21:56:15.100000,-93.091843,41.681385,,,,66636.0,314.0,
2022-08-12 21:56:15.200000,-93.091759,41.681396,,,,66636.0,314.0,
2022-08-12 21:56:15.300000,-93.091675,41.681408,,,,66636.0,314.0,
2022-08-12 21:56:15.400000,-93.091591,41.681419,,,,66636.0,314.0,
2022-08-12 21:56:15.500000,-93.091591,41.681419,7.655,,,66636.0,314.0,
2022-08-12 21:56:15.600000,-93.091591,41.681419,,,,66636.0,314.0,
