,TIME_STAMP,game,capture,convert,encode,network,decode,display
0,2022-08-12 22:10:52,,,,,,,
1,2022-08-12 22:10:53,5.24,1.15,1.6,3.21,39.42,0.99,39.42
2,2022-08-12 22:10:54,5.56,0.35,0.0,3.16,31.93,20.1,0.0
3,2022-08-12 22:10:55,5.56,0.35,0.0,3.16,31.93,20.1,0.0
4,2022-08-12 22:10:56,5.75,0.35,0.01,5.13,36.32,1.14,36.32
5,2022-08-12 22:10:57,5.93,0.4,0.04,5.43,44.39,0.97,44.39
6,2022-08-12 22:10:58,5.7,0.36,0.02,5.29,28.61,1.09,7.49
7,2022-08-12 22:10:59,5.3,0.35,0.02,5.64,48.68,1.03,48.68
8,2022-08-12 22:11:00,5.16,0.37,0.01,6.43,36.81,1.06,36.81
9,2022-08-12 22:11:01,5.4,0.36,0.0,6.41,35.59,1.18,35.59
10,2022-08-12 22:11:02,5.63,0.36,0.0,6.41,39.5,0.91,39.5
11,2022-08-12 22:11:03,5.44,0.36,0.0,6.48,36.54,1.11,36.54
12,2022-08-12 22:11:04,5.62,0.36,0.0,6.64,39.31,0.91,39.31
13,2022-08-12 22:11:05,5.86,0.37,0.0,6.66,31.33,0.96,2.53
14,2022-08-12 22:11:06,5.86,0.37,0.0,6.66,31.33,0.96,2.53
15,2022-08-12 22:11:07,5.86,0.37,0.0,6.66,31.33,0.96,2.53
16,2022-08-12 22:11:08,5.86,0.37,0.0,6.66,31.33,0.96,2.53
17,2022-08-12 22:11:09,5.86,0.37,0.0,6.66,31.33,0.96,2.53
18,2022-08-12 22:11:10,5.86,0.37,0.0,6.66,31.33,0.96,2.53
19,2022-08-12 22:11:11,5.86,0.37,0.0,6.66,31.33,0.96,2.53
20,2022-08-12 22:11:12,5.86,0.37,0.0,6.66,31.33,0.96,2.53
21,2022-08-12 22:11:13,5.86,0.37,0.0,6.66,31.33,0.96,2.53
22,2022-08-12 22:11:14,5.86,0.37,0.0,6.66,31.33,0.96,2.53
23,2022-08-12 22:11:15,4.78,0.34,0.0,6.83,35.18,1.02,35.18
24,2022-08-12 22:11:16,4.83,0.34,0.0,7.03,28.77,1.1,4.22
25,2022-08-12 22:11:17,4.83,0.34,0.0,7.03,28.77,1.1,4.22
26,2022-08-12 22:11:18,4.83,0.34,0.0,7.03,28.77,1.1,4.22
27,2022-08-12 22:11:19,5.01,0.34,0.0,6.81,71.1,0.87,71.1
28,2022-08-12 22:11:20,5.01,0.34,0.0,6.81,71.1,0.87,71.1
29,2022-08-12 22:11:21,4.74,0.34,0.0,6.87,33.39,0.79,6.01
30,2022-08-12 22:11:22,4.74,0.34,0.0,6.87,33.39,0.79,6.01
31,2022-08-12 22:11:23,4.46,0.33,0.0,6.89,45.87,1.02,45.87
32,2022-08-12 22:11:24,4.47,0.34,0.0,6.93,19.94,1.31,13.98
33,2022-08-12 22:11:25,4.47,0.34,0.0,6.93,19.94,1.31,13.98
34,2022-08-12 22:11:26,4.38,0.33,0.0,7.25,34.86,1.06,34.86
35,2022-08-12 22:11:27,4.33,0.33,0.0,7.16,48.57,1.33,48.57
36,2022-08-12 22:11:28,4.43,0.34,0.0,7.17,23.92,1.35,4.21
37,2022-08-12 22:11:29,4.43,0.34,0.0,7.17,23.92,1.35,4.21
38,2022-08-12 22:11:30,4.43,0.34,0.0,7.17,23.92,1.35,4.21
39,2022-08-12 22:11:31,4.43,0.34,0.0,7.17,23.92,1.35,4.21
40,2022-08-12 22:11:32,4.43,0.34,0.0,7.17,23.92,1.35,4.21
41,2022-08-12 22:11:33,4.43,0.34,0.0,7.17,23.92,1.35,4.21
42,2022-08-12 22:11:34,4.43,0.34,0.0,7.17,23.92,1.35,4.21
43,2022-08-12 22:11:35,4.43,0.34,0.0,7.17,23.92,1.35,4.21
44,2022-08-12 22:11:36,4.43,0.34,0.0,7.17,23.92,1.35,4.21
45,2022-08-12 22:11:37,4.43,0.34,0.0,7.17,23.92,1.35,4.21
46,2022-08-12 22:11:38,4.43,0.34,0.0,7.17,23.92,1.35,4.21
47,2022-08-12 22:11:39,4.43,0.34,0.0,7.17,23.92,1.35,4.21
48,2022-08-12 22:11:40,4.43,0.34,0.0,7.17,23.92,1.35,4.21
49,2022-08-12 22:11:41,4.43,0.34,0.0,7.17,23.92,1.35,4.21
50,2022-08-12 22:11:42,4.43,0.34,0.0,7.17,23.92,1.35,4.21
51,2022-08-12 22:11:43,4.43,0.34,0.0,7.17,23.92,1.35,4.21
52,2022-08-12 22:11:44,4.43,0.34,0.0,7.17,23.92,1.35,4.21
53,2022-08-12 22:11:45,4.43,0.34,0.0,7.17,23.92,1.35,4.21
54,2022-08-12 22:11:46,4.43,0.34,0.0,7.17,23.92,1.35,4.21
55,2022-08-12 22:11:47,4.43,0.34,0.0,7.17,23.92,1.35,4.21
56,2022-08-12 22:11:48,4.43,0.34,0.0,7.17,23.92,1.35,4.21
57,2022-08-12 22:11:49,5.23,0.34,0.0,7.08,34.97,1.25,34.97
58,2022-08-12 22:11:50,5.26,0.34,0.0,7.0,37.53,1.11,37.53
59,2022-08-12 22:11:51,5.32,0.35,0.0,6.87,75.78,1.15,75.78
60,2022-08-12 22:11:52,5.62,0.35,0.0,6.82,32.56,1.29,17.39
61,2022-08-12 22:11:53,6.02,0.36,0.01,6.86,51.53,1.19,51.53
62,2022-08-12 22:11:54,6.25,0.35,0.02,5.68,31.2,1.17,4.28
63,2022-08-12 22:11:55,6.25,0.35,0.02,5.68,31.2,1.17,4.28
64,2022-08-12 22:11:56,6.25,0.35,0.02,5.68,31.2,1.17,4.28
65,2022-08-12 22:11:57,6.25,0.35,0.02,5.68,31.2,1.17,4.28
66,2022-08-12 22:11:58,6.25,0.35,0.02,5.68,31.2,1.17,4.28
67,2022-08-12 22:11:59,6.25,0.35,0.02,5.68,31.2,1.17,4.28
68,2022-08-12 22:12:00,6.25,0.35,0.02,5.68,31.2,1.17,4.28
69,2022-08-12 22:12:01,6.25,0.35,0.02,5.68,31.2,1.17,4.28
70,2022-08-12 22:12:02,6.25,0.35,0.02,5.68,31.2,1.17,4.28
71,2022-08-12 22:12:03,7.32,0.36,0.02,4.61,35.92,0.94,35.92
72,2022-08-12 22:12:04,7.35,0.36,0.02,4.77,40.55,0.83,40.55
73,2022-08-12 22:12:05,7.13,0.35,0.02,4.67,45.6,0.82,45.6
74,2022-08-12 22:12:06,7.04,0.36,0.02,4.69,63.58,0.99,63.58
75,2022-08-12 22:12:07,6.93,0.36,0.02,4.71,59.77,0.77,59.77
76,2022-08-12 22:12:08,7.03,0.37,0.02,4.82,24.62,1.09,3.08
77,2022-08-12 22:12:09,7.03,0.37,0.02,4.82,24.62,1.09,3.08
78,2022-08-12 22:12:10,7.03,0.37,0.02,4.82,24.62,1.09,3.08
79,2022-08-12 22:12:11,7.03,0.37,0.02,4.82,24.62,1.09,3.08
80,2022-08-12 22:12:12,7.03,0.37,0.02,4.82,24.62,1.09,3.08
81,2022-08-12 22:12:13,7.03,0.37,0.02,4.82,24.62,1.09,3.08
82,2022-08-12 22:12:14,7.03,0.37,0.02,4.82,24.62,1.09,3.08
83,2022-08-12 22:12:15,7.03,0.37,0.02,4.82,24.62,1.09,3.08
84,2022-08-12 22:12:16,7.03,0.37,0.02,4.82,24.62,1.09,3.08
85,2022-08-12 22:12:17,7.03,0.37,0.02,4.82,24.62,1.09,3.08
86,2022-08-12 22:12:18,6.19,0.34,0.03,5.35,44.4,0.98,44.4
87,2022-08-12 22:12:19,4.61,0.33,0.03,5.98,24.98,0.94,2.63
88,2022-08-12 22:12:20,4.61,0.33,0.03,5.98,24.98,0.94,2.63
89,2022-08-12 22:12:21,4.61,0.33,0.03,5.98,24.98,0.94,2.63
90,2022-08-12 22:12:22,4.61,0.33,0.03,5.98,24.98,0.94,2.63
91,2022-08-12 22:12:23,4.61,0.33,0.03,6.8,40.32,0.82,40.32
92,2022-08-12 22:12:24,4.54,0.33,0.03,6.79,31.74,0.84,17.85
93,2022-08-12 22:12:25,4.54,0.33,0.03,6.79,31.74,0.84,17.85
94,2022-08-12 22:12:26,4.54,0.33,0.03,6.79,31.74,0.84,17.85
95,2022-08-12 22:12:27,4.54,0.33,0.03,6.79,31.74,0.84,17.85
96,2022-08-12 22:12:28,4.54,0.33,0.03,6.79,31.74,0.84,17.85
97,2022-08-12 22:12:29,4.54,0.33,0.03,6.79,31.74,0.84,17.85
98,2022-08-12 22:12:30,4.54,0.33,0.03,6.79,31.74,0.84,17.85
99,2022-08-12 22:12:31,4.54,0.33,0.03,6.79,31.74,0.84,17.85
100,2022-08-12 22:12:32,4.54,0.33,0.03,6.79,31.74,0.84,17.85
101,2022-08-12 22:12:33,4.54,0.33,0.03,6.79,31.74,0.84,17.85
102,2022-08-12 22:12:34,4.54,0.33,0.03,6.79,31.74,0.84,17.85
103,2022-08-12 22:12:35,4.54,0.33,0.03,6.79,31.74,0.84,17.85
104,2022-08-12 22:12:36,4.54,0.33,0.03,6.79,31.74,0.84,17.85
105,2022-08-12 22:12:37,4.54,0.33,0.03,6.79,31.74,0.84,17.85
106,2022-08-12 22:12:38,4.54,0.33,0.03,6.79,31.74,0.84,17.85
107,2022-08-12 22:12:39,4.54,0.33,0.03,6.79,31.74,0.84,17.85
108,2022-08-12 22:12:40,4.54,0.33,0.03,6.79,31.74,0.84,17.85
109,2022-08-12 22:12:41,4.54,0.33,0.03,6.79,31.74,0.84,17.85
110,2022-08-12 22:12:42,4.54,0.33,0.03,6.79,31.74,0.84,17.85
111,2022-08-12 22:12:43,4.23,0.34,0.0,6.59,58.9,1.09,58.9
112,2022-08-12 22:12:44,4.2,0.34,0.0,6.82,24.98,1.02,7.09
113,2022-08-12 22:12:45,4.2,0.34,0.0,6.82,24.98,1.02,7.09
114,2022-08-12 22:12:46,4.2,0.34,0.0,6.7,35.76,0.95,35.76
115,2022-08-12 22:12:47,4.26,0.35,0.0,6.78,32.03,0.89,4.3
116,2022-08-12 22:12:48,4.26,0.35,0.0,6.78,32.03,0.89,4.3
117,2022-08-12 22:12:49,4.26,0.35,0.0,6.78,32.03,0.89,4.3
118,2022-08-12 22:12:50,4.1,0.34,0.0,6.55,45.04,1.1,45.04
119,2022-08-12 22:12:51,4.03,0.34,0.0,6.47,45.95,1.26,45.95
120,2022-08-12 22:12:52,4.03,0.34,0.0,6.41,39.55,1.07,39.55
121,2022-08-12 22:12:53,3.98,0.35,0.0,6.58,56.12,1.14,56.12
122,2022-08-12 22:12:54,3.93,0.34,0.0,6.46,24.39,1.1,2.38
123,2022-08-12 22:12:55,3.93,0.34,0.0,6.46,24.39,1.1,2.38
124,2022-08-12 22:12:56,3.78,0.35,0.0,6.89,35.68,1.11,35.68
125,2022-08-12 22:12:57,4.06,0.35,0.0,6.79,27.23,1.19,3.17
126,2022-08-12 22:12:58,4.06,0.35,0.0,6.79,27.23,1.19,3.17
127,2022-08-12 22:12:59,4.06,0.35,0.0,6.79,27.23,1.19,3.17
128,2022-08-12 22:13:00,4.06,0.35,0.0,6.79,27.23,1.19,3.17
129,2022-08-12 22:13:01,4.06,0.35,0.0,6.79,27.23,1.19,3.17
130,2022-08-12 22:13:02,4.06,0.35,0.0,6.79,27.23,1.19,3.17
131,2022-08-12 22:13:03,4.06,0.35,0.0,6.79,27.23,1.19,3.17
132,2022-08-12 22:13:04,4.06,0.35,0.0,6.79,27.23,1.19,3.17
133,2022-08-12 22:13:05,4.06,0.35,0.0,6.79,27.23,1.19,3.17
134,2022-08-12 22:13:06,4.06,0.35,0.0,6.79,27.23,1.19,3.17
135,2022-08-12 22:13:07,4.06,0.35,0.0,6.79,27.23,1.19,3.17
136,2022-08-12 22:13:08,4.06,0.35,0.0,6.79,27.23,1.19,3.17
137,2022-08-12 22:13:09,4.06,0.35,0.0,6.79,27.23,1.19,3.17
138,2022-08-12 22:13:10,4.06,0.35,0.0,6.79,27.23,1.19,3.17
139,2022-08-12 22:13:11,4.06,0.35,0.0,6.79,27.23,1.19,3.17
140,2022-08-12 22:13:12,4.06,0.35,0.0,6.79,27.23,1.19,3.17
141,2022-08-12 22:13:13,4.06,0.35,0.0,6.79,27.23,1.19,3.17
142,2022-08-12 22:13:14,4.06,0.35,0.0,6.79,27.23,1.19,3.17
143,2022-08-12 22:13:15,4.06,0.35,0.0,6.79,27.23,1.19,3.17
144,2022-08-12 22:13:16,4.06,0.35,0.0,6.79,27.23,1.19,3.17
145,2022-08-12 22:13:17,4.06,0.35,0.0,6.79,27.23,1.19,3.17
146,2022-08-12 22:13:18,4.06,0.35,0.0,6.79,27.23,1.19,3.17
147,2022-08-12 22:13:19,4.4,0.34,0.0,7.16,41.62,1.12,41.62
148,2022-08-12 22:13:20,4.29,0.34,0.01,7.07,98.44,0.92,98.44
149,2022-08-12 22:13:21,4.25,0.34,0.0,6.97,29.72,1.03,3.68
150,2022-08-12 22:13:22,4.25,0.34,0.0,6.97,29.72,1.03,3.68
151,2022-08-12 22:13:23,4.25,0.34,0.0,6.97,29.72,1.03,3.68
152,2022-08-12 22:13:24,4.25,0.34,0.0,6.97,29.72,1.03,3.68
153,2022-08-12 22:13:25,4.25,0.34,0.0,6.97,29.72,1.03,3.68
154,2022-08-12 22:13:26,4.25,0.34,0.0,6.97,29.72,1.03,3.68
155,2022-08-12 22:13:27,4.25,0.34,0.0,6.97,29.72,1.03,3.68
156,2022-08-12 22:13:28,4.25,0.34,0.0,6.97,29.72,1.03,3.68
157,2022-08-12 22:13:29,4.25,0.34,0.0,6.97,29.72,1.03,3.68
158,2022-08-12 22:13:30,4.25,0.34,0.0,6.97,29.72,1.03,3.68
159,2022-08-12 22:13:31,4.25,0.34,0.0,6.97,29.72,1.03,3.68
160,2022-08-12 22:13:32,4.25,0.34,0.0,6.97,29.72,1.03,3.68
161,2022-08-12 22:13:33,4.18,0.35,0.0,7.13,44.47,0.89,44.47
162,2022-08-12 22:13:34,4.17,0.34,0.0,7.0,24.45,0.97,2.6
163,2022-08-12 22:13:35,4.17,0.34,0.0,7.0,24.45,0.97,2.6
164,2022-08-12 22:13:36,4.17,0.34,0.0,7.0,24.45,0.97,2.6
165,2022-08-12 22:13:37,4.17,0.34,0.0,7.0,24.45,0.97,2.6
166,2022-08-12 22:13:38,4.17,0.34,0.0,7.0,24.45,0.97,2.6
167,2022-08-12 22:13:39,4.17,0.34,0.0,7.0,24.45,0.97,2.6
168,2022-08-12 22:13:40,3.96,0.37,0.0,6.96,46.69,1.06,46.69
169,2022-08-12 22:13:41,3.81,0.37,0.01,6.94,37.11,1.05,37.11
170,2022-08-12 22:13:42,3.88,0.36,0.0,7.08,26.82,1.19,2.71
171,2022-08-12 22:13:43,3.88,0.36,0.0,7.08,26.82,1.19,2.71
172,2022-08-12 22:13:44,3.88,0.36,0.0,7.08,26.82,1.19,2.71
173,2022-08-12 22:13:45,3.88,0.36,0.0,7.08,26.82,1.19,2.71
174,2022-08-12 22:13:46,3.88,0.36,0.0,7.08,26.82,1.19,2.71
175,2022-08-12 22:13:47,3.88,0.36,0.0,7.08,26.82,1.19,2.71
176,2022-08-12 22:13:48,3.88,0.36,0.0,7.08,26.82,1.19,2.71
177,2022-08-12 22:13:49,3.88,0.36,0.0,7.08,26.82,1.19,2.71
178,2022-08-12 22:13:50,3.88,0.36,0.0,7.08,26.82,1.19,2.71
179,2022-08-12 22:13:51,3.88,0.36,0.0,7.08,26.82,1.19,2.71
