,TIME_STAMP,game,capture,convert,encode,network,decode,display
0,2022-08-09 15:52:45,,,,,,,
1,2022-08-09 15:52:46,10.0,1.6,2.47,4.53,56.75,1.6,56.75
2,2022-08-09 15:52:47,10.0,0.18,0.0,4.19,267.37,0.85,267.37
3,2022-08-09 15:52:48,10.0,0.21,0.0,4.29,47.81,15.27,47.81
4,2022-08-09 15:52:49,10.0,0.23,0.01,4.53,50.52,1.18,50.52
5,2022-08-09 15:52:50,10.0,0.2,0.0,4.52,49.04,0.91,49.04
6,2022-08-09 15:52:51,10.0,0.21,0.01,4.45,68.37,1.2,68.37
7,2022-08-09 15:52:52,10.0,0.18,0.0,4.35,242.23,1.21,242.23
8,2022-08-09 15:52:53,10.0,0.0,0.0,0.0,1064.25,1.54,1064.25
9,2022-08-09 15:52:54,10.0,0.0,0.0,0.0,1064.25,1.54,1064.25
10,2022-08-09 15:52:55,10.0,0.21,0.0,5.94,539.34,1.62,539.34
11,2022-08-09 15:52:56,10.0,0.23,0.01,5.94,53.18,1.05,53.18
12,2022-08-09 15:52:57,10.0,0.23,0.0,5.99,31.17,0.87,22.35
13,2022-08-09 15:52:58,10.0,0.0,0.0,0.0,769.73,2.66,769.73
14,2022-08-09 15:52:59,10.0,0.0,0.0,0.0,769.73,2.66,769.73
15,2022-08-09 15:53:00,10.0,0.0,0.0,0.0,769.73,2.66,769.73
16,2022-08-09 15:53:01,10.0,0.24,0.0,6.08,195.56,1.12,195.56
17,2022-08-09 15:53:02,10.0,0.21,0.0,6.21,31.22,1.02,3.4
18,2022-08-09 15:53:03,10.0,0.22,0.0,6.19,41.19,1.08,41.19
19,2022-08-09 15:53:04,10.0,0.23,0.01,6.22,44.01,1.17,44.01
20,2022-08-09 15:53:05,10.0,0.23,0.01,6.22,44.01,1.17,44.01
21,2022-08-09 15:53:06,10.0,0.22,0.0,6.01,71.83,0.89,71.83
22,2022-08-09 15:53:07,10.0,0.22,0.0,6.01,71.83,0.89,71.83
23,2022-08-09 15:53:08,10.0,0.22,0.0,6.01,71.83,0.89,71.83
24,2022-08-09 15:53:09,10.0,0.22,0.0,6.01,71.83,0.89,71.83
25,2022-08-09 15:53:10,10.0,0.24,0.0,6.07,312.95,3.22,312.95
26,2022-08-09 15:53:11,10.0,0.21,0.0,5.89,750.02,0.87,750.02
27,2022-08-09 15:53:12,10.0,0.21,0.0,5.89,750.02,0.87,750.02
28,2022-08-09 15:53:13,10.0,0.21,0.0,5.89,750.02,0.87,750.02
29,2022-08-09 15:53:14,10.0,0.21,0.0,5.89,750.02,0.87,750.02
30,2022-08-09 15:53:15,10.0,0.21,0.0,5.89,750.02,0.87,750.02
31,2022-08-09 15:53:16,10.0,0.21,0.0,5.89,750.02,0.87,750.02
32,2022-08-09 15:53:17,10.0,0.21,0.0,5.89,750.02,0.87,750.02
33,2022-08-09 15:53:18,10.0,0.21,0.0,5.89,750.02,0.87,750.02
34,2022-08-09 15:53:19,10.0,0.21,0.0,5.89,750.02,0.87,750.02
35,2022-08-09 15:53:20,10.0,0.21,0.0,5.89,750.02,0.87,750.02
36,2022-08-09 15:53:21,10.0,0.21,0.0,5.89,750.02,0.87,750.02
37,2022-08-09 15:53:22,10.0,0.21,0.0,5.89,750.02,0.87,750.02
38,2022-08-09 15:53:23,10.0,0.21,0.0,5.89,750.02,0.87,750.02
39,2022-08-09 15:53:24,10.0,0.21,0.0,5.89,750.02,0.87,750.02
40,2022-08-09 15:53:25,10.0,0.21,0.0,5.89,750.02,0.87,750.02
41,2022-08-09 15:53:26,10.0,0.21,0.0,5.89,750.02,0.87,750.02
42,2022-08-09 15:53:27,10.0,0.21,0.0,5.89,750.02,0.87,750.02
43,2022-08-09 15:53:28,10.0,0.21,0.0,5.89,750.02,0.87,750.02
44,2022-08-09 15:53:29,10.0,0.21,0.0,5.89,750.02,0.87,750.02
45,2022-08-09 15:53:30,10.0,0.21,0.0,5.89,750.02,0.87,750.02
46,2022-08-09 15:53:31,10.0,0.21,0.0,5.89,750.02,0.87,750.02
47,2022-08-09 15:53:32,10.0,0.21,0.0,5.89,750.02,0.87,750.02
48,2022-08-09 15:53:33,10.0,0.21,0.0,5.89,750.02,0.87,750.02
49,2022-08-09 15:53:34,10.0,0.0,0.0,0.0,46.16,1.23,46.16
50,2022-08-09 15:53:35,10.0,0.0,0.0,0.0,46.16,1.23,46.16
51,2022-08-09 15:53:36,10.0,0.0,0.0,0.0,46.16,1.23,46.16
