,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
0,2022-08-10 14:30:43,0,60.0,0.0
1,2022-08-10 14:30:44,0,60.0,0.0
2,2022-08-10 14:30:45,2,60.0,3.3333333333333335
3,2022-08-10 14:30:46,15,60.0,25.0
4,2022-08-10 14:30:47,0,60.0,0.0
5,2022-08-10 14:30:48,0,60.0,0.0
6,2022-08-10 14:30:49,0,60.0,0.0
7,2022-08-10 14:30:50,0,60.0,0.0
8,2022-08-10 14:30:51,0,60.0,0.0
9,2022-08-10 14:30:52,0,60.0,0.0
10,2022-08-10 14:30:53,0,60.0,0.0
11,2022-08-10 14:30:54,0,60.0,0.0
12,2022-08-10 14:30:55,0,60.0,0.0
13,2022-08-10 14:30:56,3,60.0,5.0
14,2022-08-10 14:30:57,0,60.0,0.0
15,2022-08-10 14:30:58,0,60.0,0.0
16,2022-08-10 14:30:59,0,60.0,0.0
17,2022-08-10 14:31:00,0,60.0,0.0
18,2022-08-10 14:31:01,0,60.0,0.0
19,2022-08-10 14:31:02,0,60.0,0.0
20,2022-08-10 14:31:03,0,60.0,0.0
21,2022-08-10 14:31:04,0,60.0,0.0
22,2022-08-10 14:31:05,0,60.0,0.0
23,2022-08-10 14:31:06,0,60.0,0.0
24,2022-08-10 14:31:07,0,60.0,0.0
25,2022-08-10 14:31:08,0,60.0,0.0
26,2022-08-10 14:31:09,0,60.0,0.0
27,2022-08-10 14:31:10,0,60.0,0.0
28,2022-08-10 14:31:11,0,60.0,0.0
29,2022-08-10 14:31:12,0,60.0,0.0
30,2022-08-10 14:31:13,0,60.0,0.0
31,2022-08-10 14:31:14,0,60.0,0.0
32,2022-08-10 14:31:15,0,60.0,0.0
33,2022-08-10 14:31:16,0,60.0,0.0
34,2022-08-10 14:31:17,0,60.0,0.0
35,2022-08-10 14:31:18,0,60.0,0.0
36,2022-08-10 14:31:19,0,60.0,0.0
37,2022-08-10 14:31:20,0,60.0,0.0
38,2022-08-10 14:31:21,0,60.0,0.0
39,2022-08-10 14:31:22,0,60.0,0.0
40,2022-08-10 14:31:23,0,60.0,0.0
41,2022-08-10 14:31:24,0,60.0,0.0
42,2022-08-10 14:31:25,0,60.0,0.0
43,2022-08-10 14:31:26,0,60.0,0.0
44,2022-08-10 14:31:27,0,60.0,0.0
45,2022-08-10 14:31:28,0,60.0,0.0
46,2022-08-10 14:31:29,0,60.0,0.0
47,2022-08-10 14:31:30,0,60.0,0.0
48,2022-08-10 14:31:31,0,60.0,0.0
49,2022-08-10 14:31:32,0,60.0,0.0
50,2022-08-10 14:31:33,0,60.0,0.0
51,2022-08-10 14:31:34,0,60.0,0.0
52,2022-08-10 14:31:35,0,60.0,0.0
53,2022-08-10 14:31:36,0,60.0,0.0
