,TIME_STAMP,game,capture,convert,encode,network,decode,display
0,2022-08-12 16:46:31,,,,,,,
1,2022-08-12 16:46:32,,,,,,,
2,2022-08-12 16:46:33,,,,,,,
3,2022-08-12 16:46:34,5.19,0.38,0.01,4.49,41.81,22.14,41.81
4,2022-08-12 16:46:35,5.09,0.37,0.01,4.95,44.59,0.93,44.59
5,2022-08-12 16:46:36,5.16,0.36,0.01,5.09,43.93,0.94,43.93
6,2022-08-12 16:46:37,4.93,0.38,0.01,5.12,28.44,1.04,2.78
7,2022-08-12 16:46:38,4.93,0.38,0.01,5.12,28.44,1.04,2.78
8,2022-08-12 16:46:39,4.97,0.38,0.01,5.54,45.04,1.27,45.04
9,2022-08-12 16:46:40,4.96,0.37,0.0,5.71,33.88,1.09,4.43
10,2022-08-12 16:46:41,4.96,0.37,0.0,5.71,33.88,1.09,4.43
11,2022-08-12 16:46:42,4.96,0.37,0.0,5.71,33.88,1.09,4.43
12,2022-08-12 16:46:43,4.96,0.37,0.0,5.71,33.88,1.09,4.43
13,2022-08-12 16:46:44,4.96,0.37,0.0,5.71,33.88,1.09,4.43
14,2022-08-12 16:46:45,4.96,0.37,0.0,5.71,33.88,1.09,4.43
15,2022-08-12 16:46:46,4.96,0.37,0.0,5.71,33.88,1.09,4.43
16,2022-08-12 16:46:47,4.96,0.37,0.0,5.71,33.88,1.09,4.43
17,2022-08-12 16:46:48,4.96,0.37,0.0,5.71,33.88,1.09,4.43
18,2022-08-12 16:46:49,4.96,0.37,0.0,5.71,33.88,1.09,4.43
19,2022-08-12 16:46:50,4.96,0.37,0.0,5.71,33.88,1.09,4.43
20,2022-08-12 16:46:51,4.96,0.37,0.0,5.71,33.88,1.09,4.43
21,2022-08-12 16:46:52,4.96,0.37,0.0,5.71,33.88,1.09,4.43
22,2022-08-12 16:46:53,4.96,0.37,0.0,5.71,33.88,1.09,4.43
23,2022-08-12 16:46:54,4.96,0.37,0.0,5.71,33.88,1.09,4.43
24,2022-08-12 16:46:55,4.96,0.37,0.0,5.71,33.88,1.09,4.43
25,2022-08-12 16:46:56,4.9,0.37,0.0,6.78,35.0,1.25,35.0
26,2022-08-12 16:46:57,4.9,0.37,0.0,6.69,35.58,0.94,35.58
27,2022-08-12 16:46:58,4.92,0.35,0.01,6.83,33.95,1.09,11.42
28,2022-08-12 16:46:59,4.92,0.35,0.01,6.83,33.95,1.09,11.42
29,2022-08-12 16:47:00,4.92,0.35,0.01,6.83,33.95,1.09,11.42
30,2022-08-12 16:47:01,4.92,0.35,0.01,6.83,33.95,1.09,11.42
31,2022-08-12 16:47:02,4.92,0.35,0.01,6.83,33.95,1.09,11.42
32,2022-08-12 16:47:03,5.11,0.36,0.01,6.85,34.99,1.14,34.99
33,2022-08-12 16:47:04,5.16,0.39,0.01,6.85,34.63,1.34,34.63
34,2022-08-12 16:47:05,5.12,0.36,0.01,6.75,33.84,1.32,3.14
35,2022-08-12 16:47:06,5.15,0.37,0.01,6.87,46.46,1.23,46.46
36,2022-08-12 16:47:07,5.23,0.38,0.0,6.94,38.17,1.34,38.17
37,2022-08-12 16:47:08,5.23,0.37,0.0,6.79,37.14,1.21,37.14
38,2022-08-12 16:47:09,5.19,0.37,0.0,6.87,38.28,1.12,38.28
39,2022-08-12 16:47:10,5.12,0.38,0.0,6.82,38.68,1.37,38.68
40,2022-08-12 16:47:11,5.27,0.41,0.01,7.01,182.87,1.17,182.87
41,2022-08-12 16:47:12,5.33,0.4,0.01,6.89,81.68,1.14,81.68
42,2022-08-12 16:47:13,5.32,0.38,0.01,6.8,36.58,1.11,36.58
43,2022-08-12 16:47:14,5.18,0.36,0.01,6.7,37.3,1.15,37.3
44,2022-08-12 16:47:15,5.17,0.38,0.01,6.71,31.35,1.26,3.71
45,2022-08-12 16:47:16,5.17,0.38,0.01,6.71,31.35,1.26,3.71
46,2022-08-12 16:47:17,5.17,0.38,0.01,6.71,31.35,1.26,3.71
47,2022-08-12 16:47:18,5.17,0.38,0.01,6.71,31.35,1.26,3.71
48,2022-08-12 16:47:19,5.05,0.37,0.0,6.63,34.93,1.14,34.93
49,2022-08-12 16:47:20,5.04,0.35,0.01,6.68,34.97,1.08,34.97
50,2022-08-12 16:47:21,5.09,0.38,0.0,6.88,52.71,1.05,52.71
51,2022-08-12 16:47:22,5.08,0.36,0.01,6.69,31.62,0.99,7.54
52,2022-08-12 16:47:23,5.08,0.36,0.01,6.69,31.62,0.99,7.54
53,2022-08-12 16:47:24,5.08,0.36,0.01,6.69,31.62,0.99,7.54
54,2022-08-12 16:47:25,5.08,0.36,0.01,6.69,31.62,0.99,7.54
