TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,LTE KPI SCell[1] CA Rate(Same PCI),LTE KPI SCell[1] Serving PCI,LTE KPI SCell[1] Serving Band,LTE KPI SCell[1] Serving EARFCN(DL),LTE KPI SCell[1] Serving EARFCN(UL),LTE KPI SCell[1] Serving BandWidth(DL),LTE KPI SCell[1] Serving RSRP[dBm],LTE KPI SCell[1] Serving RSRQ[dB],LTE KPI SCell[1] Serving RSSI[dBm],LTE KPI SCell[1] SINR[dB],LTE KPI SCell[1] WB CQI CW0,LTE KPI SCell[1] WB RI,LTE KPI SCell[1] WB RI1 Rate,LTE KPI SCell[1] WB RI2 Rate,LTE KPI SCell[1] WB RI3 Rate,LTE KPI SCell[1] WB RI4 Rate,LTE KPI SCell[1] Tx Mode,LTE KPI SCell[1] M(Tx) x N(Rx) Ant ,LTE KPI SCell[1] DL MCS0,LTE KPI SCell[1] DL Modulation0,LTE KPI SCell[1] PDSCH PRB Number(Avg),LTE KPI SCell[1] PDSCH PRB Number(Including 0),LTE KPI SCell[1] PDSCH PRB Number TB0(Including 0),LTE KPI SCell[1] PDSCH PRB Number TB1(Including 0),LTE KPI SCell[1] PDSCH BLER[%],LTE KPI SCell[1] PDSCH Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
2022-08-11 17:09:02.000000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.001,,0.001,,,,0.01,,,,0.001,,0.001,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:02.500000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
2022-08-11 17:09:02.600000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Band 12,5090,23090,5,5,-101.56,-6.00,-81.59,,,10.00,4.20,6.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:02.676753,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:02.700000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Band 12,5090,23090,5,5,-103.09,-7.81,-81.28,,,13.67,4.35,7.00,,,,,,TM2,,,,8.33,,,QPSK,,5.33,,,,,,,,,,,,5.33,,,,,,,,,,,,,,NonCA,NonCA,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:02.800000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Band 12,5090,23090,5,5,-104.42,-7.98,-82.42,,,8.00,4.67,7.00,,,,,,TM2,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,,NonCA,,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:02.900000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Band 12,5090,23090,5,5,-105.81,-8.31,-83.53,23.00,,7.00,3.50,6.67,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:03.000000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,,98,Band 12,5090,23090,5,5,-106.41,-10.13,-82.31,,,7.00,2.80,6.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,,NonCA,,Band 12,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0,0,0.000
2022-08-11 17:09:03.100000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Band 12,5090,23090,5,5,-106.94,-8.56,-84.38,,11.03,8.00,2.90,6.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:03.200000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Band 12,5090,23090,5,5,-107.94,-10.43,-83.54,,,8.00,2.34,6.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,,NonCA,,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:03.300000,-103.416496,40.365742,,,,,,,,,,,8,21.000,285.000,27.000,10,70.000,24.000,25.000,18,18.000,149.000,38.000,23,47.000,79.000,39.000,,,,,,98,Band 12,5090,23090,5,5,-108.63,-11.13,-83.50,,,8.00,0.90,6.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:03.400000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Band 12,5090,23090,5,5,-108.91,-13.02,-81.58,,,9.00,-0.30,5.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,,NonCA,,Band 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:09:03.500000,-103.416496,40.365742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0,0,0.000
