1660167184667
PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=38 time=70.1 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=38 time=54.4 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=38 time=58.1 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=38 time=57.4 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=38 time=56.8 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=38 time=55.8 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=38 time=50.4 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=38 time=44.1 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=38 time=53.9 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=38 time=48.5 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=38 time=57.5 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=38 time=51.8 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=38 time=56.3 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=38 time=50.4 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=38 time=54.7 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=38 time=49.0 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=38 time=54.3 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=38 time=63.4 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=38 time=52.4 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=38 time=55.6 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=38 time=44.9 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=38 time=50.1 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=38 time=49.1 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=38 time=49.9 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=38 time=58.5 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=38 time=52.5 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=38 time=51.5 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=38 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=38 time=48.7 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=38 time=59.6 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=38 time=48.0 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=38 time=58.4 ms
46 bytes from 54.176.53.206: icmp_seq=33 ttl=38 time=55.5 ms
46 bytes from 54.176.53.206: icmp_seq=34 ttl=38 time=56.1 ms
46 bytes from 54.176.53.206: icmp_seq=35 ttl=38 time=50.8 ms
46 bytes from 54.176.53.206: icmp_seq=36 ttl=38 time=55.1 ms
46 bytes from 54.176.53.206: icmp_seq=37 ttl=38 time=50.7 ms
46 bytes from 54.176.53.206: icmp_seq=38 ttl=38 time=55.6 ms
46 bytes from 54.176.53.206: icmp_seq=39 ttl=38 time=54.0 ms
46 bytes from 54.176.53.206: icmp_seq=40 ttl=38 time=54.0 ms
46 bytes from 54.176.53.206: icmp_seq=41 ttl=38 time=53.1 ms
46 bytes from 54.176.53.206: icmp_seq=42 ttl=38 time=52.3 ms
46 bytes from 54.176.53.206: icmp_seq=43 ttl=38 time=51.5 ms
46 bytes from 54.176.53.206: icmp_seq=44 ttl=38 time=50.4 ms
46 bytes from 54.176.53.206: icmp_seq=45 ttl=38 time=48.6 ms
46 bytes from 54.176.53.206: icmp_seq=46 ttl=38 time=48.6 ms
46 bytes from 54.176.53.206: icmp_seq=47 ttl=38 time=46.9 ms
46 bytes from 54.176.53.206: icmp_seq=48 ttl=38 time=56.5 ms
46 bytes from 54.176.53.206: icmp_seq=49 ttl=38 time=55.4 ms
46 bytes from 54.176.53.206: icmp_seq=50 ttl=38 time=59.8 ms
46 bytes from 54.176.53.206: icmp_seq=51 ttl=38 time=43.9 ms
46 bytes from 54.176.53.206: icmp_seq=52 ttl=38 time=43.6 ms
46 bytes from 54.176.53.206: icmp_seq=53 ttl=38 time=51.9 ms
46 bytes from 54.176.53.206: icmp_seq=54 ttl=38 time=51.6 ms
46 bytes from 54.176.53.206: icmp_seq=55 ttl=38 time=50.9 ms
46 bytes from 54.176.53.206: icmp_seq=56 ttl=38 time=54.8 ms
46 bytes from 54.176.53.206: icmp_seq=57 ttl=38 time=50.3 ms
46 bytes from 54.176.53.206: icmp_seq=58 ttl=38 time=49.9 ms
46 bytes from 54.176.53.206: icmp_seq=59 ttl=38 time=49.2 ms
46 bytes from 54.176.53.206: icmp_seq=60 ttl=38 time=58.3 ms
46 bytes from 54.176.53.206: icmp_seq=61 ttl=38 time=52.0 ms
46 bytes from 54.176.53.206: icmp_seq=62 ttl=38 time=56.1 ms
46 bytes from 54.176.53.206: icmp_seq=63 ttl=38 time=55.5 ms
46 bytes from 54.176.53.206: icmp_seq=64 ttl=38 time=49.5 ms
46 bytes from 54.176.53.206: icmp_seq=65 ttl=38 time=54.0 ms
46 bytes from 54.176.53.206: icmp_seq=66 ttl=38 time=53.3 ms
46 bytes from 54.176.53.206: icmp_seq=67 ttl=38 time=57.4 ms
46 bytes from 54.176.53.206: icmp_seq=68 ttl=38 time=56.8 ms
46 bytes from 54.176.53.206: icmp_seq=69 ttl=38 time=55.7 ms
46 bytes from 54.176.53.206: icmp_seq=70 ttl=38 time=49.7 ms
46 bytes from 54.176.53.206: icmp_seq=71 ttl=38 time=55.4 ms
46 bytes from 54.176.53.206: icmp_seq=72 ttl=38 time=59.0 ms
46 bytes from 54.176.53.206: icmp_seq=73 ttl=38 time=49.6 ms
46 bytes from 54.176.53.206: icmp_seq=74 ttl=38 time=53.5 ms
46 bytes from 54.176.53.206: icmp_seq=75 ttl=38 time=57.8 ms
46 bytes from 54.176.53.206: icmp_seq=76 ttl=38 time=51.5 ms
46 bytes from 54.176.53.206: icmp_seq=77 ttl=38 time=51.7 ms
46 bytes from 54.176.53.206: icmp_seq=78 ttl=38 time=50.5 ms
46 bytes from 54.176.53.206: icmp_seq=79 ttl=38 time=55.1 ms
46 bytes from 54.176.53.206: icmp_seq=80 ttl=38 time=48.8 ms
46 bytes from 54.176.53.206: icmp_seq=81 ttl=38 time=49.1 ms
46 bytes from 54.176.53.206: icmp_seq=82 ttl=38 time=53.4 ms
46 bytes from 54.176.53.206: icmp_seq=83 ttl=38 time=48.6 ms
46 bytes from 54.176.53.206: icmp_seq=84 ttl=38 time=47.8 ms
46 bytes from 54.176.53.206: icmp_seq=85 ttl=38 time=52.7 ms
46 bytes from 54.176.53.206: icmp_seq=86 ttl=38 time=53.1 ms
46 bytes from 54.176.53.206: icmp_seq=87 ttl=38 time=51.7 ms
46 bytes from 54.176.53.206: icmp_seq=88 ttl=38 time=53.1 ms
46 bytes from 54.176.53.206: icmp_seq=89 ttl=38 time=51.6 ms
46 bytes from 54.176.53.206: icmp_seq=90 ttl=38 time=51.0 ms
46 bytes from 54.176.53.206: icmp_seq=91 ttl=38 time=45.5 ms
46 bytes from 54.176.53.206: icmp_seq=92 ttl=38 time=49.0 ms
46 bytes from 54.176.53.206: icmp_seq=93 ttl=38 time=49.7 ms
46 bytes from 54.176.53.206: icmp_seq=94 ttl=38 time=49.5 ms
46 bytes from 54.176.53.206: icmp_seq=95 ttl=38 time=57.6 ms
46 bytes from 54.176.53.206: icmp_seq=96 ttl=38 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=97 ttl=38 time=49.8 ms
46 bytes from 54.176.53.206: icmp_seq=98 ttl=38 time=50.8 ms
46 bytes from 54.176.53.206: icmp_seq=99 ttl=38 time=51.7 ms
46 bytes from 54.176.53.206: icmp_seq=100 ttl=38 time=50.9 ms

--- 54.176.53.206 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 19870ms
rtt min/avg/max/mdev = 43.664/52.725/70.162/4.142 ms
