,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
0,2022-08-12 18:13:23.000000,-91.191437,41.655361,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.04,,,0.017,,0.017,,,,0.05,0.04,,,0.017,,0.017,,,,,,,,,,,,
1,2022-08-12 18:13:23.300000,-91.191437,41.655361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,Band 25,8115.0,26115.0,15.0,-96.5,-8.54,-70.38,,,,13.73,,,,,,,,,7.25,7.25,,16QAM,16QAM,,6.75,,,,,,0.0,,,,,,6.75,,,,0.0,,,,,,,,,,NonCA,,Band 25,0.018,0.018,1108.0,1117.0
2,2022-08-12 18:13:23.342778,-91.191437,41.655361,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-12 18:13:23.400000,-91.191437,41.655361,,,,,,,,,,,1.0,15.0,321.0,20.0,10.0,66.0,109.0,22.0,23.0,34.0,120.0,37.0,24.0,15.0,44.0,28.0,,,,187.0,Band 25,8115.0,26115.0,15.0,-100.41,-8.52,-73.86,,,,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 25,,,,
4,2022-08-12 18:13:23.500000,-91.191437,41.655361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,Band 25,8115.0,26115.0,15.0,-102.25,-7.69,-76.13,,,-2.0,10.45,,2.0,0.0,100.0,0.0,0.0,TM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 25,,,,
5,2022-08-12 18:13:23.600000,-91.191437,41.655361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,Band 25,8115.0,26115.0,15.0,-99.56,-3.25,-76.5,,,-2.0,15.3,8.0,,,,,,TM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 25,,,,
6,2022-08-12 18:13:23.700000,-91.191437,41.655361,-91.19144,41.65536,18:13:23,117.0,111.0,111.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,187.0,Band 25,8115.0,26115.0,15.0,-97.25,-7.25,-70.27,,,3.5,10.75,12.0,2.0,0.0,100.0,0.0,0.0,TM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 25,,,,
7,2022-08-12 18:13:23.800000,-91.191406,41.65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,Band 25,8115.0,26115.0,15.0,-99.01,-8.37,-72.48,,,-2.0,13.06,,2.0,0.0,100.0,0.0,0.0,TM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 25,0.0,0.0,0.0,0.0
8,2022-08-12 18:13:23.900000,-91.191368,41.655334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,Band 25,8115.0,26115.0,15.0,-100.11,-10.69,-71.36,,,-3.0,14.55,12.5,,,,,,TM3,,0.0,0.0,21.2,QPSK,QPSK,QPSK,1.0,3.73,,,,,0.0,,,,,,1.0,3.73,,,0.0,,,,,,0.0,,0.0,,NonCA,NonCA,Band 25,,,,
9,2022-08-12 18:13:24.000000,-91.191338,41.655323,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,187.0,Band 25,8115.0,26115.0,15.0,-100.75,-7.88,-75.94,,,,14.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,NonCA,,Band 25,,,,
