,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,LTE KPI SCell[1] CA Rate(Same PCI),LTE KPI SCell[1] Serving PCI,LTE KPI SCell[1] Serving Band,LTE KPI SCell[1] Serving EARFCN(DL),LTE KPI SCell[1] Serving EARFCN(UL),LTE KPI SCell[1] Serving BandWidth(DL),LTE KPI SCell[1] Serving RSRP[dBm],LTE KPI SCell[1] Serving RSRQ[dB],LTE KPI SCell[1] Serving RSSI[dBm],LTE KPI SCell[1] SINR[dB],LTE KPI SCell[2] Serving PCI,LTE KPI SCell[2] Serving Band,LTE KPI SCell[2] Serving EARFCN(DL),LTE KPI SCell[2] Serving EARFCN(UL),LTE KPI SCell[2] Serving BandWidth(DL),LTE KPI SCell[2] Serving BandWidth(UL),LTE KPI SCell[2] Serving RSRP[dBm],LTE KPI SCell[2] Serving RSRQ[dB],LTE KPI SCell[2] Serving RSSI[dBm],LTE KPI SCell[2] SINR[dB],LTE KPI SCell[2] WB CQI CW0,LTE KPI SCell[2] WB CQI CW1,LTE KPI SCell[2] WB RI,LTE KPI SCell[2] WB RI1 Rate,LTE KPI SCell[2] WB RI2 Rate,LTE KPI SCell[2] WB RI3 Rate,LTE KPI SCell[2] WB RI4 Rate,LTE KPI SCell[2] Tx Mode,LTE KPI SCell[2] WB PMI 0,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
0,2022-08-10 23:09:43.000000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,,,,0.24,0.24,0.05,2.92,,,0.041,0.12,0.032,0.094,,,0.24,2.92,,,0.041,0.12,0.032,0.094,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022-08-10 23:09:43.300000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Band 13,5230.0,23230.0,10.0,10.0,-114.26,-10.22,-87.04,23.0,,22.56,5.26,8.0,0.0,,,,,,TM4,2.0,,6.5,13.0,4.78,16QAM,16QAM,QPSK,7.0,14.77,,,,,33.33,,,,,,7.0,14.77,,,33.33,,,,,,,,,,3840.0,NonCA,NonCA,Band 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-08-10 23:09:43.323261,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-10 23:09:43.400000,-105.25946,40.857899,,,,,,,,,,,3.0,39.0,199.0,24.0,4.0,79.0,356.0,29.0,9.0,43.0,309.0,26.0,26.0,45.0,57.0,21.0,,,,,,0.0,Band 13,5230.0,23230.0,10.0,10.0,-114.38,-11.19,-86.08,,,22.86,6.5,9.0,0.0,1.0,100.0,0.0,0.0,0.0,TM4,2.0,,,,1.29,,,QPSK,,5.39,,,,,,16.0,,,,,,5.39,,,,16.0,,,,,,,,,3840.0,NonCA,NonCA,Band 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022-08-10 23:09:43.500000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Band 13,5230.0,23230.0,10.0,10.0,-115.54,-10.38,-87.67,23.0,,23.0,5.42,9.0,0.0,,,,,,TM4,0.0,,,,0.97,,,QPSK,,4.29,,,,,,11.25,,,,,,4.29,,,,11.25,,,,,,,,,3840.0,NonCA,NonCA,Band 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.061,1456.0,3826.0
5,2022-08-10 23:09:43.600000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Band 13,5230.0,23230.0,10.0,10.0,-117.74,-11.43,-88.44,,,23.0,6.14,7.0,5.0,2.0,50.0,50.0,0.0,0.0,TM4,0.0,,6.67,,1.79,16QAM,,QPSK,3.75,9.39,,,,,0.0,5.13,,,,,3.75,9.49,,,0.0,5.13,,,,,,,,,3840.0,NonCA,NonCA,Band 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022-08-10 23:09:43.700000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Band 13,5230.0,23230.0,10.0,10.0,-114.79,-10.34,-86.65,,,22.45,8.63,9.5,0.0,,,,,,TM4,0.0,,,,8.2,,,16QAM,,3.67,,,,,,25.0,,,,,,3.67,,,,25.0,,,,,0.024,,0.023,,3840.0,NonCA,NonCA,Band 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022-08-10 23:09:43.800000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Band 13,5230.0,23230.0,10.0,10.0,-114.68,-10.04,-87.52,,,20.0,7.95,9.0,0.0,,,,,,TM4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840.0,NonCA,,Band 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022-08-10 23:09:43.900000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Band 13,5230.0,23230.0,10.0,10.0,-115.27,-10.95,-87.22,23.0,,20.0,8.69,,,1.0,100.0,0.0,0.0,0.0,TM4,,,6.17,5.0,,16QAM,QPSK,,4.5,,,,,,0.0,,,,,,4.5,,,,0.0,,,,,,,,,,3840.0,NonCA,,Band 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-08-10 23:09:44.000000,-105.25946,40.857899,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,0.0,Band 13,5230.0,23230.0,10.0,10.0,-115.46,-10.08,-88.4,,22.53,21.0,8.13,9.5,0.0,,,,,,TM4,2.0,,,,,,,,,,0.23,0.23,0.0,,,,0.025,,0.025,,,,0.23,,,,0.025,,0.025,,0.0,,0.0,,3840.0,NonCA,,Band 13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.024,731.0,1519.0
