PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=1 ttl=34 time=390 ms
46 bytes from 3.19.94.93: icmp_seq=2 ttl=34 time=181 ms
46 bytes from 3.19.94.93: icmp_seq=3 ttl=34 time=71.0 ms
46 bytes from 3.19.94.93: icmp_seq=4 ttl=34 time=59.3 ms
46 bytes from 3.19.94.93: icmp_seq=5 ttl=34 time=64.7 ms
46 bytes from 3.19.94.93: icmp_seq=6 ttl=34 time=57.7 ms
46 bytes from 3.19.94.93: icmp_seq=7 ttl=34 time=79.6 ms
46 bytes from 3.19.94.93: icmp_seq=8 ttl=34 time=83.5 ms
46 bytes from 3.19.94.93: icmp_seq=9 ttl=34 time=83.6 ms
46 bytes from 3.19.94.93: icmp_seq=10 ttl=34 time=183 ms
46 bytes from 3.19.94.93: icmp_seq=11 ttl=34 time=90.6 ms
46 bytes from 3.19.94.93: icmp_seq=12 ttl=34 time=81.7 ms
46 bytes from 3.19.94.93: icmp_seq=13 ttl=34 time=99.6 ms
46 bytes from 3.19.94.93: icmp_seq=14 ttl=34 time=100 ms
46 bytes from 3.19.94.93: icmp_seq=15 ttl=34 time=87.5 ms
46 bytes from 3.19.94.93: icmp_seq=16 ttl=34 time=90.6 ms
46 bytes from 3.19.94.93: icmp_seq=17 ttl=34 time=74.5 ms
46 bytes from 3.19.94.93: icmp_seq=18 ttl=34 time=115 ms
46 bytes from 3.19.94.93: icmp_seq=19 ttl=34 time=67.5 ms
46 bytes from 3.19.94.93: icmp_seq=20 ttl=34 time=87.7 ms
46 bytes from 3.19.94.93: icmp_seq=21 ttl=34 time=87.6 ms
46 bytes from 3.19.94.93: icmp_seq=22 ttl=34 time=95.8 ms
46 bytes from 3.19.94.93: icmp_seq=23 ttl=34 time=146 ms
46 bytes from 3.19.94.93: icmp_seq=24 ttl=34 time=69.1 ms
46 bytes from 3.19.94.93: icmp_seq=25 ttl=34 time=101 ms
46 bytes from 3.19.94.93: icmp_seq=26 ttl=34 time=84.7 ms
46 bytes from 3.19.94.93: icmp_seq=27 ttl=34 time=62.2 ms
46 bytes from 3.19.94.93: icmp_seq=28 ttl=34 time=99.7 ms
46 bytes from 3.19.94.93: icmp_seq=29 ttl=34 time=132 ms
46 bytes from 3.19.94.93: icmp_seq=30 ttl=34 time=82.5 ms
46 bytes from 3.19.94.93: icmp_seq=32 ttl=34 time=94.0 ms
46 bytes from 3.19.94.93: icmp_seq=33 ttl=34 time=84.6 ms
46 bytes from 3.19.94.93: icmp_seq=34 ttl=34 time=88.7 ms
46 bytes from 3.19.94.93: icmp_seq=35 ttl=34 time=100 ms
46 bytes from 3.19.94.93: icmp_seq=36 ttl=34 time=64.4 ms
46 bytes from 3.19.94.93: icmp_seq=37 ttl=34 time=75.6 ms
46 bytes from 3.19.94.93: icmp_seq=38 ttl=34 time=66.5 ms
46 bytes from 3.19.94.93: icmp_seq=39 ttl=34 time=73.5 ms
46 bytes from 3.19.94.93: icmp_seq=40 ttl=34 time=89.4 ms
46 bytes from 3.19.94.93: icmp_seq=41 ttl=34 time=66.4 ms
46 bytes from 3.19.94.93: icmp_seq=42 ttl=34 time=189 ms
46 bytes from 3.19.94.93: icmp_seq=43 ttl=34 time=61.6 ms
46 bytes from 3.19.94.93: icmp_seq=44 ttl=34 time=66.6 ms
46 bytes from 3.19.94.93: icmp_seq=45 ttl=34 time=56.5 ms
46 bytes from 3.19.94.93: icmp_seq=46 ttl=34 time=57.3 ms
46 bytes from 3.19.94.93: icmp_seq=47 ttl=34 time=64.4 ms
46 bytes from 3.19.94.93: icmp_seq=48 ttl=34 time=53.5 ms
46 bytes from 3.19.94.93: icmp_seq=49 ttl=34 time=73.7 ms
46 bytes from 3.19.94.93: icmp_seq=50 ttl=34 time=53.6 ms
46 bytes from 3.19.94.93: icmp_seq=51 ttl=34 time=90.6 ms
