1660011567569
PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=44 time=59.1 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=44 time=64.5 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=44 time=61.8 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=44 time=49.3 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=44 time=46.4 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=44 time=53.5 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=44 time=54.4 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=44 time=54.5 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=44 time=53.4 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=44 time=52.4 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=44 time=52.3 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=44 time=52.3 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=44 time=49.3 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=44 time=50.2 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=44 time=48.2 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=44 time=47.4 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=44 time=46.3 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=44 time=48.5 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=44 time=55.6 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=44 time=54.9 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=44 time=52.2 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=44 time=55.3 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=44 time=54.5 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=44 time=55.2 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=44 time=54.3 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=44 time=94.4 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=44 time=58.1 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=44 time=53.5 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=44 time=55.3 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=44 time=52.4 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=44 time=65.5 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=44 time=55.5 ms
