,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
0,2022-08-14 22:31:11.000000,-78.887527,42.937119,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,0.007,,0.004,,,,0.43,,,,0.007,,0.004,,,,,,,,,,,,
1,2022-08-14 22:31:11.400000,-78.887527,42.937119,-78.88753,42.93712,23:31:11,70.0,55.0,55.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,378.0,Band 66,66486.0,132022.0,10.0,-95.31,-9.68,-66.62,,,-9.0,15.54,8.0,7.0,,,,,,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,0.0,0.0,0.0,0.0,
2,2022-08-14 22:31:11.408624,-78.887527,42.937119,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-14 22:31:11.500000,-78.887489,42.937126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,Band 66,66486.0,132022.0,10.0,-96.16,-10.8,-67.59,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,,0.0
4,2022-08-14 22:31:11.600000,-78.887459,42.937134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,Band 66,66486.0,132022.0,10.0,-93.82,-10.05,-65.53,,,-10.0,17.55,,,2.0,0.0,100.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,,
5,2022-08-14 22:31:11.700000,-78.887421,42.937141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,Band 66,66486.0,132022.0,10.0,-96.15,-9.57,-68.37,,,-12.0,14.33,8.0,8.0,,,,,,TM4,13.0,,,,26.0,,,64QAM,,3.0,,,,,,,,,,,,3.0,,,,,,,,,0.0,,0.0,,NonCA,NonCA,Band 66,,,,,
6,2022-08-14 22:31:11.800000,-78.88739,42.937149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,Band 66,66486.0,132022.0,10.0,-95.36,-10.61,-67.09,,,2.88,14.36,8.0,8.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,33.33,,,,,,,,,,33.33,,,,,,,,,NonCA,,Band 66,,,,,
7,2022-08-14 22:31:11.900000,-78.887352,42.937157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,Band 66,66486.0,132022.0,10.0,-95.3,-9.4,-68.02,8.5,,-11.0,12.6,,,2.0,0.0,100.0,0.0,0.0,TM4,,,0.0,0.0,,QPSK,QPSK,,1.0,,,,,,0.0,,,,,,1.0,,,,0.0,,,,,,0.0,,0.0,,NonCA,,Band 66,0.0,0.0,0.0,0.0,
8,2022-08-14 22:31:12.000000,-78.887314,42.937168,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,378.0,Band 66,66486.0,132022.0,10.0,-93.45,-10.1,-64.65,,-9.3,-10.0,15.78,7.0,8.0,,,,,,TM4,13.0,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,NonCA,,Band 66,,,,,0.0
9,2022-08-14 22:31:12.100000,-78.887283,42.937176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,Band 66,66486.0,132022.0,10.0,-90.9,-11.25,-62.02,,,,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,,
