,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
0,2022-08-15 15:26:47.000000,-73.305107,42.29813,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022-08-15 15:26:47.500000,-73.305107,42.29813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-101.01,-13.95,-70.08,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,0.0
2,2022-08-15 15:26:47.532707,-73.305107,42.29813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-15 15:26:47.600000,-73.305107,42.29813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-97.44,-12.94,-67.51,,,0.0,13.18,7.0,6.0,,,,,,TM4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
4,2022-08-15 15:26:47.700000,-73.305107,42.29813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-95.05,-12.16,-65.89,,,-3.0,12.93,,,1.0,100.0,0.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
5,2022-08-15 15:26:47.800000,-73.305107,42.29813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-96.51,-11.24,-68.28,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,NonCA,,Band 13,0.0,0.0,0.0,0.0,
6,2022-08-15 15:26:47.900000,-73.305107,42.29813,-73.30511,42.29813,16:26:47,107.0,99.0,99.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-98.81,-13.93,-67.88,,,-3.0,8.96,10.0,0.0,,,,,,TM4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
7,2022-08-15 15:26:48.000000,-73.305077,42.298122,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,336.0,Band 13,5230.0,23230.0,10.0,10.0,-94.8,-11.94,-65.84,,,,12.85,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.003,,0.003,,,,0.04,,,,0.003,,0.003,0.0,,0.0,,,NonCA,,Band 13,,,,,0.0
8,2022-08-15 15:26:48.100000,-73.305046,42.298115,,,,,,,,,,,10.0,31.0,298.0,24.0,18.0,64.0,200.0,31.0,23.0,61.0,316.0,21.0,24.0,53.0,139.0,36.0,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-94.59,-11.17,-66.41,,,-5.0,12.92,,,1.0,100.0,0.0,0.0,0.0,TM4,,,,,18.0,,,16QAM,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,NonCA,NonCA,Band 13,,,,,
9,2022-08-15 15:26:48.200000,-73.305008,42.298111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-96.72,-12.0,-67.69,,,2.5,10.04,11.0,0.0,,,,,,TM4,14.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,NonCA,,Band 13,,,,,
10,2022-08-15 15:26:48.300000,-73.304977,42.298103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-98.36,-12.71,-68.65,13.75,,3.0,8.57,10.0,0.0,1.0,100.0,0.0,0.0,0.0,TM4,14.0,,0.0,,,QPSK,,,1.0,,,,,,0.0,,,,,,1.0,,,,0.0,,,,,,0.0,,0.0,,,NonCA,,Band 13,0.0,0.0,0.0,0.0,
11,2022-08-15 15:26:48.400000,-73.304947,42.298096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-99.89,-13.24,-69.66,,-0.52,-3.0,8.19,,,1.0,100.0,0.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
12,2022-08-15 15:26:48.500000,-73.304916,42.298088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-100.1,-13.02,-70.09,,,-1.0,6.77,10.0,0.0,,,,,,TM4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,NonCA,,Band 13,,,,,0.0
13,2022-08-15 15:26:48.600000,-73.304886,42.29808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-99.01,-11.31,-70.56,,,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
14,2022-08-15 15:26:48.700000,-73.304848,42.298077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-98.96,-11.59,-70.32,,,8.33,7.84,,,1.0,100.0,0.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
15,2022-08-15 15:26:48.800000,-73.304817,42.298069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-99.71,-13.51,-69.2,,,-1.0,6.46,10.0,0.0,,,,,,TM4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,NonCA,,Band 13,0.0,0.0,0.0,0.0,
16,2022-08-15 15:26:48.900000,-73.304787,42.298061,-73.30479,42.29806,16:26:48,107.0,99.0,99.0,27.48,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-101.4,-12.74,-71.28,,,,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
17,2022-08-15 15:26:49.000000,-73.304756,42.298054,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,336.0,Band 13,5230.0,23230.0,10.0,10.0,-100.65,-12.47,-71.2,,,0.0,7.98,,,1.0,100.0,0.0,0.0,0.0,TM4,,,,,,,,,,,0.0,0.0,0.0,0.02,,,0.0,0.004,0.0,0.002,,,0.0,0.02,,,0.0,0.004,0.0,0.002,0.0,,0.0,,,NonCA,,Band 13,,,,,0.0
18,2022-08-15 15:26:49.100000,-73.304726,42.298046,,,,,,,,,,,10.0,31.0,298.0,24.0,18.0,64.0,200.0,27.0,23.0,61.0,316.0,21.0,24.0,53.0,139.0,33.0,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-99.82,-13.05,-69.74,,,,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
19,2022-08-15 15:26:49.200000,-73.304688,42.298038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-97.86,-12.26,-68.54,,,8.8,5.38,9.5,0.0,1.0,100.0,0.0,0.0,0.0,TM4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,NonCA,,Band 13,,,,,
20,2022-08-15 15:26:49.300000,-73.304657,42.298031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-99.24,-12.04,-69.8,,,6.0,6.01,9.0,0.0,1.0,100.0,0.0,0.0,0.0,TM4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,NonCA,,Band 13,0.0,0.0,0.0,0.0,
21,2022-08-15 15:26:49.400000,-73.304626,42.298027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-98.39,-13.07,-68.13,,,-1.0,6.47,,,,,,,,,,,,,17.67,,,16QAM,,2.57,,,,,,,,,,,,2.57,,,,,,,,,,,,,,NonCA,NonCA,Band 13,,,,,
22,2022-08-15 15:26:49.500000,-73.304596,42.298019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-98.64,-13.3,-68.36,,,-1.0,4.04,9.0,0.0,,,,,,TM4,14.0,,0.0,,,QPSK,,,1.0,,,,,,0.0,25.0,,,,,1.0,,,,0.0,25.0,,,,,0.0,,0.0,,,NonCA,,Band 13,,,,,0.0
23,2022-08-15 15:26:49.600000,-73.304565,42.298012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,Band 13,5230.0,23230.0,10.0,10.0,-99.4,-13.92,-68.51,14.0,,,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 13,,,,,
