,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
0,2022-08-12 16:52:10.981133,-93.190323,41.694469,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022-08-12 16:52:11.000000,-93.190323,41.694469,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,4x4,,,,,,,,,1.49,1.49,1.07,0.41,,,1.346,0.059,1.226,0.05,,,1.49,0.41,,,1.346,0.059,1.226,0.05,,,,,,,,,,,
2,2022-08-12 16:52:11.100000,-93.190323,41.694469,-93.19032,41.69447,16:52:10,117.0,135.0,135.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,320.0,Band 66,66636.0,132172.0,20.0,-101.41,-10.47,-68.94,,,8.0,21.1,12.0,11.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 66,0.0,0.0,0.0,0.0
3,2022-08-12 16:52:11.200000,-93.190285,41.694454,,,,,,,,,,,8.0,14.0,295.0,25.0,10.0,71.0,342.0,30.0,18.0,26.0,159.0,41.0,23.0,61.0,77.0,34.0,,,,320.0,Band 66,66636.0,132172.0,20.0,-105.21,-9.54,-74.83,,,17.07,20.13,11.25,10.0,2.0,0.0,100.0,0.0,0.0,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
4,2022-08-12 16:52:11.300000,-93.190239,41.694439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,Band 66,66636.0,132172.0,20.0,-103.76,-10.35,-73.39,,11.2,14.68,19.43,13.0,10.0,2.0,0.0,100.0,0.0,0.0,TM4,3.0,,15.0,12.5,20.7,256QAM,64QAM,256QAM,10.0,6.27,,,,,25.0,12.5,,,,,10.0,6.27,,,25.0,12.5,,,,,,,,,NonCA,NonCA,Band 66,,,,
5,2022-08-12 16:52:11.400000,-93.190201,41.69442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,Band 66,66636.0,132172.0,20.0,-101.77,-11.44,-69.94,,,12.19,18.52,12.8,11.4,2.0,0.0,100.0,0.0,0.0,TM4,3.0,,,,21.11,,,256QAM,,3.89,,,,,,0.0,,,,,,3.89,,,,0.0,,,,,0.279,,0.278,,NonCA,NonCA,Band 66,,,,
6,2022-08-12 16:52:11.500000,-93.190163,41.694405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,Band 66,66636.0,132172.0,20.0,-101.51,-12.22,-69.24,,,8.22,17.68,13.0,11.0,2.0,0.0,100.0,0.0,0.0,TM4,3.0,,13.76,12.82,21.5,256QAM,64QAM,256QAM,12.0,3.33,,,,,5.88,6.67,,,,,12.0,3.33,,,5.88,6.67,,,,,,,,,NonCA,NonCA,Band 66,,,,
7,2022-08-12 16:52:11.600000,-93.190125,41.694389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,Band 66,66636.0,132172.0,20.0,-100.72,-12.27,-68.21,,,-2.75,18.08,12.0,11.0,2.0,0.0,100.0,0.0,0.0,TM4,3.0,,14.11,15.0,,256QAM,64QAM,,11.64,,,,,,11.76,,,,,,11.64,,,,11.76,,,,,,1.159,,1.157,,NonCA,,Band 66,0.721,0.082,45055.0,5099.0
8,2022-08-12 16:52:11.700000,-93.190079,41.694374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,Band 66,66636.0,132172.0,20.0,-102.8,-11.71,-69.85,,,-5.0,16.4,12.0,12.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
9,2022-08-12 16:52:11.800000,-93.190041,41.694359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,Band 66,66636.0,132172.0,20.0,-107.48,-13.69,-71.69,,,-3.0,12.8,10.0,10.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
