,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.064838,-116.421387,,1660011121.5
1,,,,,,,,,,,,,,,,,,,,,,,,,,,35.064957,-116.421204,0.002,1660011122.2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06501,-116.421127,,1660011122.5
3,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065044,-116.421074,0.028,1660011122.7
4,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065079,-116.421021,,1660011122.9
5,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065128,-116.420944,0.001,1660011123.2
6,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065182,-116.42086,,1660011123.5
7,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065216,-116.420807,0.029,1660011123.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06525,-116.420753,,1660011123.9
9,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0653,-116.420677,0.002,1660011124.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06535,-116.420601,,1660011124.5
11,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065384,-116.420547,0.025,1660011124.7
12,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065422,-116.420494,,1660011124.9
13,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065475,-116.42041,0.004,1660011125.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065529,-116.420326,,1660011125.5
15,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065563,-116.420273,0.025,1660011125.7
16,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065598,-116.420219,,1660011125.9
17,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065647,-116.420143,0.001,1660011126.2
18,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065701,-116.420059,,1660011126.5
19,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065735,-116.420006,0.001,1660011126.7
20,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065773,-116.419952,,1660011126.9
21,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065826,-116.419876,0.001,1660011127.2
22,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06588,-116.419792,,1660011127.5
23,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065914,-116.419739,0.025,1660011127.7
24,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065948,-116.419685,,1660011127.9
25,,,,,,,,,,,,,,,,,,,,,,,,,,,35.065998,-116.419609,0.028,1660011128.2
26,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066051,-116.419533,,1660011128.5
27,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066086,-116.419479,0.0,1660011128.7
28,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066124,-116.419426,,1660011128.9
29,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066177,-116.419342,0.001,1660011129.2
30,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066231,-116.419258,,1660011129.5
31,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066265,-116.419205,0.029,1660011129.7
32,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066299,-116.419151,,1660011129.9
33,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066349,-116.419075,0.002,1660011130.2
34,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066399,-116.418999,,1660011130.5
35,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066433,-116.418945,0.025,1660011130.7
36,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066467,-116.418892,,1660011130.9
37,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066517,-116.418816,0.029,1660011131.2
38,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06657,-116.418732,,1660011131.5
39,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066605,-116.418678,0.0,1660011131.7
40,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066643,-116.418625,,1660011131.9
41,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066696,-116.418541,0.005,1660011132.2
42,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06675,-116.418457,,1660011132.5
43,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066784,-116.418404,1.943,1660011132.7
44,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066818,-116.41835,,1660011132.9
45,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066887,-116.418251,2.767,1660011133.3
46,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066921,-116.418198,,1660011133.5
47,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066956,-116.418144,5.162,1660011133.7
48,,,,,,,,,,,,,,,,,,,,,,,,,,,35.066994,-116.418091,,1660011133.9
49,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067047,-116.418015,5.868,1660011134.2
50,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067101,-116.417931,,1660011134.5
51,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067135,-116.417877,2.912,1660011134.7
52,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067169,-116.417824,,1660011134.9
53,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067234,-116.417717,0.411,1660011135.3
54,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067268,-116.417664,,1660011135.5
55,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067307,-116.41761,1.607,1660011135.7
56,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067341,-116.417557,,1660011135.9
57,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067398,-116.417473,1.233,1660011136.2
58,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067451,-116.417389,,1660011136.5
59,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067486,-116.417336,1.121,1660011136.7
60,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067524,-116.417282,,1660011136.9
61,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067596,-116.417175,0.596,1660011137.3
62,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067631,-116.417122,,1660011137.5
63,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067631,-116.417122,0.457,1660011137.7
64,,,,,,,,,,,,,,,,,,,,,,,,,,,35.067631,-116.417122,,1660011137.9
