,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,0.0,,,,,,,,,,36.097408,-115.177101,,,1660084139.0
1,,,,,,,,,,,,,,,,66486.0,431.0,-85.41,,0.0,,,,,36.097408,-115.177101,,,1660084139.5
2,,,,,,,,,,,,,,eventA1,,,,,,,,,,,36.097408,-115.177101,,,1660084139.500974
3,,,,,,,,,,,,,,,,,,,,,,,,,36.097408,-115.177101,,,1660084139.6
4,,,,,,,,,,,,,,,,66486.0,431.0,-84.55,,,,,,,36.097408,-115.177101,0.0,0.0,1660084139.8
5,,,,,,,,,,,,,,,0.015,66486.0,431.0,-85.29,,0.0,,,,,36.097408,-115.177101,,,1660084140.0
6,,,,,,,,,,,,,,,,66486.0,431.0,-85.44,6.0,0.0,,,,,36.097408,-115.177101,,,1660084140.2
7,,,,,,,,,,,,,,,,,,,,,,,,,36.097408,-115.177101,,,1660084140.2
8,,,,,,,,,,,,,,,,,,,,,,,,,36.097408,-115.177109,0.0,0.0,1660084140.3
9,,,,,,,,,,,,,,,,66486.0,431.0,-85.41,,,,,,,36.097408,-115.177116,,,1660084140.4
10,,,,,,,,,,,,,,,,66486.0,431.0,-84.85,,14.29,,,,,36.097408,-115.177116,,,1660084140.5
11,,,,,,,,,,,,,,eventA1,,,,,,,,,,,36.097408,-115.177124,,,1660084140.551166
12,,,,,,,,,,,,,,,,66486.0,431.0,-84.14,5.33,14.29,,,,,36.097408,-115.177124,,,1660084140.6
13,,,,,,,,,,,,,,,,66486.0,431.0,-83.72,,0.0,,,,,36.097408,-115.177132,,,1660084140.7
14,,,,,,,,,,,,,,,,66486.0,431.0,-82.79,4.27,,,,,,36.097408,-115.177139,1303.0,0.021,1660084140.8
15,,,,,,,,,,,,,,,,66486.0,431.0,-82.04,,0.0,,,,,36.097408,-115.177147,,,1660084140.9
16,,,,,,,,,,,,,,,0.031,,,,,,,,,,36.097408,-115.177147,,,1660084141.0
17,,,,,,,,,,,,,,,,66486.0,431.0,-82.64,,11.11,,,,,36.097408,-115.177155,,,1660084141.1
18,,,,,,,,,,,,,,,,,,,,,,,,,36.097408,-115.177162,,,1660084141.2
19,,,,,,,,,,,,,,,,,,,,,,,,,36.097408,-115.17717,1595.0,0.025,1660084141.3
20,,,,,,,,,,,,,,,,66486.0,431.0,-83.72,7.1,,,,,,36.097408,-115.177177,,,1660084141.4
21,,,,,,,,,,,,,,,,66486.0,431.0,-83.96,,0.0,,,,,36.097408,-115.177185,,,1660084141.5
22,,,,,,,,,,,,,,eventA1,,,,,,,,,,,36.097408,-115.177185,,,1660084141.552417
23,,,,,,,,,,,,,,,,66486.0,431.0,-85.28,,,,,,,36.097408,-115.177193,,,1660084141.7
24,,,,,,,,,,,,,,,,,,,,,,,,,36.097408,-115.1772,0.0,0.0,1660084141.8
25,,,,,,,,,,,,,,,,66486.0,431.0,-85.54,,,,,,,36.097408,-115.177208,,,1660084141.9
26,,,,,,,,,,,,,,,0.002,66486.0,431.0,-84.91,,0.0,,,,,36.097408,-115.177216,,,1660084142.0
27,,,,,,,,,,,,,,,,,,,,,,,,,36.097408,-115.177223,,,1660084142.1
