,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,0.014,,,,,,,,,,34.057899,-118.236923,,1659984851.0
1,,,,,,,,,,,,,,,,,,15.0,1125.0,200.0,-68.65,,,,,,34.057899,-118.236923,,1659984851.7
2,,,,,,,,,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,,1659984851.73124
3,,,,,,,,,,,,,,,,5.0,,15.0,1125.0,200.0,-64.09,0.0,,,,,34.057899,-118.236923,,1659984851.8
4,,,,,,,,,,,,,,,,,,15.0,1125.0,200.0,-64.84,,,,,,34.057899,-118.236923,,1659984851.9
5,,,,,,,,,,,,,,,eventB1_NR_r15,,,,,,,,,,,,34.057899,-118.236923,,1659984851.962482
6,,,,,,,,,,,,,,,CA Config Attempt,,,,,,,,,,,,34.057899,-118.236923,,1659984851.965086
7,,,,,,,,,,,,,,,Handover Attempt,,,,,,,,,,,,34.057899,-118.236923,,1659984851.965086
8,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,34.057899,-118.236923,,1659984852.0
9,16.67,7.6,0.581,100.0,2506.95,200.0,-64.17,,,,,,,,,3.45,,15.0,1125.0,200.0,-66.6,0.0,,,,,34.057899,-118.236923,,1659984852.1
10,,,,,,,,,,,,,,,CA Config Success,,,,,,,,,,,,34.057899,-118.236923,,1659984852.137203
11,,,,,,,,,,,,,,,Handover Success,,,,,,,,,,,,34.057899,-118.236923,,1659984852.137203
12,,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,34.057899,-118.236923,,1659984852.138072
13,,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,34.057899,-118.236923,,1659984852.138319
14,,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,34.057899,-118.236923,,1659984852.13841
15,,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,34.057899,-118.236923,,1659984852.138424
16,,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,34.057899,-118.236923,,1659984852.139429
17,,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,34.057899,-118.236923,,1659984852.139429
18,,,,,,,,,,,,,,,PRACH: Msg4,,,,,,,,,,,,34.057899,-118.236923,,1659984852.139429
19,,,,,,,,,,,,,,,PRACH: Msg4[Pass]			,,,,,,,,,,,,34.057899,-118.236923,,1659984852.139429
20,,,,,,,,,,,,,,,Received RAR[True],,,,,,,,,,,,34.057899,-118.236923,,1659984852.139746
21,,,,,,,,,,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,,34.057899,-118.236923,,1659984852.139763
22,,,,,,,,,,,,,,,PRACH: Msg5,,,,,,,,,,,,34.057899,-118.236923,,1659984852.1402
23,,,,,,,,,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,,1659984852.140948
24,,,,,,,,,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,0.0,1659984852.2
25,,,0.0,,,,,,,,,,,,,,,15.0,1125.0,200.0,-66.88,,,,,,34.057899,-118.236923,,1659984852.3
26,,,0.0,100.0,2506.95,200.0,-63.91,,,,,,,,,,,15.0,1125.0,200.0,-66.0,,,,,,34.057899,-118.236923,,1659984852.4
27,,,0.0,100.0,2506.95,200.0,-64.81,,,,,,,,,,,15.0,1125.0,200.0,-66.0,,,,,,34.057899,-118.236923,,1659984852.6
28,0.0,17.0,0.619,,,,,,,,,,,,,,,15.0,1125.0,200.0,-67.88,,,,,,34.057899,-118.236923,0.002,1659984852.7
29,,,,,,,,,,,,,,,eventA1,,,,,,,,,,,,34.057899,-118.236923,,1659984852.79046
30,,,0.0,100.0,2506.95,200.0,-67.73,,,,,,,,,,,15.0,1125.0,200.0,-68.22,,,,,,34.057899,-118.236923,,1659984852.8
31,,,0.0,,,,,,,,,,,,,,,15.0,1125.0,200.0,-67.72,,,,,,34.057899,-118.236923,,1659984852.9
32,,,0.0,100.0,2506.95,200.0,-68.3,,,,,,,,,0.0,0.0,15.0,1125.0,200.0,-66.56,0.0,,,,,34.057899,-118.236923,,1659984853.0
33,,,,,,,,,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,0.0,1659984853.2
34,,,0.0,100.0,2506.95,200.0,-68.79,,,,,,,,,,,15.0,1125.0,200.0,-66.5,,,,,,34.057899,-118.236923,,1659984853.3
35,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,,1659984853.5
36,,,0.0,100.0,2506.95,200.0,-68.18,,,,,,,,,,,15.0,1125.0,200.0,-66.88,,,,,,34.057899,-118.236923,,1659984853.6
37,,,,,,,,,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,0.0,1659984853.7
38,41.67,16.13,0.997,100.0,2506.95,200.0,-67.51,,,,,,,,,,,15.0,1125.0,200.0,-66.63,,,,,,34.057899,-118.236923,,1659984853.8
39,33.33,17.5,3.164,100.0,2506.95,200.0,-67.4,,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,,1659984853.9
40,40.74,15.47,11.235,,,,,5.244,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,,1659984854.0
41,42.86,17.12,19.087,100.0,2506.95,200.0,-66.53,9.582,,,,,,,,,,15.0,1125.0,200.0,-66.88,,,,,,34.057899,-118.236923,,1659984854.1
42,25.71,16.33,25.483,100.0,2506.95,200.0,-65.7,14.068,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,9.776,1659984854.2
43,0.0,14.79,35.549,,,,,15.842,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,,1659984854.3
44,27.78,14.79,26.993,100.0,2506.95,200.0,-63.41,16.755,,,,,,,,,,,,,,,,,,,34.057899,-118.236923,,1659984854.4
45,32.56,11.77,34.699,100.0,2506.95,200.0,-62.8,19.922,,,,,,,,,,15.0,1125.0,200.0,-65.94,,,,,,34.057896,-118.236923,,1659984854.5
46,21.95,12.85,39.615,,,,,24.894,,,,,,,,,,,,,,,,,,,34.057896,-118.236923,,1659984854.6
47,15.79,13.38,44.182,100.0,2506.95,200.0,-62.74,25.094,,,,,,,,,,,,,,,,,,,34.057896,-118.236923,44.089,1659984854.7
48,24.0,12.82,41.7,,,,,30.791,,,,,,,,,,15.0,1125.0,200.0,-65.94,,,,,,34.057896,-118.236923,,1659984854.8
49,10.34,12.48,64.81,100.0,2506.95,200.0,-62.87,37.428,,,,,,,,,,,,,,,,,,,34.057896,-118.236923,,1659984854.9
50,6.52,12.92,41.518,100.0,2506.95,200.0,-63.14,24.758,,,,,,,,,0.822,,,,,,,,,,34.057892,-118.236923,,1659984855.0
51,36.36,13.05,46.485,,,,,31.408,,,,,,,,,,15.0,1125.0,200.0,-64.31,,,,,,34.057892,-118.236923,,1659984855.1
52,12.5,9.79,60.393,100.0,2506.95,200.0,-62.83,23.06,,,,,,,,,,15.0,1125.0,200.0,-63.66,,,,,,34.057892,-118.236923,71.007,1659984855.2
53,6.9,10.69,48.732,100.0,2506.95,200.0,-62.88,31.63,,,,,,,,16.67,,15.0,1125.0,200.0,-66.06,38.1,,,,,34.057892,-118.236923,,1659984855.3
54,6.25,12.77,54.159,,,,,45.208,,,,,,,,,,15.0,1125.0,200.0,-67.06,,,,,,34.057892,-118.236923,,1659984855.4
55,13.64,12.59,33.648,100.0,2506.95,200.0,-63.03,19.544,,,,,,,,17.88,,15.0,1125.0,200.0,-65.86,25.0,,,,,34.057892,-118.236923,,1659984855.5
