,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,41.820129,-88.472572,,,1660354665.0
1,,,,,,,,,,,,,,,,,,,,,,,,,41.820129,-88.472572,,,1660354665.490259
2,,,0.0,,,,,,,,,,,,,1150.0,386.0,-79.19,,,,,,,41.820129,-88.472572,0.0,0.0,1660354665.5
3,0.0,4.0,0.085,626.45,516.0,-84.64,,,,,,,,,,1150.0,386.0,-84.56,,,,,,,41.820129,-88.472572,,,1660354665.7
4,,,,,,,,,,,,,,,,,,,,,,,,,41.820129,-88.472572,,,1660354665.8
5,,,,,,,,,,,,,,,,,,,,,,,,,41.820107,-88.472534,,,1660354665.9
6,,,0.0,626.45,516.0,-85.07,,,,,,,,,0.0,1150.0,386.0,-82.5,,0.0,,,,,41.820087,-88.472504,0.0,0.0,1660354666.0
7,,,0.0,,,,,,,,,,,,,,,,,,,,,,41.820065,-88.472466,,,1660354666.1
8,0.0,4.0,0.128,626.45,516.0,-85.54,,,,,,,,,,,,,,,,,,,41.820045,-88.472435,,,1660354666.2
9,,,0.0,,,,,,,,,,,,,1150.0,386.0,-93.25,,,,,,,41.820023,-88.472397,,,1660354666.3
10,,,,,,,,,,,,,,,,,,,,,,,,,41.819984,-88.472336,0.0,0.0,1660354666.5
11,0.0,4.0,0.064,626.45,516.0,-87.35,,,,,,,,,,1150.0,386.0,-89.13,,,,,,,41.819962,-88.472298,,,1660354666.6
12,,,,,,,,,,,,,,,,1150.0,386.0,-91.42,,,,,,,41.819942,-88.472267,,,1660354666.7
13,,,0.0,,,,,,,,,,,,,1150.0,386.0,-90.69,,,,,,,41.81992,-88.472229,,,1660354666.8
14,,,0.0,626.45,516.0,-88.58,,,,,,,,,,1150.0,386.0,-90.38,,,,,,,41.819901,-88.472191,,,1660354666.9
15,,,,,,,,,,,,,,,0.0,,,,,,,,,,41.819881,-88.47216,0.0,0.0,1660354667.0
16,0.0,4.0,0.085,,,,,,,,,,,,,,,,,,,,,,41.819862,-88.472122,,,1660354667.1
17,,,,626.45,516.0,-90.29,,,,,,,,,,,,,,0.0,,,,,41.819843,-88.472084,,,1660354667.2
18,,,0.0,,,,,,,,,,,,,,,,,,,,,,41.819824,-88.472046,,,1660354667.3
19,,,,,,,,,,,,,,,,1150.0,386.0,-91.69,,,,,,,41.819805,-88.472015,,,1660354667.4
20,,,,,,,,,,,,,,,,,,,,,,,,,41.819786,-88.471977,0.0,0.0,1660354667.5
21,0.0,4.0,0.064,626.45,516.0,-92.11,,,,,,,,,,1150.0,386.0,-98.85,,,,,,,41.819767,-88.471939,,,1660354667.6
22,,,0.0,,,,,,,,,,,,,1150.0,386.0,-97.24,,,,,,,41.819748,-88.471909,,,1660354667.7
23,,,,,,,,,,,,,,,,,,,,,,,,,41.819729,-88.47187,,,1660354667.8
24,,,0.0,626.45,516.0,-95.48,,,,,,,,,,1150.0,386.0,-93.25,,,,,,,41.81971,-88.471832,,,1660354667.9
25,0.0,4.0,0.085,,,,,,,,,,,,0.0,,,,,,,,,,41.819691,-88.471794,0.0,0.0,1660354668.0
26,,,,626.45,516.0,-94.86,,,,,,,,,,,,,,,,,,,41.819672,-88.471756,,,1660354668.1
27,,,0.0,,,,,,,,,,,,,,,,,,,,,,41.819653,-88.471718,,,1660354668.2
28,0.0,4.0,0.064,626.45,516.0,-94.35,,,,,,,,,,1150.0,386.0,-97.13,4.0,0.0,,,,,41.819595,-88.471611,0.0,0.0,1660354668.5
29,,,,626.45,516.0,-94.0,,,,,,,,,,1150.0,386.0,-100.5,,,,,,,41.819576,-88.471573,,,1660354668.6
30,,,0.0,,,,,,,,,,,,,,,,,,,,,,41.819538,-88.471497,,,1660354668.8
31,,,0.0,626.45,516.0,-97.59,,,,,,,,,,,,,,,,,,,41.819519,-88.471458,,,1660354668.9
32,0.0,4.0,0.085,626.45,516.0,-96.35,,,,,,,,,,1150.0,386.0,-98.06,,,,,,,41.819504,-88.47142,0.0,0.0,1660354669.0
33,,,0.0,626.45,516.0,-97.32,,,,,,,,,,,,,,,,,,,41.819466,-88.471352,,,1660354669.2
34,,,,,,,,,,,,,,,,1150.0,386.0,-99.25,,,,,,,41.81945,-88.471313,,,1660354669.3
35,0.0,4.0,0.043,626.45,516.0,-97.03,,,,,,,,,,1150.0,386.0,-99.94,,,,,,,41.819412,-88.471237,0.0,0.0,1660354669.5
36,,,0.0,626.45,516.0,-98.64,,,,,,,,,,1150.0,386.0,-102.88,,,,,,,41.819359,-88.47113,,,1660354669.8
37,0.0,4.0,0.085,626.45,516.0,-100.67,,,,,,,,,,,,,,,,,,,41.819328,-88.471054,0.0,0.0,1660354670.0
38,,,0.0,626.45,516.0,-99.9,,,,,,,,,,1150.0,386.0,-103.19,,,,,,,41.819309,-88.471016,,,1660354670.1
39,,,,,,,,,,,,,,,,1150.0,386.0,-100.56,,,,,,,41.819294,-88.470978,,,1660354670.2
40,,,,,,,,,,,,,,RRC Connection Release,,,,,,,,,,,41.819294,-88.47097,,,1660354670.214559
41,,,,,,,,,,,,,,Cell Searching Start,,,,,,,,,,,41.819283,-88.470947,,,1660354670.274981
42,,,,,,,,,,,,,,Cell Camp On,,,,,,,,,,,41.819252,-88.470863,,,1660354670.478072
43,,,,,,,,,,,,,,,,,,,,,,,,,41.819248,-88.470856,0.0,0.0,1660354670.5
