,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,41.494492,-94.221512,,,1660336339.0
1,,,,,,,,,,,,,,,,66586.0,317.0,-96.38,,,,,,,41.494492,-94.221512,,,1660336339.5
2,,,,,,,,,,,,,,,,,,,,,,,,,41.494492,-94.221512,,,1660336339.576519
3,,,,,,,,,,,,,,,,66586.0,317.0,-97.75,,,,,,,41.494492,-94.221512,,,1660336339.6
4,,,,,,,,,,,,,,,,66586.0,317.0,-97.81,,,,,,,41.494492,-94.221512,0.0,0.0,1660336339.8
5,,,,,,,,,,,,,,,,,,,,,,,,,41.494492,-94.221512,,,1660336339.9
6,,,,,,,,,,,,,,,,,,,,,,,,,41.494503,-94.221474,,,1660336340.0
7,,,,,,,,,,,,,,,,66586.0,317.0,-98.31,,,,,,,41.49453,-94.221397,,,1660336340.2
8,,,,,,,,,,,,,,,,,,,,,,,,,41.494545,-94.221359,0.0,0.0,1660336340.3
9,,,,,,,,,,,,,,,,,,,,,,,,,41.494556,-94.221313,,,1660336340.4
10,,,,,,,,,,,,,,,,66586.0,317.0,-95.88,16.0,,,,,,41.494568,-94.221275,,,1660336340.5
11,,,,,,,,,,,,,,,,,,,,,,,,,41.49461,-94.221161,0.0,0.0,1660336340.8
12,,,,,,,,,,,,,,,,66586.0,317.0,-98.75,,,,,,,41.494621,-94.221123,,,1660336340.9
13,,,,,,,,,,,,,,,,,,,,,,,,,41.494637,-94.221085,,,1660336341.0
14,,,,,,,,,,,,,,,,,,,,,,,,,41.494648,-94.221046,,,1660336341.1
15,,,,,,,,,,,,,,,,66586.0,317.0,-97.38,,,,,,,41.494663,-94.221008,,,1660336341.2
16,,,,,,,,,,,,,,,,,,,,,,,,,41.494675,-94.22097,0.0,0.0,1660336341.3
17,,,,,,,,,,,,,,,,,,,,,,,,,41.49469,-94.220932,,,1660336341.4
18,,,,,,,,,,,,,,,,66586.0,317.0,-99.44,,,,,,,41.494705,-94.220901,,,1660336341.5
19,,,,,,,,,,,,,,,,,,,,,,,,,41.494732,-94.220825,,,1660336341.7
20,,,,,,,,,,,,,,,,66586.0,317.0,-99.19,,,,,,,41.494743,-94.220787,0.0,0.0,1660336341.8
21,,,,,,,,,,,,,,,,,,,,,,,,,41.494759,-94.220749,,,1660336341.9
22,,,,,,,,,,,,,,,,,,,,,,,,,41.494774,-94.220711,,,1660336342.0
23,,,,,,,,,,,,,,,,66586.0,317.0,-99.88,,,,,,,41.494789,-94.220673,,,1660336342.1
24,,,,,,,,,,,,,,,,,,,,,,,,,41.494804,-94.220642,,,1660336342.2
25,,,,,,,,,,,,,,,,,,,,,,,,,41.49482,-94.220604,0.0,0.0,1660336342.3
26,,,,,,,,,,,,,,,,66586.0,317.0,-98.69,,,,,,,41.494835,-94.220566,,,1660336342.4
27,,,,,,,,,,,,,,,,,,,,,,,,,41.494881,-94.220459,,,1660336342.7
