TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-13 11:32:11.000000,,,5G-NR_NSA,,,0.000,,,,,
2022-08-13 11:32:11.100000,,,,,,0.000,,38649.82,3,3,
2022-08-13 11:32:11.200000,,,,,NonCA,0.000,,38649.82,3,3,
2022-08-13 11:32:11.300000,,,,,,0.000,,38649.82,3,3,
2022-08-13 11:32:11.400000,,,,,,0.000,,,,,0.000
2022-08-13 11:32:11.500000,,,,,,0.000,,38649.82,3,3,
2022-08-13 11:32:11.600000,,,,,NonCA,0.000,,,,,
2022-08-13 11:32:11.700000,,,,,,0.000,,,,,
2022-08-13 11:32:11.800000,,,,,,0.000,,,,,
2022-08-13 11:32:11.900000,,,,,NonCA,0.000,,,,,0.000
2022-08-13 11:32:12.000000,,,5G-NR_NSA,,,0.000,,38649.82,3,3,
2022-08-13 11:32:12.100000,,,,,,0.000,,,,,
2022-08-13 11:32:12.200000,,,,,NonCA,0.000,,,,,
2022-08-13 11:32:12.300000,,,,,,0.000,,38649.82,3,3,
2022-08-13 11:32:12.400000,,,,,,0.000,,,,,0.000
2022-08-13 11:32:12.500000,,,,,NonCA,0.000,,38649.82,3,3,
2022-08-13 11:32:12.600000,,,,,,0.000,,,,,
2022-08-13 11:32:12.800000,,,,,NonCA,0.000,,,,,
2022-08-13 11:32:12.900000,,,,,,0.000,,,,,0.000
2022-08-13 11:32:13.000000,,,5G-NR_NSA,,,0.000,,38649.82,3,3,
2022-08-13 11:32:13.100000,,,,,,0.000,,,,,
2022-08-13 11:32:13.200000,,,,,NonCA,0.000,,38649.82,3,3,
2022-08-13 11:32:13.300000,,,,,,0.000,,,,,
2022-08-13 11:32:13.400000,,,,,,0.000,,38649.82,3,3,0.000
2022-08-13 11:32:13.500000,,,,,NonCA,0.000,,,,,
2022-08-13 11:32:13.600000,,,,,,0.000,,,,,
2022-08-13 11:32:13.700000,,,,,,0.000,,,,,
2022-08-13 11:32:13.800000,,,,,NonCA,0.000,DL NonCA,,,,
2022-08-13 11:32:13.900000,,,,,NonCA,0.006,,38649.82,3,3,0.000
2022-08-13 11:32:14.000000,,,5G-NR_NSA,,NonCA,0.000,,,,,
2022-08-13 11:32:14.100000,,,,,NonCA,0.000,,,,,
2022-08-13 11:32:14.200000,,,,,,0.000,,38649.82,3,3,
2022-08-13 11:32:14.300000,,,,,,0.000,,,,,
2022-08-13 11:32:14.400000,,,,,NonCA,0.001,DL NonCA,38649.82,3,3,0.000
2022-08-13 11:32:14.500000,,,,,,0.000,,,,,
2022-08-13 11:32:14.600000,,,,,,0.000,,,,,
2022-08-13 11:32:14.700000,,,,,,0.002,DL NonCA,38649.82,3,3,
2022-08-13 11:32:14.800000,,,,,NonCA,0.069,DL NonCA,,,,
2022-08-13 11:32:14.900000,,,,,,0.063,DL NonCA,,,,0.003
2022-08-13 11:32:15.000000,,,5G-NR_NSA(5CA),0.001,,0.017,DL NonCA,38649.82,3,3,
2022-08-13 11:32:15.100000,,,,,NonCA,1.445,DL NonCA,,,,
2022-08-13 11:32:15.200000,,,,,NonCA,4.153,DL NonCA,38649.82,3,3,
2022-08-13 11:32:15.300000,,,,,NonCA,41.853,DL NonCA,,,,
2022-08-13 11:32:15.400000,,,,,,163.806,DL 8CA,38649.82,3,3,27.501
2022-08-13 11:32:15.500000,,,,,,310.663,DL 8CA,,,,
2022-08-13 11:32:15.600000,,,,,,255.796,DL 8CA,,,,
2022-08-13 11:32:15.700000,,,,,,388.441,DL 7CA,,,,
2022-08-13 11:32:15.800000,,,,,,347.074,DL 7CA,,,,
2022-08-13 11:32:15.900000,,,,,,419.474,DL 7CA,38649.82,3,3,322.841
2022-08-13 11:32:16.000000,,,5G-NR_NSA,,,525.219,DL 5CA,,,,
2022-08-13 11:32:16.100000,,,,,,536.125,DL 8CA,,,,
2022-08-13 11:32:16.200000,,,,,,630.385,DL 7CA,,,,
2022-08-13 11:32:16.300000,,,,,,676.171,DL 6CA,,,,
2022-08-13 11:32:16.400000,,,,,,697.944,DL 8CA,,,,591.628
2022-08-13 11:32:16.500000,,,,,,863.605,DL 8CA,,,,
2022-08-13 11:32:16.600000,,,,,,881.628,DL 8CA,,,,
2022-08-13 11:32:16.700000,,,,,,725.533,DL 8CA,,,,
2022-08-13 11:32:16.800000,,,,,,686.545,DL 8CA,,,,
2022-08-13 11:32:16.900000,,,,,,576.996,DL 8CA,,,,663.319
2022-08-13 11:32:17.000000,,,5G-NR_NSA(8CA),,,721.501,DL 8CA,,,,
2022-08-13 11:32:17.100000,,,,,NonCA,664.799,DL 8CA,,,,
2022-08-13 11:32:17.200000,,,,,,650.741,DL 8CA,,,,
2022-08-13 11:32:17.300000,,,,,,632.400,DL 8CA,,,,
2022-08-13 11:32:17.400000,,,,,NonCA,696.848,DL 8CA,,,,590.336
2022-08-13 11:32:17.500000,,,,,,669.611,DL 8CA,,,,
2022-08-13 11:32:17.600000,,,,,,727.611,DL 8CA,38649.82,3,3,
2022-08-13 11:32:17.700000,,,,,,870.301,DL 8CA,,,,
2022-08-13 11:32:17.800000,,,,,NonCA,589.958,DL 8CA,,,,
2022-08-13 11:32:17.900000,,,,,NonCA,812.475,DL 8CA,,,,653.072
2022-08-13 11:32:18.000000,,,5G-NR_NSA(8CA),,,355.842,DL 8CA,,,,
2022-08-13 11:32:18.100000,,,,,,860.106,DL 8CA,,,,
2022-08-13 11:32:18.200000,,,,,,591.756,DL 8CA,,,,
2022-08-13 11:32:18.300000,,,,,,779.057,DL 8CA,,,,
2022-08-13 11:32:18.400000,,,,,,681.553,DL 8CA,,,,605.443
2022-08-13 11:32:18.500000,,,,,,146.832,DL 8CA,,,,
2022-08-13 11:32:18.600000,,,,,NonCA,896.229,DL 8CA,38649.82,3,3,
2022-08-13 11:32:18.700000,,,,,,690.404,DL 8CA,,,,
2022-08-13 11:32:18.800000,,,,,,770.509,DL 8CA,,,,
2022-08-13 11:32:18.900000,,,,,,822.671,DL 8CA,,,,673.329
2022-08-13 11:32:19.000000,,,5G-NR_NSA(8CA),,,827.900,DL 8CA,,,,
2022-08-13 11:32:19.100000,,,,,,833.802,DL 8CA,,,,
2022-08-13 11:32:19.200000,,,,,,791.513,DL 8CA,,,,
2022-08-13 11:32:19.300000,,,,,NonCA,740.682,DL 8CA,,,,
2022-08-13 11:32:19.400000,,,,,,726.292,DL 8CA,,,,664.720
2022-08-13 11:32:19.500000,,,,,,511.647,DL 8CA,,,,
2022-08-13 11:32:19.600000,,,,,,857.828,DL 8CA,,,,
2022-08-13 11:32:19.700000,,,,,,521.742,DL 8CA,,,,
2022-08-13 11:32:19.800000,,,,,,485.142,DL 8CA,38649.82,3,3,
2022-08-13 11:32:19.900000,,,,,,983.455,DL 8CA,38649.82,3,3,611.557
2022-08-13 11:32:20.000000,,,5G-NR_NSA,,,174.969,DL 8CA,,,,
2022-08-13 11:32:20.100000,,,,,,1203.285,DL 8CA,,,,
2022-08-13 11:32:20.200000,,,,,,291.831,DL 8CA,,,,
2022-08-13 11:32:20.300000,,,,,,423.341,DL 8CA,,,,
2022-08-13 11:32:20.400000,,,,,,927.488,DL 8CA,,,,563.159
2022-08-13 11:32:20.500000,,,,,,535.169,DL 8CA,,,,
2022-08-13 11:32:20.600000,,,,,NonCA,676.033,DL 8CA,,,,
2022-08-13 11:32:20.700000,,,,,NonCA,788.838,DL 8CA,,,,
2022-08-13 11:32:20.800000,,,,,NonCA,616.728,DL 8CA,,,,
2022-08-13 11:32:20.900000,,,,,,711.362,DL 8CA,,,,633.859
2022-08-13 11:32:21.000000,,,5G-NR_NSA(8CA),,,650.358,DL 8CA,38649.82,3,3,
2022-08-13 11:32:21.100000,,,,,,683.538,DL 8CA,,,,
2022-08-13 11:32:21.200000,,,,,NonCA,705.126,DL 8CA,,,,
2022-08-13 11:32:21.300000,,,,,,805.114,DL 8CA,38649.82,3,3,
2022-08-13 11:32:21.400000,,,,,,664.978,DL 8CA,,,,652.516
2022-08-13 11:32:21.500000,,,,,NonCA,706.761,DL 8CA,,,,
2022-08-13 11:32:21.600000,,,,,,712.513,DL 8CA,,,,
2022-08-13 11:32:21.700000,,,,,,608.015,DL 8CA,,,,
2022-08-13 11:32:21.800000,,,,,,722.916,DL 8CA,38649.82,3,3,
2022-08-13 11:32:21.900000,,,,,,669.216,DL 8CA,,,,629.562
2022-08-13 11:32:22.000000,,,5G-NR_NSA(8CA),,,690.455,DL 8CA,,,,
2022-08-13 11:32:22.100000,,,,,,716.668,DL 8CA,,,,
