TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC UL Throughput[Mbps],LTE KPI UL CA Type,5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info UL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-14 16:27:59.000000,,,LTE,0.000,,,,,,,
2022-08-14 16:27:59.400000,,,,,NonCA,,,,,,
2022-08-14 16:27:59.600000,,,,,,,,,,,0.000
2022-08-14 16:27:59.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:00.000000,,,LTE,0.000,,,,,,,
2022-08-14 16:28:00.100000,,,,,,,,,,,0.000
2022-08-14 16:28:00.600000,,,,,,,,,,,0.000
2022-08-14 16:28:01.000000,,,LTE,13.328,,,,,,,
2022-08-14 16:28:01.100000,,,,,,,,,,,0.003
2022-08-14 16:28:01.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:01.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:01.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:01.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:01.600000,,,,,NonCA,,,,,,20.790
2022-08-14 16:28:01.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:01.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:01.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:02.000000,,,LTE,24.135,NonCA,,,,,,
2022-08-14 16:28:02.100000,,,,,NonCA,,,,,,27.576
2022-08-14 16:28:02.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:02.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:02.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:02.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:02.600000,,,,,NonCA,,,,,,24.332
2022-08-14 16:28:02.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:02.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:02.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:03.000000,,,LTE,26.154,NonCA,,,,,,
2022-08-14 16:28:03.100000,,,,,NonCA,,,,,,22.709
2022-08-14 16:28:03.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:03.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:03.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:03.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:03.600000,,,,,NonCA,,,,,,26.441
2022-08-14 16:28:03.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:03.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:03.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:04.000000,,,LTE,26.679,NonCA,,,,,,
2022-08-14 16:28:04.100000,,,,,NonCA,,,,,,26.005
2022-08-14 16:28:04.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:04.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:04.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:04.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:04.600000,,,,,NonCA,,,,,,24.872
2022-08-14 16:28:04.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:04.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:04.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:05.000000,,,LTE,27.642,NonCA,,,,,,
2022-08-14 16:28:05.100000,,,,,NonCA,,,,,,25.413
2022-08-14 16:28:05.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:05.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:05.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:05.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:05.600000,,,,,NonCA,,,,,,27.035
2022-08-14 16:28:05.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:05.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:05.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:06.000000,,,LTE,25.006,NonCA,,,,,,
2022-08-14 16:28:06.100000,,,,,NonCA,,,,,,25.953
2022-08-14 16:28:06.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:06.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:06.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:06.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:06.600000,,,,,NonCA,,,,,,24.822
2022-08-14 16:28:06.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:06.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:06.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:07.000000,,,LTE,26.431,NonCA,,,,,,
2022-08-14 16:28:07.100000,,,,,NonCA,,,,,,22.710
2022-08-14 16:28:07.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:07.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:07.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:07.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:07.600000,,,,,NonCA,,,,,,27.080
2022-08-14 16:28:07.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:07.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:07.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:08.000000,,,LTE,25.423,NonCA,,,,,,
2022-08-14 16:28:08.100000,,,,,NonCA,,,,,,28.060
2022-08-14 16:28:08.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:08.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:08.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:08.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:08.600000,,,,,NonCA,,,,,,24.380
2022-08-14 16:28:08.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:08.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:08.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:09.000000,,,LTE,24.580,NonCA,,,,,,
2022-08-14 16:28:09.100000,,,,,NonCA,,,,,,23.743
2022-08-14 16:28:09.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:09.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:09.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:09.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:09.600000,,,,,NonCA,,,,,,23.297
2022-08-14 16:28:09.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:09.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:09.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:10.000000,,,LTE,22.953,NonCA,,,,,,
2022-08-14 16:28:10.100000,,,,,NonCA,,,,,,24.822
2022-08-14 16:28:10.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:10.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:10.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:10.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:10.600000,,,,,NonCA,,,,,,23.839
2022-08-14 16:28:10.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:10.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:10.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:11.000000,,,LTE,26.314,NonCA,,,,,,
2022-08-14 16:28:11.100000,,,,,NonCA,,,,,,23.791
2022-08-14 16:28:11.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:11.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:11.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:11.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:11.600000,,,,,NonCA,,,,,,24.332
2022-08-14 16:28:11.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:11.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:11.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:12.000000,,,LTE,26.132,NonCA,,,,,,
2022-08-14 16:28:12.100000,,,,,NonCA,,,,,,25.947
2022-08-14 16:28:12.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:12.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:12.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:12.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:12.600000,,,,,NonCA,,,,,,24.967
2022-08-14 16:28:12.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:12.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:12.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:13.000000,,,LTE,26.141,NonCA,,,,,,
2022-08-14 16:28:13.100000,,,,,NonCA,,,,,,24.845
2022-08-14 16:28:13.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:13.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:13.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:13.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:13.600000,,,,,NonCA,,,,,,25.938
2022-08-14 16:28:13.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:13.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:13.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:14.000000,,,LTE,26.589,NonCA,,,,,,
2022-08-14 16:28:14.100000,,,,,NonCA,,,,,,27.080
2022-08-14 16:28:14.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:14.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:14.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:14.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:14.600000,,,,,NonCA,,,,,,24.895
2022-08-14 16:28:14.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:14.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:14.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:15.000000,,,LTE,27.977,NonCA,,,,,,
2022-08-14 16:28:15.100000,,,,,NonCA,,,,,,24.899
2022-08-14 16:28:15.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:15.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:15.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:15.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:15.600000,,,,,NonCA,,,,,,28.206
2022-08-14 16:28:15.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:15.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:15.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:16.000000,,,LTE,25.036,NonCA,,,,,,
2022-08-14 16:28:16.100000,,,,,NonCA,,,,,,25.932
2022-08-14 16:28:16.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:16.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:16.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:16.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:16.600000,,,,,NonCA,,,,,,24.855
2022-08-14 16:28:16.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:16.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:16.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:17.000000,,,LTE,25.162,NonCA,,,,,,
2022-08-14 16:28:17.100000,,,,,NonCA,,,,,,24.875
2022-08-14 16:28:17.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:17.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:17.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:17.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:17.600000,,,,,NonCA,,,,,,23.753
2022-08-14 16:28:17.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:17.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:17.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:18.000000,,,LTE,22.838,NonCA,,,,,,
2022-08-14 16:28:18.100000,,,,,NonCA,,,,,,25.928
2022-08-14 16:28:18.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:18.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:18.400000,,,,,NonCA,,,,,,
2022-08-14 16:28:18.500000,,,,,NonCA,,,,,,
2022-08-14 16:28:18.600000,,,,,NonCA,,,,,,21.606
2022-08-14 16:28:18.700000,,,,,NonCA,,,,,,
2022-08-14 16:28:18.800000,,,,,NonCA,,,,,,
2022-08-14 16:28:18.900000,,,,,NonCA,,,,,,
2022-08-14 16:28:19.000000,,,LTE,22.545,NonCA,,,,,,
2022-08-14 16:28:19.100000,,,,,NonCA,,,,,,20.547
2022-08-14 16:28:19.200000,,,,,NonCA,,,,,,
2022-08-14 16:28:19.300000,,,,,NonCA,,,,,,
2022-08-14 16:28:19.400000,,,,,NonCA,,,,,,
