TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC UL Throughput[Mbps],LTE KPI UL CA Type,5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info UL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-08 12:17:40.000000,-118.236794,34.058781,5G-NR_NSA,0.059,,,,,,,
2022-08-08 12:17:40.200000,-118.236794,34.058781,,,,,,,,,0.000
2022-08-08 12:17:40.500000,-118.236794,34.058781,,,NonCA,,,,,,
2022-08-08 12:17:40.700000,-118.236794,34.058781,,,NonCA,,,,,,0.002
2022-08-08 12:17:40.800000,-118.236794,34.058781,,,,,,39250.06,14,,
2022-08-08 12:17:41.000000,-118.236794,34.058781,5G-NR_NSA,0.027,,,,,,,
2022-08-08 12:17:41.200000,-118.236794,34.058781,,,NonCA,,,,,,0.000
2022-08-08 12:17:41.600000,-118.236794,34.058781,,,NonCA,0.018,UL NonCA,39250.06,14,,
2022-08-08 12:17:41.700000,-118.236794,34.058781,,,,2.355,UL NonCA,,,,0.000
2022-08-08 12:17:41.800000,-118.236794,34.058781,,,,0.163,UL NonCA,39250.06,14,14,
2022-08-08 12:17:41.900000,-118.236794,34.058781,,,,0.163,UL NonCA,,,,
2022-08-08 12:17:42.000000,-118.236794,34.058781,5G-NR_NSA,0.014,,0.163,UL NonCA,39250.06,14,14,
2022-08-08 12:17:42.100000,-118.236794,34.058781,,,,0.163,UL NonCA,39250.06,14,14,
2022-08-08 12:17:42.200000,-118.236794,34.058781,,,,0.163,UL NonCA,,,,0.000
2022-08-08 12:17:42.300000,-118.236794,34.058781,,,,0.163,UL NonCA,39250.06,14,14,
2022-08-08 12:17:42.400000,-118.236794,34.058781,,,,0.163,UL NonCA,,,,
2022-08-08 12:17:42.500000,-118.236794,34.058781,,,,0.163,UL NonCA,39250.06,14,14,
2022-08-08 12:17:42.600000,-118.236794,34.058781,,,NonCA,,,,,,
2022-08-08 12:17:42.700000,-118.236794,34.058781,,,,0.163,UL NonCA,39250.06,14,14,0.000
2022-08-08 12:17:42.800000,-118.236794,34.058781,,,,0.163,UL NonCA,39250.06,14,14,
2022-08-08 12:17:42.900000,-118.236794,34.058781,,,,0.163,UL NonCA,,,,
2022-08-08 12:17:43.000000,-118.236794,34.058781,5G-NR_NSA,2.820,,0.163,UL NonCA,39250.06,14,14,
2022-08-08 12:17:43.100000,-118.236794,34.058781,,,,9.169,UL NonCA,39250.06,14,14,
2022-08-08 12:17:43.200000,-118.236794,34.058781,,,,4.673,UL NonCA,,,,0.003
2022-08-08 12:17:43.300000,-118.236794,34.058781,,,,3.382,UL NonCA,39250.06,14,14,
