TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC UL Throughput[Mbps],LTE KPI UL CA Type,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-09 14:18:21.000000,-115.173180,36.113449,LTE,0.002,,
2022-08-09 14:18:21.300000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:21.500000,-115.173180,36.113449,,,,0.000
2022-08-09 14:18:22.000000,-115.173180,36.113449,LTE,0.002,,0.000
2022-08-09 14:18:22.500000,-115.173180,36.113449,,,,0.000
2022-08-09 14:18:22.900000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:23.000000,-115.173180,36.113449,LTE,0.607,,0.000
2022-08-09 14:18:23.500000,-115.173180,36.113449,,,,0.003
2022-08-09 14:18:23.700000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:23.800000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:23.900000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.000000,-115.173180,36.113449,LTE,4.664,NonCA,4.479
2022-08-09 14:18:24.100000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.200000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.300000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.400000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.500000,-115.173180,36.113449,,,NonCA,11.217
2022-08-09 14:18:24.600000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.700000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.800000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:24.900000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:25.000000,-115.173180,36.113449,LTE,4.250,NonCA,2.106
2022-08-09 14:18:25.100000,-115.173180,36.113449,,,NonCA,
2022-08-09 14:18:25.200000,-115.173180,36.113445,,,NonCA,
2022-08-09 14:18:25.300000,-115.173180,36.113445,,,NonCA,
2022-08-09 14:18:25.400000,-115.173187,36.113445,,,NonCA,
2022-08-09 14:18:25.500000,-115.173187,36.113445,,,NonCA,5.529
2022-08-09 14:18:25.600000,-115.173187,36.113445,,,NonCA,
2022-08-09 14:18:25.700000,-115.173187,36.113441,,,NonCA,
2022-08-09 14:18:25.800000,-115.173187,36.113441,,,NonCA,
2022-08-09 14:18:25.900000,-115.173187,36.113441,,,NonCA,
2022-08-09 14:18:26.000000,-115.173187,36.113441,LTE,3.798,NonCA,3.952
2022-08-09 14:18:26.100000,-115.173187,36.113441,,,NonCA,
2022-08-09 14:18:26.200000,-115.173187,36.113441,,,NonCA,
2022-08-09 14:18:26.300000,-115.173187,36.113441,,,NonCA,
2022-08-09 14:18:26.400000,-115.173187,36.113441,,,NonCA,
2022-08-09 14:18:26.500000,-115.173180,36.113441,,,NonCA,0.904
2022-08-09 14:18:26.600000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:26.700000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:26.800000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:26.900000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.000000,-115.173180,36.113441,LTE,5.023,NonCA,5.983
2022-08-09 14:18:27.100000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.200000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.300000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.400000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.500000,-115.173180,36.113441,,,NonCA,5.407
2022-08-09 14:18:27.600000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.700000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.800000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:27.900000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.000000,-115.173180,36.113441,LTE,4.935,NonCA,2.706
2022-08-09 14:18:28.100000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.200000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.300000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.400000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.500000,-115.173180,36.113441,,,NonCA,7.202
2022-08-09 14:18:28.600000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.700000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.800000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:28.900000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.000000,-115.173180,36.113441,LTE,3.875,NonCA,3.204
2022-08-09 14:18:29.100000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.200000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.300000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.400000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.500000,-115.173180,36.113441,,,NonCA,5.542
2022-08-09 14:18:29.600000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.700000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.800000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:29.900000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.000000,-115.173180,36.113441,LTE,4.433,NonCA,2.830
2022-08-09 14:18:30.100000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.200000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.300000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.400000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.500000,-115.173180,36.113441,,,NonCA,4.764
2022-08-09 14:18:30.600000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.700000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.800000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:30.900000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:31.000000,-115.173180,36.113441,LTE,4.766,NonCA,4.064
2022-08-09 14:18:31.100000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:31.200000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:31.300000,-115.173180,36.113441,,,NonCA,
2022-08-09 14:18:31.400000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:31.500000,-115.173172,36.113441,,,NonCA,3.793
2022-08-09 14:18:31.600000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:31.700000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:31.800000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:31.900000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.000000,-115.173172,36.113441,LTE,6.216,NonCA,6.096
2022-08-09 14:18:32.100000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.200000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.300000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.400000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.500000,-115.173172,36.113441,,,NonCA,6.298
2022-08-09 14:18:32.600000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.700000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.800000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:32.900000,-115.173172,36.113441,,,NonCA,
2022-08-09 14:18:33.000000,-115.173172,36.113441,LTE,6.488,NonCA,5.622
2022-08-09 14:18:33.100000,-115.173172,36.113438,,,NonCA,
2022-08-09 14:18:33.200000,-115.173164,36.113438,,,NonCA,
2022-08-09 14:18:33.300000,-115.173164,36.113438,,,NonCA,
2022-08-09 14:18:33.400000,-115.173164,36.113434,,,NonCA,
2022-08-09 14:18:33.500000,-115.173164,36.113434,,,NonCA,6.501
2022-08-09 14:18:33.600000,-115.173164,36.113434,,,NonCA,
2022-08-09 14:18:33.700000,-115.173157,36.113434,,,NonCA,
