TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-14 17:24:18.000000,-81.682533,41.496059,5G-NR_NSA(2CA),,,,,,,,
2022-08-14 17:24:18.300000,-81.682533,41.496059,,,,0.068,DL NonCA,,,,
2022-08-14 17:24:18.400000,-81.682533,41.496059,,,2CA,0.212,DL NonCA,2545.35,3,3,0.018
2022-08-14 17:24:18.500000,-81.682533,41.496059,,,NonCA,0.182,DL NonCA,,,,
2022-08-14 17:24:18.600000,-81.682533,41.496059,,,NonCA,0.016,DL NonCA,2545.35,3,3,
2022-08-14 17:24:18.700000,-81.682533,41.496059,,,,0.015,DL NonCA,2545.35,3,3,
2022-08-14 17:24:18.800000,-81.682533,41.496059,,,,0.000,,,,,
2022-08-14 17:24:18.900000,-81.682533,41.496059,,,,0.000,,2545.35,3,3,
2022-08-14 17:24:19.000000,-81.682533,41.496059,5G-NR_NSA(2CA),,NonCA,0.000,,2545.35,3,3,0.021
2022-08-14 17:24:19.100000,-81.682533,41.496059,,,,0.000,,,,,
2022-08-14 17:24:19.200000,-81.682533,41.496059,,,,0.000,,2545.35,3,3,
2022-08-14 17:24:19.300000,-81.682533,41.496059,,,,0.000,,,,,
2022-08-14 17:24:19.400000,-81.682533,41.496059,,,NonCA,0.000,,2545.35,3,3,0.000
2022-08-14 17:24:19.500000,-81.682533,41.496059,,,,0.000,,2545.35,3,3,
2022-08-14 17:24:19.600000,-81.682533,41.496059,,,,0.000,,,,,
2022-08-14 17:24:19.700000,-81.682533,41.496059,,,,0.000,,2545.35,3,3,
2022-08-14 17:24:19.800000,-81.682533,41.496059,,,,0.000,,,,,
2022-08-14 17:24:19.900000,-81.682533,41.496059,,,,0.000,,2545.35,3,3,0.000
2022-08-14 17:24:20.000000,-81.682533,41.496059,5G-NR_NSA(2CA),,NonCA,0.042,DL NonCA,2545.35,3,3,
2022-08-14 17:24:20.100000,-81.682533,41.496059,,,,0.504,DL NonCA,,,,
2022-08-14 17:24:20.200000,-81.682533,41.496059,,,,0.130,DL NonCA,2545.35,3,3,
2022-08-14 17:24:20.300000,-81.682533,41.496059,,,NonCA,0.000,,2545.35,3,3,
2022-08-14 17:24:20.400000,-81.682533,41.496059,,,,0.000,,,,,0.102
2022-08-14 17:24:20.500000,-81.682533,41.496059,,,,0.000,,2545.35,3,3,
2022-08-14 17:24:20.600000,-81.682533,41.496059,,,NonCA,0.000,,2545.35,3,3,
2022-08-14 17:24:20.700000,-81.682533,41.496059,,,,0.000,,,,,
2022-08-14 17:24:20.800000,-81.682533,41.496059,,,,0.000,,2545.35,3,3,
2022-08-14 17:24:20.900000,-81.682533,41.496059,,,,0.000,,,,,0.000
2022-08-14 17:24:21.000000,-81.682533,41.496059,5G-NR_NSA(2CA),0.000,NonCA,0.033,DL NonCA,2545.35,3,3,
2022-08-14 17:24:21.100000,-81.682533,41.496059,,,,0.098,DL NonCA,2545.35,3,3,
2022-08-14 17:24:21.200000,-81.682533,41.496059,,,,3.489,DL NonCA,,,,
2022-08-14 17:24:21.300000,-81.682533,41.496059,,,NonCA,13.498,DL NonCA,2545.35,3,3,
2022-08-14 17:24:21.400000,-81.682533,41.496059,,,,19.526,DL NonCA,,,,
2022-08-14 17:24:21.500000,-81.682533,41.496059,,,,31.581,DL NonCA,2545.35,3,3,8.826
2022-08-14 17:24:21.600000,-81.682533,41.496059,,,NonCA,24.189,DL NonCA,2545.35,3,3,
2022-08-14 17:24:21.700000,-81.682533,41.496059,,,NonCA,35.998,DL NonCA,,,,
2022-08-14 17:24:21.800000,-81.682533,41.496059,,,NonCA,26.735,DL NonCA,2545.35,3,3,
2022-08-14 17:24:21.900000,-81.682533,41.496059,,,NonCA,39.056,DL NonCA,2545.35,3,3,29.385
2022-08-14 17:24:22.000000,-81.682533,41.496059,5G-NR_NSA(2CA),,NonCA,39.011,DL NonCA,,,,
2022-08-14 17:24:22.100000,-81.682533,41.496059,,,NonCA,52.721,DL NonCA,2545.35,3,3,
2022-08-14 17:24:22.200000,-81.682533,41.496059,,,,45.061,DL NonCA,,,,
2022-08-14 17:24:22.300000,-81.682533,41.496059,,,,54.880,DL NonCA,2545.35,3,3,
2022-08-14 17:24:22.400000,-81.682533,41.496059,,,,69.224,DL NonCA,2545.35,3,3,49.421
2022-08-14 17:24:22.500000,-81.682533,41.496059,,,,56.707,DL NonCA,,,,
2022-08-14 17:24:22.600000,-81.682533,41.496059,,,NonCA,71.431,DL NonCA,2545.35,3,3,
2022-08-14 17:24:22.700000,-81.682533,41.496059,,,,77.004,DL NonCA,,,,
2022-08-14 17:24:22.800000,-81.682533,41.496059,,,,82.145,DL NonCA,2545.35,3,3,
2022-08-14 17:24:22.900000,-81.682533,41.496059,,,,88.358,DL NonCA,2545.35,3,3,
2022-08-14 17:24:23.000000,-81.682533,41.496059,5G-NR_NSA(2CA),13.216,,104.530,DL NonCA,,,,73.496
2022-08-14 17:24:23.100000,-81.682533,41.496059,,,,102.318,DL NonCA,2545.35,3,3,
2022-08-14 17:24:23.200000,-81.682533,41.496059,,,NonCA,69.947,DL NonCA,2545.35,3,3,
2022-08-14 17:24:23.300000,-81.682533,41.496059,,,2CA,97.624,DL NonCA,,,,
2022-08-14 17:24:23.400000,-81.682533,41.496059,,,2CA,108.949,DL NonCA,2545.35,3,3,
2022-08-14 17:24:23.500000,-81.682533,41.496059,,,2CA,143.360,DL NonCA,,,,96.288
2022-08-14 17:24:23.600000,-81.682533,41.496059,,,2CA,143.990,DL NonCA,2545.35,3,3,
2022-08-14 17:24:23.700000,-81.682533,41.496059,,,2CA,176.730,DL NonCA,2545.35,3,3,
2022-08-14 17:24:23.800000,-81.682533,41.496059,,,2CA,192.652,DL NonCA,,,,
2022-08-14 17:24:23.900000,-81.682533,41.496059,,,,188.456,DL NonCA,2545.35,3,3,160.709
2022-08-14 17:24:24.000000,-81.682533,41.496059,5G-NR_NSA(2CA),113.830,,101.029,DL NonCA,,,,
2022-08-14 17:24:24.100000,-81.682533,41.496059,,,,1.978,DL NonCA,2545.35,3,3,
2022-08-14 17:24:24.200000,-81.682533,41.496059,,,2CA,10.893,DL NonCA,,,,
2022-08-14 17:24:24.300000,-81.682533,41.496059,,,2CA,250.312,DL NonCA,2545.35,3,3,
2022-08-14 17:24:24.400000,-81.682533,41.496059,,,2CA,271.173,DL NonCA,2545.35,3,3,138.454
2022-08-14 17:24:24.500000,-81.682533,41.496059,,,2CA,273.386,DL NonCA,,,,
2022-08-14 17:24:24.600000,-81.682533,41.496059,,,2CA,302.473,DL 2CA,2545.35,3,3,
2022-08-14 17:24:24.700000,-81.682533,41.496059,,,2CA,366.535,DL 2CA,,,,
2022-08-14 17:24:24.800000,-81.682533,41.496059,,,2CA,307.015,DL 2CA,2545.35,3,3,
2022-08-14 17:24:24.900000,-81.682533,41.496059,,,,356.220,DL 2CA,2545.35,3,3,
2022-08-14 17:24:25.000000,-81.682533,41.496059,5G-NR_NSA(2CA),0.000,,411.537,DL 2CA,,,,320.430
2022-08-14 17:24:25.100000,-81.682533,41.496059,,,,434.210,DL 2CA,2545.35,3,3,
2022-08-14 17:24:25.200000,-81.682533,41.496059,,,2CA,460.838,DL 2CA,2545.35,3,3,
2022-08-14 17:24:25.300000,-81.682533,41.496059,,,,468.543,DL 2CA,,,,
2022-08-14 17:24:25.400000,-81.682533,41.496059,,,,477.570,DL 2CA,2545.35,3,3,419.342
2022-08-14 17:24:25.500000,-81.682533,41.496059,,,2CA,454.281,DL 2CA,,,,
2022-08-14 17:24:25.600000,-81.682533,41.496059,,,,476.823,DL 2CA,,,,
2022-08-14 17:24:25.700000,-81.682533,41.496059,,,,523.203,DL 2CA,,,,
2022-08-14 17:24:25.800000,-81.682533,41.496059,,,2CA,522.523,DL 2CA,,,,
2022-08-14 17:24:25.900000,-81.682533,41.496059,,,NonCA,464.436,DL 2CA,2545.35,3,3,
2022-08-14 17:24:26.000000,-81.682533,41.496059,5G-NR_NSA(2CA),0.000,NonCA,540.829,DL 2CA,,,,473.906
2022-08-14 17:24:26.100000,-81.682533,41.496059,,,,452.066,DL 2CA,2545.35,3,3,
2022-08-14 17:24:26.200000,-81.682533,41.496059,,,,539.439,DL 2CA,2545.35,3,3,
2022-08-14 17:24:26.300000,-81.682533,41.496059,,,,387.708,DL 2CA,,,,
2022-08-14 17:24:26.400000,-81.682533,41.496059,,,,509.743,DL 2CA,,,,444.399
2022-08-14 17:24:26.500000,-81.682533,41.496059,,,,479.010,DL 2CA,2545.35,3,3,
2022-08-14 17:24:26.600000,-81.682533,41.496059,,,,548.142,DL 2CA,,,,
2022-08-14 17:24:26.700000,-81.682533,41.496059,,,,553.996,DL 2CA,2545.35,3,3,
2022-08-14 17:24:26.800000,-81.682533,41.496059,,,NonCA,523.856,DL 2CA,,,,
2022-08-14 17:24:26.900000,-81.682533,41.496059,,,NonCA,518.642,DL 2CA,,,,
2022-08-14 17:24:27.000000,-81.682533,41.496059,5G-NR_NSA(2CA),3.268,NonCA,514.462,DL 2CA,2545.35,3,3,496.729
2022-08-14 17:24:27.100000,-81.682533,41.496059,,,,554.262,DL 2CA,,,,
2022-08-14 17:24:27.200000,-81.682533,41.496059,,,NonCA,676.084,DL 2CA,,,,
2022-08-14 17:24:27.300000,-81.682533,41.496059,,,NonCA,595.978,DL 2CA,2545.35,3,3,
2022-08-14 17:24:27.400000,-81.682533,41.496059,,,,686.112,DL 2CA,,,,597.271
2022-08-14 17:24:27.500000,-81.682533,41.496059,,,2CA,753.793,DL 2CA,,,,
2022-08-14 17:24:27.600000,-81.682533,41.496059,,,2CA,480.158,DL 2CA,,,,
2022-08-14 17:24:27.700000,-81.682533,41.496059,,,2CA,540.509,DL 2CA,2545.35,3,3,
2022-08-14 17:24:27.800000,-81.682533,41.496059,,,,475.872,DL 2CA,,,,
2022-08-14 17:24:27.900000,-81.682533,41.496059,,,,533.507,DL 2CA,,,,485.571
2022-08-14 17:24:28.000000,-81.682533,41.496059,5G-NR_NSA(2CA),,2CA,549.971,DL 2CA,,,,
2022-08-14 17:24:28.100000,-81.682533,41.496059,,,,481.957,DL 2CA,2545.35,3,3,
2022-08-14 17:24:28.200000,-81.682533,41.496059,,,,515.045,DL 2CA,,,,
2022-08-14 17:24:28.300000,-81.682533,41.496059,,,,473.426,DL 2CA,,,,
2022-08-14 17:24:28.400000,-81.682533,41.496059,,,,543.362,DL 2CA,,,,477.475
2022-08-14 17:24:28.500000,-81.682533,41.496059,,,,519.473,DL 2CA,2545.35,3,3,
2022-08-14 17:24:28.600000,-81.682533,41.496059,,,,499.650,DL 2CA,,,,
2022-08-14 17:24:28.700000,-81.682533,41.496059,,,,562.431,DL 2CA,,,,
2022-08-14 17:24:28.800000,-81.682533,41.496059,,,,540.038,DL 2CA,,,,
2022-08-14 17:24:28.900000,-81.682533,41.496059,,,,527.232,DL 2CA,2545.35,3,3,499.783
2022-08-14 17:24:29.000000,-81.682533,41.496059,5G-NR_NSA(2CA),,NonCA,580.932,DL 2CA,,,,
2022-08-14 17:24:29.100000,-81.682533,41.496059,,,NonCA,501.192,DL 2CA,2545.35,3,3,
2022-08-14 17:24:29.200000,-81.682533,41.496059,,,NonCA,462.803,DL 2CA,2545.35,3,3,
2022-08-14 17:24:29.300000,-81.682533,41.496059,,,,480.583,DL 2CA,,,,
2022-08-14 17:24:29.400000,-81.682533,41.496059,,,,102.694,DL 2CA,,,,
2022-08-14 17:24:29.500000,-81.682533,41.496059,,,,940.048,DL 2CA,,,,476.122
2022-08-14 17:24:29.600000,-81.682533,41.496059,,,,545.564,DL 2CA,,,,
2022-08-14 17:24:29.700000,-81.682533,41.496059,,,2CA,73.962,DL 2CA,2545.35,3,3,
2022-08-14 17:24:29.800000,-81.682533,41.496059,,,2CA,525.407,DL 2CA,,,,
2022-08-14 17:24:29.900000,-81.682533,41.496059,,,2CA,611.291,DL 2CA,2545.35,3,3,504.938
2022-08-14 17:24:30.000000,-81.682533,41.496059,5G-NR_NSA(2CA),79.096,2CA,590.888,DL 2CA,,,,
2022-08-14 17:24:30.100000,-81.682533,41.496059,,,2CA,497.020,DL 2CA,2545.35,3,3,
2022-08-14 17:24:30.200000,-81.682533,41.496059,,,2CA,548.264,DL 2CA,,,,
2022-08-14 17:24:30.300000,-81.682533,41.496059,,,2CA,605.920,DL 2CA,,,,
2022-08-14 17:24:30.400000,-81.682533,41.496059,,,,526.241,DL 2CA,2545.35,3,3,523.055
2022-08-14 17:24:30.500000,-81.682533,41.496059,,,,521.916,DL 2CA,2545.35,3,3,
2022-08-14 17:24:30.600000,-81.682533,41.496059,,,,445.366,DL 2CA,,,,
2022-08-14 17:24:30.700000,-81.682533,41.496059,,,,493.700,DL 2CA,,,,
2022-08-14 17:24:30.800000,-81.682533,41.496059,,,,482.532,DL 2CA,,,,
