TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC UL Throughput[Mbps],LTE KPI UL CA Type,5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info UL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-13 20:48:51.000000,-86.150681,39.768280,5G-NR,0.002,,0.020,UL NonCA,,,,
2022-08-13 20:48:51.100000,-86.150681,39.768280,,,,0.074,UL NonCA,2638.95,5,5,
2022-08-13 20:48:51.200000,-86.150681,39.768280,,,,0.031,UL NonCA,,,,
2022-08-13 20:48:51.300000,-86.150681,39.768280,,,,0.088,UL NonCA,2638.95,5,5,
2022-08-13 20:48:51.400000,-86.150681,39.768280,,,,0.048,UL NonCA,,,,0.000
2022-08-13 20:48:51.500000,-86.150681,39.768280,,,,0.034,UL NonCA,2638.95,5,5,
2022-08-13 20:48:51.700000,-86.150681,39.768280,,,,0.045,UL NonCA,2638.95,5,5,
2022-08-13 20:48:51.800000,-86.150681,39.768280,,,,0.086,UL NonCA,2638.95,5,5,
2022-08-13 20:48:51.900000,-86.150681,39.768280,,,,0.095,UL NonCA,,,,0.000
2022-08-13 20:48:52.000000,-86.150681,39.768280,5G-NR,0.002,,0.017,UL NonCA,,,,
2022-08-13 20:48:52.100000,-86.150681,39.768280,,,,0.134,UL NonCA,2638.95,5,5,
2022-08-13 20:48:52.200000,-86.150681,39.768280,,,NonCA,0.039,UL NonCA,,,,
2022-08-13 20:48:52.300000,-86.150681,39.768280,,,,0.000,,2638.95,5,5,
2022-08-13 20:48:52.400000,-86.150681,39.768280,,,,,,,,,0.000
2022-08-13 20:48:52.500000,-86.150681,39.768280,,,,0.001,UL NonCA,2638.95,5,5,
2022-08-13 20:48:52.600000,-86.150681,39.768280,,,,0.000,,,,,
2022-08-13 20:48:52.700000,-86.150681,39.768280,,,,0.000,,2638.95,5,5,
2022-08-13 20:48:52.800000,-86.150681,39.768280,,,,0.000,,2638.95,5,5,
2022-08-13 20:48:52.900000,-86.150681,39.768280,,,,0.002,UL NonCA,,,,0.000
2022-08-13 20:48:53.000000,-86.150681,39.768280,5G-NR(2CA),,,0.000,,2638.95,5,5,
2022-08-13 20:48:53.100000,-86.150681,39.768280,,,,0.000,,2638.95,5,5,
2022-08-13 20:48:53.200000,-86.150681,39.768280,,,,0.000,,,,,
2022-08-13 20:48:53.300000,-86.150681,39.768280,,,,0.002,UL NonCA,2638.95,5,5,
2022-08-13 20:48:53.400000,-86.150681,39.768280,,,,0.000,,,,,0.000
2022-08-13 20:48:53.500000,-86.150681,39.768280,,,NonCA,0.000,,2638.95,5,5,
2022-08-13 20:48:53.600000,-86.150681,39.768280,,,,0.288,UL NonCA,2638.95,5,5,
2022-08-13 20:48:53.800000,-86.150681,39.768280,,,,0.000,,,,,
2022-08-13 20:48:53.900000,-86.150681,39.768280,,,,0.000,,2638.95,5,5,0.000
2022-08-13 20:48:54.000000,-86.150681,39.768280,5G-NR(2CA),,,0.003,UL NonCA,,,,
2022-08-13 20:48:54.100000,-86.150681,39.768280,,,,0.000,,2638.95,5,5,
2022-08-13 20:48:54.200000,-86.150681,39.768280,,,,0.000,,,,,
2022-08-13 20:48:54.300000,-86.150681,39.768280,,,,0.002,UL NonCA,2638.95,5,5,
2022-08-13 20:48:54.400000,-86.150681,39.768280,,,,0.000,,2638.95,5,5,0.000
2022-08-13 20:48:54.500000,-86.150681,39.768280,,,,0.000,,,,,
2022-08-13 20:48:54.600000,-86.150681,39.768280,,,,0.000,UL NonCA,2638.95,5,5,
2022-08-13 20:48:54.700000,-86.150681,39.768280,,,,0.125,UL NonCA,,,,
2022-08-13 20:48:54.800000,-86.150681,39.768280,,,,0.120,UL NonCA,2638.95,5,5,
2022-08-13 20:48:54.900000,-86.150681,39.768280,,,,0.080,UL NonCA,2638.95,5,5,0.012
2022-08-13 20:48:55.000000,-86.150681,39.768280,5G-NR(2CA),15.097,,4.771,UL NonCA,,,,
2022-08-13 20:48:55.100000,-86.150681,39.768280,,,NonCA,10.582,UL NonCA,2638.95,5,5,
2022-08-13 20:48:55.200000,-86.150681,39.768280,,,NonCA,20.868,UL NonCA,2638.95,5,5,
2022-08-13 20:48:55.300000,-86.150681,39.768280,,,NonCA,39.809,UL NonCA,,,,
2022-08-13 20:48:55.400000,-86.150681,39.768280,,,NonCA,42.788,UL NonCA,2638.95,5,5,35.536
2022-08-13 20:48:55.500000,-86.150681,39.768280,,,NonCA,45.604,UL NonCA,2638.95,5,5,
2022-08-13 20:48:55.600000,-86.150681,39.768280,,,NonCA,42.745,UL NonCA,,,,
2022-08-13 20:48:55.700000,-86.150681,39.768280,,,NonCA,39.007,UL NonCA,2638.95,5,5,
2022-08-13 20:48:55.800000,-86.150681,39.768280,,,NonCA,51.491,UL NonCA,,,,
2022-08-13 20:48:55.900000,-86.150681,39.768280,,,NonCA,44.800,UL NonCA,2638.95,5,5,65.031
2022-08-13 20:48:56.000000,-86.150681,39.768280,5G-NR(2CA),22.295,NonCA,47.331,UL NonCA,,,,
2022-08-13 20:48:56.100000,-86.150681,39.768280,,,NonCA,50.491,UL NonCA,2638.95,5,5,
2022-08-13 20:48:56.200000,-86.150681,39.768280,,,NonCA,52.290,UL NonCA,2638.95,5,5,
2022-08-13 20:48:56.300000,-86.150681,39.768280,,,NonCA,51.169,UL NonCA,,,,
2022-08-13 20:48:56.400000,-86.150681,39.768280,,,NonCA,52.652,UL NonCA,2638.95,5,5,70.704
2022-08-13 20:48:56.500000,-86.150681,39.768280,,,NonCA,48.637,UL NonCA,2638.95,5,5,
2022-08-13 20:48:56.600000,-86.150681,39.768280,,,NonCA,55.252,UL NonCA,,,,
