TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-08 15:30:43.000000,-118.236931,34.057899,5G-NR,,,,,,,,
2022-08-08 15:30:43.400000,-118.236931,34.057899,,,,,DL NonCA,,,,
2022-08-08 15:30:43.500000,-118.236931,34.057899,,,NonCA,0.089,DL NonCA,27533.24,5,5,
2022-08-08 15:30:43.700000,-118.236931,34.057899,,,,0.092,DL NonCA,27533.24,5,5,0.000
2022-08-08 15:30:43.800000,-118.236931,34.057899,,,NonCA,0.085,DL NonCA,27533.24,5,5,
2022-08-08 15:30:43.900000,-118.236931,34.057899,,,,0.082,DL NonCA,27533.24,5,5,
2022-08-08 15:30:44.000000,-118.236931,34.057899,5G-NR,0.002,NonCA,0.035,DL NonCA,27533.24,5,5,
2022-08-08 15:30:44.100000,-118.236931,34.057899,,,NonCA,0.056,DL NonCA,,,,
2022-08-08 15:30:44.200000,-118.236931,34.057899,,,NonCA,0.077,DL NonCA,27533.24,5,5,0.001
2022-08-08 15:30:44.300000,-118.236931,34.057899,,,NonCA,0.075,DL NonCA,,,,
2022-08-08 15:30:44.400000,-118.236931,34.057899,,,NonCA,0.031,DL NonCA,27533.24,5,5,
2022-08-08 15:30:44.500000,-118.236931,34.057899,,,NonCA,0.052,DL NonCA,27533.24,5,5,
2022-08-08 15:30:44.600000,-118.236931,34.057899,,,NonCA,4.411,DL NonCA,,,,
2022-08-08 15:30:44.700000,-118.236931,34.057899,,,NonCA,6.106,DL NonCA,27533.24,5,5,0.687
2022-08-08 15:30:44.800000,-118.236931,34.057899,,,NonCA,3.418,DL NonCA,27533.24,5,5,
2022-08-08 15:30:44.900000,-118.236931,34.057899,,,NonCA,7.444,DL NonCA,,,,
2022-08-08 15:30:45.000000,-118.236931,34.057899,5G-NR,0.432,NonCA,11.785,DL NonCA,27533.24,5,5,
2022-08-08 15:30:45.100000,-118.236931,34.057899,,,NonCA,5.162,DL NonCA,,,,
2022-08-08 15:30:45.200000,-118.236931,34.057899,,,NonCA,6.598,DL NonCA,27533.24,5,5,7.341
2022-08-08 15:30:45.300000,-118.236931,34.057899,,,NonCA,14.340,DL NonCA,27533.24,5,5,
2022-08-08 15:30:45.400000,-118.236931,34.057899,,,NonCA,11.039,DL NonCA,,,,
2022-08-08 15:30:45.500000,-118.236938,34.057899,,,NonCA,7.551,DL NonCA,27533.24,5,5,
2022-08-08 15:30:45.600000,-118.236938,34.057899,,,NonCA,6.596,DL NonCA,,,,
2022-08-08 15:30:45.700000,-118.236938,34.057899,,,NonCA,20.001,DL NonCA,27533.24,5,5,8.609
2022-08-08 15:30:45.800000,-118.236938,34.057899,,,NonCA,10.118,DL NonCA,,,,
2022-08-08 15:30:45.900000,-118.236938,34.057899,,,NonCA,6.658,DL NonCA,27533.24,5,5,
2022-08-08 15:30:46.000000,-118.236938,34.057899,5G-NR,11.518,NonCA,3.237,DL NonCA,27533.24,5,5,
2022-08-08 15:30:46.100000,-118.236938,34.057899,,,NonCA,6.068,DL NonCA,,,,
2022-08-08 15:30:46.200000,-118.236938,34.057899,,,NonCA,7.031,DL NonCA,27533.24,5,12,12.481
