TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-12 12:59:34.000000,-95.804070,41.260712,LTE,,,,,,,,
2022-08-12 12:59:34.600000,-95.804070,41.260712,,,NonCA,,,,,,0.000
2022-08-12 12:59:35.100000,-95.804070,41.260712,,,,,,,,,0.000
2022-08-12 12:59:35.600000,-95.804070,41.260712,,,,,,,,,0.000
2022-08-12 12:59:36.000000,-95.804070,41.260712,LTE,,,,,,,,
2022-08-12 12:59:36.100000,-95.804070,41.260712,,,NonCA,,,,,,0.000
2022-08-12 12:59:36.600000,-95.804070,41.260712,,,,,,,,,0.000
2022-08-12 12:59:37.000000,-95.804070,41.260712,LTE,,,,,,,,
2022-08-12 12:59:37.100000,-95.804070,41.260712,,,,,,,,,0.000
2022-08-12 12:59:37.500000,-95.804070,41.260712,,,NonCA,,,,,,
2022-08-12 12:59:37.600000,-95.804070,41.260712,,,,,,,,,0.000
2022-08-12 12:59:38.000000,-95.804070,41.260712,LTE,0.000,,,,,,,
2022-08-12 12:59:38.100000,-95.804070,41.260712,,,,,,,,,0.000
2022-08-12 12:59:38.600000,-95.804070,41.260712,,,,,,,,,0.000
2022-08-12 12:59:38.700000,-95.804070,41.260712,,,NonCA,,,,,,
2022-08-12 12:59:38.800000,-95.804070,41.260712,,,NonCA,,,,,,
2022-08-12 12:59:38.900000,-95.804070,41.260712,,,NonCA,,,,,,
2022-08-12 12:59:39.000000,-95.804070,41.260712,5G-NR_NSA,0.035,NonCA,,,,,,
2022-08-12 12:59:39.100000,-95.804070,41.260712,,,NonCA,,,,,,0.003
2022-08-12 12:59:39.200000,-95.804070,41.260712,,,NonCA,,,2635.35,4,,
2022-08-12 12:59:39.300000,-95.804070,41.260712,,,NonCA,0.076,DL NonCA,,,,
2022-08-12 12:59:39.400000,-95.804070,41.260712,,,NonCA,0.010,DL NonCA,2635.35,4,4,
2022-08-12 12:59:39.500000,-95.804070,41.260712,,,NonCA,0.036,DL NonCA,2635.35,4,4,
2022-08-12 12:59:39.600000,-95.804070,41.260712,,,NonCA,1.310,DL NonCA,,,,0.238
2022-08-12 12:59:39.700000,-95.804070,41.260712,,,NonCA,2.317,DL NonCA,2635.35,4,4,
2022-08-12 12:59:39.800000,-95.804070,41.260712,,,NonCA,4.824,DL NonCA,2635.35,4,4,
2022-08-12 12:59:39.900000,-95.804070,41.260712,,,NonCA,10.575,DL NonCA,,,,
2022-08-12 12:59:40.000000,-95.804070,41.260712,5G-NR_NSA,1.831,NonCA,14.889,DL NonCA,2635.35,4,4,
2022-08-12 12:59:40.100000,-95.804070,41.260712,,,,13.366,DL NonCA,,,,5.936
2022-08-12 12:59:40.200000,-95.804070,41.260712,,,,6.353,DL NonCA,2635.35,4,4,
2022-08-12 12:59:40.300000,-95.804070,41.260712,,,,10.671,DL NonCA,2635.35,4,4,
2022-08-12 12:59:40.400000,-95.804070,41.260712,,,,16.595,DL NonCA,,,,
2022-08-12 12:59:40.500000,-95.804070,41.260712,,,NonCA,16.879,DL NonCA,2635.35,4,4,
2022-08-12 12:59:40.600000,-95.804070,41.260712,,,,18.469,DL NonCA,,,,13.684
2022-08-12 12:59:40.700000,-95.804070,41.260712,,,,16.415,DL NonCA,2635.35,4,4,
2022-08-12 12:59:40.800000,-95.804070,41.260712,,,NonCA,9.819,DL NonCA,2635.35,4,4,
2022-08-12 12:59:40.900000,-95.804070,41.260712,,,NonCA,12.427,DL NonCA,,,,
2022-08-12 12:59:41.000000,-95.804070,41.260712,5G-NR_NSA,0.828,2CA,24.647,DL NonCA,2635.35,4,4,
2022-08-12 12:59:41.100000,-95.804070,41.260712,,,2CA,24.294,DL NonCA,,,,14.115
2022-08-12 12:59:41.200000,-95.804070,41.260712,,,2CA,23.550,DL NonCA,2635.35,4,4,
2022-08-12 12:59:41.300000,-95.804070,41.260712,,,2CA,14.963,DL NonCA,2635.35,4,4,
2022-08-12 12:59:41.400000,-95.804070,41.260712,,,2CA,20.048,DL NonCA,,,,
2022-08-12 12:59:41.500000,-95.804070,41.260712,,,,24.765,DL NonCA,2635.35,4,4,
2022-08-12 12:59:41.600000,-95.804070,41.260712,,,,19.377,DL NonCA,2635.35,4,4,20.141
2022-08-12 12:59:41.700000,-95.804070,41.260712,,,,25.053,DL NonCA,,,,
2022-08-12 12:59:41.800000,-95.804070,41.260712,,,,27.992,DL NonCA,2635.35,4,4,
2022-08-12 12:59:41.900000,-95.804070,41.260712,,,,20.254,DL NonCA,,,,
