TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-10 12:07:37.000000,-111.977272,40.705200,5G-NR(2CA),,,,,,,,
2022-08-10 12:07:37.500000,-111.977272,40.705200,,,NonCA,0.000,,2506.95,0,0,
2022-08-10 12:07:37.600000,-111.977272,40.705200,,,,0.000,,,,,
2022-08-10 12:07:37.800000,-111.977272,40.705200,,,,0.000,,,,,0.000
2022-08-10 12:07:37.900000,-111.977272,40.705200,,,NonCA,0.102,DL NonCA,2506.95,0,0,
2022-08-10 12:07:38.000000,-111.977272,40.705200,5G-NR(2CA),,,,,,,,
2022-08-10 12:07:38.100000,-111.977272,40.705200,,,,0.000,,,,,
2022-08-10 12:07:38.300000,-111.977272,40.705200,,,NonCA,0.000,,2506.95,0,0,0.000
2022-08-10 12:07:38.500000,-111.977272,40.705200,,,NonCA,0.000,,2506.95,0,0,
2022-08-10 12:07:38.800000,-111.977272,40.705200,,,NonCA,0.000,,2506.95,0,0,0.000
2022-08-10 12:07:39.000000,-111.977272,40.705200,5G-NR(2CA),,,0.083,DL NonCA,2506.95,0,0,
2022-08-10 12:07:39.300000,-111.977272,40.705200,,,NonCA,0.000,,,,,0.000
2022-08-10 12:07:39.400000,-111.977272,40.705200,,,,0.000,DL NonCA,2506.95,0,0,
2022-08-10 12:07:39.500000,-111.977272,40.705200,,,NonCA,1.180,DL NonCA,,,,
2022-08-10 12:07:39.600000,-111.977272,40.705200,,,,1.546,DL NonCA,2506.95,0,0,
2022-08-10 12:07:39.700000,-111.977272,40.705200,,,,2.537,DL 2CA,2506.95,0,0,
2022-08-10 12:07:39.800000,-111.977272,40.705200,,,NonCA,10.586,DL 2CA,,,,0.686
2022-08-10 12:07:39.900000,-111.977272,40.705200,,,NonCA,25.559,DL 2CA,2506.95,0,0,
2022-08-10 12:07:40.000000,-111.977272,40.705200,5G-NR(2CA),0.061,,31.485,DL 2CA,2506.95,0,0,
2022-08-10 12:07:40.100000,-111.977272,40.705200,,,NonCA,31.294,DL 2CA,,,,
2022-08-10 12:07:40.200000,-111.977272,40.705200,,,NonCA,35.672,DL 2CA,2506.95,0,0,
2022-08-10 12:07:40.300000,-111.977272,40.705200,,,,32.248,DL 2CA,2506.95,0,0,18.842
2022-08-10 12:07:40.400000,-111.977272,40.705200,,,,39.861,DL 2CA,,,,
2022-08-10 12:07:40.500000,-111.977272,40.705200,,,NonCA,41.905,DL 2CA,2506.95,0,0,
2022-08-10 12:07:40.600000,-111.977272,40.705200,,,NonCA,47.665,DL 2CA,,,,
2022-08-10 12:07:40.700000,-111.977272,40.705200,,,NonCA,52.786,DL 2CA,2506.95,0,0,
2022-08-10 12:07:40.800000,-111.977272,40.705200,,,NonCA,47.968,DL 2CA,2506.95,0,0,29.959
2022-08-10 12:07:40.900000,-111.977272,40.705200,,,NonCA,45.761,DL 2CA,,,,
2022-08-10 12:07:41.000000,-111.977272,40.705200,5G-NR(2CA),0.837,NonCA,56.498,DL 2CA,2506.95,0,0,
2022-08-10 12:07:41.100000,-111.977272,40.705200,,,NonCA,66.004,DL 2CA,,,,
2022-08-10 12:07:41.200000,-111.977272,40.705200,,,NonCA,66.211,DL 2CA,2506.95,0,0,
2022-08-10 12:07:41.300000,-111.977272,40.705200,,,NonCA,73.400,DL 2CA,2506.95,0,0,41.460
2022-08-10 12:07:41.400000,-111.977272,40.705200,,,NonCA,70.580,DL 2CA,,,,
2022-08-10 12:07:41.500000,-111.977272,40.705200,,,NonCA,81.771,DL 2CA,2506.95,0,0,
2022-08-10 12:07:41.600000,-111.977264,40.705200,,,NonCA,75.005,DL 2CA,2506.95,0,0,
2022-08-10 12:07:41.700000,-111.977264,40.705200,,,NonCA,83.296,DL 2CA,,,,
2022-08-10 12:07:41.800000,-111.977264,40.705200,,,NonCA,89.971,DL 2CA,2506.95,0,0,59.251
2022-08-10 12:07:41.900000,-111.977264,40.705200,,,NonCA,97.503,DL 2CA,2506.95,0,0,
2022-08-10 12:07:42.000000,-111.977264,40.705200,5G-NR(2CA),1.303,NonCA,111.163,DL 2CA,,,,
2022-08-10 12:07:42.100000,-111.977257,40.705200,,,NonCA,118.502,DL 2CA,2506.95,0,0,
2022-08-10 12:07:42.200000,-111.977257,40.705200,,,NonCA,119.373,DL 2CA,,,,
2022-08-10 12:07:42.300000,-111.977257,40.705200,,,NonCA,131.978,DL 2CA,2506.95,0,0,93.660
2022-08-10 12:07:42.400000,-111.977257,40.705200,,,NonCA,128.892,DL 2CA,2506.95,0,0,
2022-08-10 12:07:42.500000,-111.977257,40.705200,,,NonCA,152.043,DL 2CA,,,,
2022-08-10 12:07:42.600000,-111.977257,40.705200,,,NonCA,171.920,DL 2CA,2506.95,0,0,
2022-08-10 12:07:42.700000,-111.977257,40.705200,,,NonCA,184.134,DL 2CA,2506.95,0,0,
2022-08-10 12:07:42.800000,-111.977257,40.705200,,,NonCA,147.974,DL 2CA,,,,130.657
