1660513537133
PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=1 ttl=34 time=200 ms
46 bytes from 3.19.94.93: icmp_seq=2 ttl=34 time=39.9 ms
46 bytes from 3.19.94.93: icmp_seq=3 ttl=34 time=49.6 ms
46 bytes from 3.19.94.93: icmp_seq=4 ttl=34 time=48.2 ms
46 bytes from 3.19.94.93: icmp_seq=5 ttl=34 time=47.9 ms
46 bytes from 3.19.94.93: icmp_seq=6 ttl=34 time=47.1 ms
46 bytes from 3.19.94.93: icmp_seq=7 ttl=34 time=46.1 ms
46 bytes from 3.19.94.93: icmp_seq=8 ttl=34 time=32.0 ms
46 bytes from 3.19.94.93: icmp_seq=9 ttl=34 time=37.0 ms
46 bytes from 3.19.94.93: icmp_seq=10 ttl=34 time=56.8 ms
46 bytes from 3.19.94.93: icmp_seq=11 ttl=34 time=39.1 ms
46 bytes from 3.19.94.93: icmp_seq=12 ttl=34 time=36.7 ms
46 bytes from 3.19.94.93: icmp_seq=13 ttl=34 time=36.3 ms
46 bytes from 3.19.94.93: icmp_seq=14 ttl=34 time=34.5 ms
46 bytes from 3.19.94.93: icmp_seq=15 ttl=34 time=34.0 ms
46 bytes from 3.19.94.93: icmp_seq=16 ttl=34 time=36.6 ms
46 bytes from 3.19.94.93: icmp_seq=17 ttl=34 time=38.2 ms
46 bytes from 3.19.94.93: icmp_seq=18 ttl=34 time=35.9 ms
46 bytes from 3.19.94.93: icmp_seq=19 ttl=34 time=34.6 ms
46 bytes from 3.19.94.93: icmp_seq=20 ttl=34 time=34.2 ms
46 bytes from 3.19.94.93: icmp_seq=21 ttl=34 time=33.7 ms
46 bytes from 3.19.94.93: icmp_seq=22 ttl=34 time=32.9 ms
46 bytes from 3.19.94.93: icmp_seq=23 ttl=34 time=33.1 ms
46 bytes from 3.19.94.93: icmp_seq=24 ttl=34 time=37.8 ms
46 bytes from 3.19.94.93: icmp_seq=25 ttl=34 time=36.6 ms
46 bytes from 3.19.94.93: icmp_seq=26 ttl=34 time=35.6 ms
46 bytes from 3.19.94.93: icmp_seq=27 ttl=34 time=35.4 ms
46 bytes from 3.19.94.93: icmp_seq=28 ttl=34 time=33.8 ms
46 bytes from 3.19.94.93: icmp_seq=29 ttl=34 time=32.7 ms
46 bytes from 3.19.94.93: icmp_seq=30 ttl=34 time=38.3 ms
46 bytes from 3.19.94.93: icmp_seq=31 ttl=34 time=37.8 ms
46 bytes from 3.19.94.93: icmp_seq=32 ttl=34 time=35.9 ms
46 bytes from 3.19.94.93: icmp_seq=33 ttl=34 time=36.3 ms
46 bytes from 3.19.94.93: icmp_seq=34 ttl=34 time=35.9 ms
46 bytes from 3.19.94.93: icmp_seq=35 ttl=34 time=35.1 ms
46 bytes from 3.19.94.93: icmp_seq=36 ttl=34 time=36.0 ms
46 bytes from 3.19.94.93: icmp_seq=37 ttl=34 time=34.9 ms
46 bytes from 3.19.94.93: icmp_seq=38 ttl=34 time=33.8 ms
46 bytes from 3.19.94.93: icmp_seq=39 ttl=34 time=34.3 ms
46 bytes from 3.19.94.93: icmp_seq=40 ttl=34 time=37.8 ms
46 bytes from 3.19.94.93: icmp_seq=41 ttl=34 time=34.0 ms
46 bytes from 3.19.94.93: icmp_seq=42 ttl=34 time=38.3 ms
46 bytes from 3.19.94.93: icmp_seq=43 ttl=34 time=36.6 ms
46 bytes from 3.19.94.93: icmp_seq=44 ttl=34 time=36.0 ms
46 bytes from 3.19.94.93: icmp_seq=45 ttl=34 time=41.3 ms
46 bytes from 3.19.94.93: icmp_seq=46 ttl=34 time=36.0 ms
46 bytes from 3.19.94.93: icmp_seq=47 ttl=34 time=37.9 ms
46 bytes from 3.19.94.93: icmp_seq=48 ttl=34 time=43.9 ms
46 bytes from 3.19.94.93: icmp_seq=49 ttl=34 time=41.6 ms
46 bytes from 3.19.94.93: icmp_seq=50 ttl=34 time=38.7 ms
46 bytes from 3.19.94.93: icmp_seq=51 ttl=34 time=33.7 ms
46 bytes from 3.19.94.93: icmp_seq=52 ttl=34 time=47.9 ms
46 bytes from 3.19.94.93: icmp_seq=53 ttl=34 time=42.7 ms
46 bytes from 3.19.94.93: icmp_seq=54 ttl=34 time=40.7 ms
46 bytes from 3.19.94.93: icmp_seq=55 ttl=34 time=52.5 ms
46 bytes from 3.19.94.93: icmp_seq=56 ttl=34 time=36.8 ms
46 bytes from 3.19.94.93: icmp_seq=57 ttl=34 time=35.7 ms
46 bytes from 3.19.94.93: icmp_seq=58 ttl=34 time=34.2 ms
46 bytes from 3.19.94.93: icmp_seq=59 ttl=34 time=34.6 ms
46 bytes from 3.19.94.93: icmp_seq=60 ttl=34 time=32.5 ms
46 bytes from 3.19.94.93: icmp_seq=61 ttl=34 time=44.0 ms
46 bytes from 3.19.94.93: icmp_seq=62 ttl=34 time=68.9 ms
46 bytes from 3.19.94.93: icmp_seq=63 ttl=34 time=37.4 ms
46 bytes from 3.19.94.93: icmp_seq=64 ttl=34 time=50.5 ms
46 bytes from 3.19.94.93: icmp_seq=65 ttl=34 time=35.5 ms
46 bytes from 3.19.94.93: icmp_seq=66 ttl=34 time=40.0 ms
46 bytes from 3.19.94.93: icmp_seq=67 ttl=34 time=33.7 ms
46 bytes from 3.19.94.93: icmp_seq=68 ttl=34 time=38.1 ms
