1660438324039
PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=1 ttl=31 time=234 ms
46 bytes from 3.19.94.93: icmp_seq=2 ttl=31 time=77.7 ms
46 bytes from 3.19.94.93: icmp_seq=3 ttl=31 time=53.4 ms
46 bytes from 3.19.94.93: icmp_seq=4 ttl=31 time=68.7 ms
46 bytes from 3.19.94.93: icmp_seq=5 ttl=31 time=180 ms
46 bytes from 3.19.94.93: icmp_seq=6 ttl=31 time=56.2 ms
46 bytes from 3.19.94.93: icmp_seq=7 ttl=31 time=55.4 ms
46 bytes from 3.19.94.93: icmp_seq=8 ttl=31 time=101 ms
46 bytes from 3.19.94.93: icmp_seq=9 ttl=31 time=59.0 ms
46 bytes from 3.19.94.93: icmp_seq=10 ttl=31 time=53.6 ms
46 bytes from 3.19.94.93: icmp_seq=11 ttl=31 time=52.7 ms
46 bytes from 3.19.94.93: icmp_seq=12 ttl=31 time=51.7 ms
46 bytes from 3.19.94.93: icmp_seq=13 ttl=31 time=66.3 ms
46 bytes from 3.19.94.93: icmp_seq=14 ttl=31 time=51.2 ms
46 bytes from 3.19.94.93: icmp_seq=15 ttl=31 time=65.5 ms
46 bytes from 3.19.94.93: icmp_seq=16 ttl=31 time=54.6 ms
46 bytes from 3.19.94.93: icmp_seq=17 ttl=31 time=51.5 ms
46 bytes from 3.19.94.93: icmp_seq=18 ttl=31 time=47.6 ms
46 bytes from 3.19.94.93: icmp_seq=19 ttl=31 time=56.5 ms
46 bytes from 3.19.94.93: icmp_seq=20 ttl=31 time=48.6 ms
46 bytes from 3.19.94.93: icmp_seq=21 ttl=31 time=56.9 ms
46 bytes from 3.19.94.93: icmp_seq=22 ttl=31 time=52.1 ms
46 bytes from 3.19.94.93: icmp_seq=23 ttl=31 time=56.5 ms
46 bytes from 3.19.94.93: icmp_seq=24 ttl=31 time=52.2 ms
46 bytes from 3.19.94.93: icmp_seq=25 ttl=31 time=84.7 ms
46 bytes from 3.19.94.93: icmp_seq=26 ttl=31 time=49.3 ms
46 bytes from 3.19.94.93: icmp_seq=27 ttl=31 time=55.3 ms
46 bytes from 3.19.94.93: icmp_seq=28 ttl=31 time=49.6 ms
46 bytes from 3.19.94.93: icmp_seq=29 ttl=31 time=69.1 ms
46 bytes from 3.19.94.93: icmp_seq=30 ttl=31 time=47.8 ms
46 bytes from 3.19.94.93: icmp_seq=31 ttl=31 time=47.3 ms
46 bytes from 3.19.94.93: icmp_seq=32 ttl=31 time=51.2 ms
46 bytes from 3.19.94.93: icmp_seq=33 ttl=31 time=55.4 ms
