1660147851041
PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=40 time=382 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=40 time=173 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=40 time=63.2 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=40 time=71.7 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=40 time=77.2 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=40 time=77.6 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=40 time=75.9 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=40 time=69.1 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=40 time=68.2 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=40 time=73.8 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=40 time=66.6 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=40 time=73.5 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=40 time=65.2 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=40 time=64.1 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=40 time=69.3 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=40 time=62.2 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=40 time=62.3 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=40 time=60.7 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=40 time=59.8 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=40 time=60.7 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=40 time=64.9 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=40 time=60.1 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=40 time=63.3 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=40 time=62.3 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=40 time=55.4 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=40 time=54.7 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=40 time=58.2 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=40 time=52.7 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=40 time=73.1 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=40 time=77.3 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=40 time=70.0 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=40 time=75.6 ms
46 bytes from 54.176.53.206: icmp_seq=33 ttl=40 time=69.0 ms
46 bytes from 54.176.53.206: icmp_seq=34 ttl=40 time=79.9 ms
46 bytes from 54.176.53.206: icmp_seq=35 ttl=40 time=68.3 ms
46 bytes from 54.176.53.206: icmp_seq=36 ttl=40 time=69.0 ms
46 bytes from 54.176.53.206: icmp_seq=37 ttl=40 time=72.3 ms
46 bytes from 54.176.53.206: icmp_seq=38 ttl=40 time=66.2 ms
46 bytes from 54.176.53.206: icmp_seq=39 ttl=40 time=64.5 ms
46 bytes from 54.176.53.206: icmp_seq=40 ttl=40 time=70.2 ms
