TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-13 10:26:12.000000,-87.623787,41.893070,LTE,,,,,,,,
2022-08-13 10:26:12.400000,-87.623787,41.893070,,,NonCA,,,,,,
2022-08-13 10:26:12.500000,-87.623787,41.893070,,,,,,,,,0.000
2022-08-13 10:26:13.000000,-87.623787,41.893070,LTE,,,,,,,,0.000
2022-08-13 10:26:13.500000,-87.623779,41.893070,,,NonCA,,,,,,0.000
2022-08-13 10:26:14.000000,-87.623779,41.893070,LTE(3CA),9.149,,,,,,,0.000
2022-08-13 10:26:14.100000,-87.623779,41.893070,,,NonCA,,,,,,
2022-08-13 10:26:14.200000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:14.300000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:14.400000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:14.500000,-87.623779,41.893070,,,3CA,,,,,,1.604
2022-08-13 10:26:14.600000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:14.700000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:14.800000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:14.900000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.000000,-87.623779,41.893070,LTE(3CA),15.969,3CA,,,,,,14.554
2022-08-13 10:26:15.100000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.200000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.300000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.400000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.500000,-87.623779,41.893070,,,3CA,,,,,,10.646
2022-08-13 10:26:15.600000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.700000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.800000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:15.900000,-87.623779,41.893070,,,3CA,,,,,,
2022-08-13 10:26:16.000000,-87.623779,41.893070,5G-NR_NSA(4CA),0.551,3CA,,,,,,19.604
2022-08-13 10:26:16.100000,-87.623779,41.893070,,,NonCA,63.412,DL NonCA,28249.76,28,28,
2022-08-13 10:26:16.200000,-87.623779,41.893070,,,2CA,135.493,DL 8CA,,,,
2022-08-13 10:26:16.300000,-87.623779,41.893070,,,2CA,155.601,DL 8CA,28249.76,28,27,
2022-08-13 10:26:16.400000,-87.623779,41.893070,,,2CA,170.697,DL 8CA,28249.76,28,27,
